nstim,yesno,RT
1,1,400
1,1,410
1,1,470
1,1,380
1,1,400
1,1,370
1,1,380
1,1,470
1,1,450
1,1,610
1,1,540
1,1,670
1,1,490
1,1,430
1,1,520
1,1,390
1,1,460
1,1,470
1,1,450
1,1,430
1,1,390
1,1,490
1,1,500
1,1,440
1,1,530
1,1,460
1,1,640
1,1,510
1,1,400
1,1,410
1,1,440
1,1,480
1,1,500
1,1,420
1,1,900
1,1,510
1,1,550
1,1,600
1,1,470
1,1,450
1,1,410
1,1,420
1,1,720
1,1,360
1,1,430
1,1,940
1,1,450
1,1,510
1,1,460
1,1,520
1,2,520
1,2,450
1,2,740
1,2,560
1,2,530
1,2,590
1,2,430
1,2,460
1,2,510
1,2,400
1,2,480
1,2,470
1,2,570
1,2,540
1,2,440
1,2,560
1,2,470
1,2,620
1,2,440
1,2,530
1,2,480
1,2,1040
1,2,500
1,2,580
1,2,520
1,2,570
1,2,660
1,2,490
1,2,590
1,2,560
1,2,710
1,2,760
1,2,540
1,2,710
1,2,440
1,2,670
1,2,450
1,2,790
1,2,460
1,2,570
1,2,580
1,2,470
1,2,730
1,2,670
1,2,460
1,2,570
1,2,520
1,2,610
1,2,720
1,2,1040
3,1,730
3,1,830
3,1,550
3,1,590
3,1,510
3,1,650
3,1,610
3,1,640
3,1,630
3,1,860
3,1,420
3,1,650
3,1,620
3,1,620
3,1,510
3,1,620
3,1,720
3,1,550
3,1,580
3,1,460
3,1,670
3,1,560
3,1,520
3,1,460
3,1,620
3,1,510
3,1,510
3,1,610
3,1,600
3,1,750
3,1,530
3,1,590
3,1,560
3,1,500
3,1,430
3,1,580
3,1,670
3,1,520
3,1,560
3,1,800
3,1,530
3,1,720
3,1,620
3,1,590
3,1,470
3,1,620
3,1,530
3,1,520
3,1,460
3,1,600
3,2,730
3,2,470
3,2,630
3,2,630
3,2,560
3,2,660
3,2,720
3,2,580
3,2,600
3,2,690
3,2,740
3,2,510
3,2,490
3,2,690
3,2,510
3,2,600
3,2,520
3,2,720
3,2,580
3,2,740
3,2,590
3,2,630
3,2,600
3,2,660
3,2,590
3,2,610
3,2,500
3,2,670
3,2,630
3,2,610
3,2,800
3,2,630
3,2,600
3,2,640
3,2,640
3,2,570
3,2,590
3,2,580
3,2,590
3,2,600
3,2,620
3,2,630
3,2,670
3,2,780
3,2,610
3,2,520
3,2,510
3,2,560
3,2,950
3,2,540
5,1,390
5,1,650
5,1,530
5,1,460
5,1,780
5,1,600
5,1,710
5,1,580
5,1,870
5,1,770
5,1,620
5,1,940
5,1,810
5,1,460
5,1,490
5,1,620
5,1,550
5,1,590
5,1,880
5,1,560
5,1,770
5,1,670
5,1,790
5,1,540
5,1,830
5,1,750
5,1,670
5,1,600
5,1,650
5,1,620
5,1,620
5,1,620
5,1,600
5,1,580
5,1,670
5,1,480
5,1,510
5,1,670
5,1,980
5,1,640
5,1,570
5,1,670
5,1,550
5,1,550
5,1,660
5,1,600
5,1,570
5,1,540
5,1,780
5,1,690
5,2,660
5,2,530
5,2,610
5,2,740
5,2,760
5,2,690
5,2,820
5,2,560
5,2,660
5,2,630
5,2,690
5,2,760
5,2,710
5,2,650
5,2,670
5,2,670
5,2,550
5,2,650
5,2,580
5,2,640
5,2,650
5,2,810
5,2,690
5,2,690
5,2,630
5,2,680
5,2,700
5,2,800
5,2,680
5,2,1250
5,2,630
5,2,740
5,2,610
5,2,850
5,2,590
5,2,610
5,2,740
5,2,760
5,2,620
5,2,830
5,2,580
5,2,720
5,2,650
5,2,610
5,2,950
5,2,580
5,2,640
5,2,660
5,2,660
5,2,720
