age,gender,isep,coatHanger
22,f,53,5
22,m,48,5
21,f,49,7
24,m,49,4
32,f,48,6
26,m,55,4
41,m,44,4
44,f,48,3
20,f,48,7
20,f,38,4
20,m,33,7
21,f,46,15
25,f,42,3
25,m,47,2
36,f,55,4
22,f,52,2
50,m,62,3
30,m,44,2
30,f,47,5
18,m,50,1
20,f,46,4
20,f,43,4
23,f,43,5
18,m,45,3
31,f,54,6
53,m,60,6
35,m,35,4
30,f,64,8
27,f,43,5
24,f,46,7
27,f,48,9
28,m,40,7
27,m,38,11
28,f,49,20
20,f,44,17
19,f,52,22
34,f,44,12
28,m,59,11
19,f,38,9
33,m,62,17
23,m,52,16
22,f,46,6
53,m,52,5
49,f,42,8
19,f,48,6
21,f,49,14
21,f,43,7
21,m,61,15
20,m,42,11
23,f,46,11
22,m,73,18
21,m,48,15
54,f,45,4
25,f,56,1
33,m,53,5
30,f,37,10
21,f,40,15
21,f,45,12
20,f,53,14
22,m,44,18
35,f,55,8
44,f,52,8
29,f,52,9
33,m,51,13
21,f,58,6
19,f,51,3
20,m,47,5
41,f,42,4
23,m,58,8
22,f,50,5
20,f,51,5
21,m,33,3
21,f,50,22
24,m,49,12
22,f,53,7
22,m,44,13
19,m,54,10
20,m,51,18
23,f,51,14
25,m,53,7
41,f,46,11
35,m,47,5
61,f,47,5
42,m,42,9
18,f,40,9
54,m,37,6
25,m,48,4
20,f,42,4
21,m,36,17
21,f,47,11
52,f,57,11
30,m,50,14
20,f,57,16
23,m,49,6
22,f,53,11
21,m,51,4
18,f,58,7
40,f,48,9
41,m,51,9
39,m,50,16
18,f,43,3
19,f,38,3
19,f,52,3
22,f,43,1
23,f,53,6
24,m,62,19
22,f,53,13
22,m,40,7
25,f,48,9
27,m,55,4
27,m,55,6
30,f,38,9
19,f,69,7
20,f,61,4
20,f,68,2
21,f,63,5
