age,gender,listType,time1,time2,time3,time4,time5,time6,meanTime
23,f,OR,3,3,2,7,30,2,7.83
20,f,OR,2,3,4,5,34,3,8.50
50,f,UN,16,55,7,4,4,45,21.83
40,f,UN,8,17,5,4,2,28,10.67
21,f,OR,3,18,25,4,6,4,10.00
21,f,OR,7,14,10,3,4,3,6.83
21,f,UN,4,4,5,3,7,5,4.67
21,m,UN,5,7,7,3,5,6,5.50
31,f,OR,30,26,25,20,10,15,21.00
23,f,OR,6,10,15,21,12,26,15.00
31,m,UN,36,40,26,31,35,21,31.50
21,f,UN,17,25,26,30,12,15,20.83
18,f,OR,2,16,2,2,3,2,4.50
24,f,OR,3,20,2,3,2,2,5.33
40,f,UN,240,21,4,2,4,7,46.33
38,m,UN,240,14,23,12,7,25,53.50
21,m,OR,10,10,7,5,5,7,7.33
19,f,OR,15,12,8,5,7,3,8.33
18,m,UN,12,20,10,17,7,11,12.83
21,f,UN,13,30,43,20,32,19,26.17
22,f,OR,45,15,2,2,2,2,11.33
21,f,OR,4,3,2,3,1,2,2.50
24,f,UN,10,21,90,78,2,8,34.83
21,f,UN,7,12,2,4,24,65,19.00
21,f,OR,3,5,60,2,6,8,14.00
18,f,OR,3,30,30,8,2,28,16.83
23,m,UN,12,3,2,3,4,3,4.50
24,m,UN,5,3,2,8,3,1,3.67
22,f,OR,5,4,6,8,9,28,10.00
19,m,OR,11,2,240,3,60,240,92.67
24,f,UN,36,240,240,3,37,1,92.83
19,m,UN,40,72,65,20,30,9,39.33
21,f,OR,4,6,10,214,18,203,75.83
23,m,OR,13,11,7,33,16,46,21.00
24,f,UN,7,11,11,240,74,69,68.67
21,m,UN,11,8,240,8,4,132,67.17
34,m,OR,240,13,10,60,8,3,55.67
19,f,OR,20,240,7,1,2,2,45.33
38,f,UN,17,5,7,3,4,7,7.17
32,f,UN,4,240,16,4,1,120,64.17
21,f,OR,10,2,2,4,5,2,4.17
23,m,OR,12,3,3,11,2,2,5.50
20,f,UN,16,16,10,14,11,15,13.67
21,m,UN,20,14,10,19,14,22,16.50
21,f,OR,240,150,10,34,1,1,72.67
20,m,OR,2,1,1,7,1,2,2.33
21,m,UN,4,149,8,4,3,2,28.33
23,m,UN,1,2,2,1,1,2,1.50
47,m,OR,40,15,10,10,3,2,13.33
22,f,OR,72,44,12,3,3,30,27.33
28,f,UN,15,70,43,6,240,80,75.67
23,f,UN,2,23,61,48,210,50,65.67
25,m,OR,3,19,7,7,4,2,7.00
36,f,OR,2,3,180,4,28,1,36.33
34,m,UN,240,50,19,5,240,180,122.33
37,f,UN,2,14,6,240,240,240,123.67
20,f,OR,56,54,61,55,53,54,55.50
21,f,OR,54,57,48,51,49,50,51.50
44,m,UN,41,43,41,44,42,41,42.00
19,f,UN,127,134,126,125,120,117,124.83
22,f,OR,30,31,11,12,8,5,16.17
22,f,OR,25,25,21,15,15,17,19.67
23,f,UN,27,35,27,25,24,41,29.83
24,m,UN,12,17,21,25,16,15,17.67
21,m,OR,2,6,3,3,3,2,3.17
22,f,OR,3,4,3,8,8,2,4.67
21,f,UN,7,12,6,7,6,9,7.83
19,m,UN,6,9,9,6,7,9,7.67
20,f,OR,3,22,90,5,240,3,60.50
20,m,OR,48,9,3,2,4,240,51.00
22,m,UN,1,240,7,1,7,32,48.00
21,m,UN,240,240,6,2,3,4,82.50
21,m,OR,4,5,23,6,3,2,7.17
22,f,OR,14,3,3,2,12,3,6.17
21,m,UN,20,80,10,4,146,2,43.67
19,f,UN,45,91,6,2,122,3,44.83
23,f,OR,8,7,18,8,5,10,9.33
20,f,OR,6,6,3,5,2,10,5.33
36,m,UN,8,23,8,3,34,6,13.67
19,f,UN,10,23,12,60,35,14,25.67
20,f,OR,95,54,1,4,44,9,34.50
19,f,OR,3,2,1,12,9,1,4.67
19,f,UN,4,2,144,5,3,2,26.67
19,f,UN,1,2,5,2,1,2,2.17
22,m,OR,40,6,5,2,2,1,9.33
22,f,OR,1,1,3,6,2,3,2.67
21,m,UN,11,2,3,1,32,4,8.83
20,f,UN,4,6,44,10,54,4,20.33
32,f,OR,7,9,4,5,7,4,6.00
35,m,OR,6,9,11,5,6,4,6.83
30,f,UN,10,80,11,9,150,29,48.17
25,m,UN,8,67,15,17,176,88,61.83
24,f,OR,2,6,2,2,1,4,2.83
30,m,OR,1,4,2,2,3,3,2.50
29,m,UN,4,3,4,2,35,26,12.33
20,f,UN,9,4,8,11,29,20,13.50
20,f,OR,4,2,4,16,78,93,32.83
24,m,OR,127,16,28,7,4,3,30.83
21,f,UN,1,13,2,2,7,6,5.17
22,f,UN,4,7,3,6,4,120,24.00
22,f,OR,2,1,3,5,2,2,2.50
19,f,OR,10,2,3,3,6,4,4.67
19,f,UN,12,5,17,20,42,36,22.00
21,m,UN,56,36,18,73,21,86,48.33
30,m,OR,26,10,32,15,45,18,24.33
26,m,OR,11,24,6,20,34,28,20.50
23,f,UN,7,18,30,24,10,13,17.00
18,f,UN,12,14,45,8,19,27,20.83
53,f,OR,63,30,13,11,7,5,21.50
35,f,OR,120,59,42,18,36,22,49.50
46,f,UN,75,10,9,10,25,12,23.50
50,f,UN,110,27,47,32,26,17,43.17
