age,gender,listType,time1,time2,time3,time4,time5,time6,meanTime
26,f,OR,4,4,3,3,8,5,4.50
34,m,OR,40,16,2,7,2,3,11.67
32,m,UN,240,5,11,4,5,5,45.00
28,f,UN,7,16,5,8,240,11,47.83
39,f,OR,29,5,3,1,4,4,7.67
19,f,OR,240,3,18,4,11,8,47.33
61,f,UN,10,8,80,20,3,39,26.67
21,m,UN,18,12,240,21,80,14,64.17
39,m,OR,3,2,3,28,14,7,9.50
31,f,OR,6,3,4,8,33,5,9.83
45,m,UN,40,3,9,8,7,3,11.67
40,f,UN,3,4,8,2,11,2,5.00
22,m,OR,23,44,20,36,50,10,30.50
23,f,OR,12,9,26,5,7,13,12.00
26,f,UN,4,9,5,3,11,6,6.33
20,m,UN,98,31,11,126,28,9,50.50
30,f,OR,8,21,19,10,8,3,11.50
35,m,OR,200,6,5,4,6,6,37.83
34,f,UN,12,9,6,6,15,6,9.00
32,m,UN,3,9,4,40,5,50,18.50
22,f,OR,14,9,7,240,4,3,46.17
21,f,OR,8,2,50,6,9,1,12.67
20,f,UN,240,2,14,9,4,1,45.00
21,f,UN,5,4,5,22,4,14,9.00
26,m,OR,2,1,9,23,8,5,8.00
29,f,OR,33,2,11,2,1,2,8.50
24,m,UN,5,2,34,2,38,8,14.83
23,m,UN,6,10,2,10,8,4,6.67
22,m,OR,146,28,5,8,4,2,32.17
22,m,OR,87,190,6,36,5,5,54.83
21,f,UN,240,138,79,11,181,2,108.50
20,m,UN,77,240,20,4,3,4,58.00
36,f,OR,5,8,11,4,7,10,7.50
36,m,OR,6,3,2,7,6,2,4.33
36,f,UN,15,41,19,18,11,29,22.17
36,m,UN,14,28,7,9,12,18,14.67
29,f,OR,4,46,6,4,6,5,11.83
28,m,OR,3,13,2,3,5,2,4.67
35,m,UN,5,15,6,3,53,3,14.17
26,f,UN,7,6,4,6,21,3,7.83
19,f,OR,110,40,47,30,114,45,64.33
21,m,OR,125,38,67,28,17,20,49.17
20,f,UN,36,47,61,26,79,56,50.83
21,f,UN,30,20,10,38,82,43,37.17
26,f,OR,240,1,2,3,1,4,41.83
39,m,OR,42,22,19,15,60,43,33.50
25,m,UN,7,240,2,1,42,33,54.17
18,f,UN,19,221,34,10,18,72,62.33
20,m,OR,4,9,8,3,1,3,4.67
20,f,OR,10,3,2,40,5,3,10.50
20,m,UN,6,5,6,3,6,10,6.00
20,f,UN,66,5,240,4,4,6,54.17
84,m,OR,28,6,3,2,3,49,15.17
78,f,OR,18,3,4,5,4,5,6.50
44,m,UN,18,8,5,6,2,5,7.33
26,f,UN,4,7,3,4,9,5,5.33
27,f,OR,2,2,4,12,6,1,4.50
56,f,OR,2,34,2,2,16,2,9.67
29,m,UN,4,3,5,2,8,142,27.33
51,f,UN,3,9,2,3,58,2,12.83
58,f,OR,14,2,33,3,148,109,51.50
37,m,OR,4,82,20,4,1,55,27.67
32,m,UN,5,7,53,2,39,1,17.83
39,f,UN,4,1,210,12,13,9,41.50
21,m,OR,240,145,70,45,34,18,92.00
20,f,OR,211,116,62,43,28,17,79.50
22,f,UN,183,94,55,25,19,13,64.83
18,f,UN,222,157,84,51,30,21,94.17
18,f,OR,6,9,7,2,1,3,4.67
21,m,OR,3,30,3,8,3,8,9.17
26,f,UN,9,1,16,3,1,1,5.17
23,m,UN,240,1,240,238,1,53,128.83
19,f,OR,8,7,2,1,25,50,15.50
23,m,OR,12,3,8,7,9,5,7.33
23,f,UN,3,9,5,2,2,1,3.67
23,m,UN,2,2,5,4,9,2,4.00
21,m,OR,6,10,4,7,6,5,6.33
30,f,OR,5,15,8,12,10,4,9.00
18,f,UN,30,70,50,120,20,60,58.33
26,m,UN,65,40,100,80,40,20,57.50
26,m,OR,33,12,2,9,4,18,13.00
22,f,OR,7,6,1,1,1,1,2.83
30,f,UN,4,18,4,30,10,50,19.33
27,m,UN,15,9,10,2,1,1,6.33
