age,gender,encodingCue,retrievalCue,correctRecall
22,f,present,present,13
22,m,absent,present,10
21,f,present,absent,10
23,m,absent,absent,8
36,m,present,present,17
34,f,absent,present,10
53,f,present,absent,10
22,f,absent,absent,10
21,m,present,present,13
27,f,absent,present,16
32,m,present,absent,10
35,f,absent,absent,12
21,f,present,present,13
25,f,absent,present,10
25,m,present,absent,6
29,f,absent,absent,5
20,f,present,present,1
20,f,absent,present,11
18,m,present,absent,9
23,f,absent,absent,16
30,f,present,present,15
35,m,absent,present,10
31,f,present,absent,11
53,f,absent,absent,7
27,f,present,present,20
23,m,absent,present,19
32,f,present,absent,15
23,f,absent,absent,13
20,f,present,present,18
26,m,absent,present,10
51,f,present,absent,13
53,m,absent,absent,8
20,f,present,present,20
20,f,absent,present,24
22,f,present,absent,6
21,f,absent,absent,11
23,f,present,present,13
23,m,absent,present,10
26,f,present,absent,13
19,f,absent,absent,15
18,f,present,present,11
19,f,absent,present,8
18,f,present,absent,11
21,m,absent,absent,10
21,m,present,present,24
22,m,absent,present,20
20,m,present,absent,13
24,f,absent,absent,10
18,f,present,present,10
23,f,absent,present,18
21,f,present,absent,8
24,f,absent,absent,16
31,m,present,present,14
35,f,absent,present,10
45,m,present,absent,11
29,f,absent,absent,8
19,f,present,present,8
20,m,absent,present,10
23,f,present,absent,4
22,f,absent,absent,7
29,f,present,present,12
21,f,absent,present,16
24,m,present,absent,13
18,f,absent,absent,13
19,f,present,present,11
25,m,absent,present,17
18,f,present,absent,9
31,f,absent,absent,16
58,f,present,present,11
39,f,absent,present,14
41,f,present,absent,11
59,m,absent,absent,12
30,m,present,present,9
21,m,absent,present,5
52,f,present,absent,6
21,f,absent,absent,17
21,m,present,present,17
20,f,absent,present,19
22,f,present,absent,17
22,f,absent,absent,17
18,m,present,present,14
29,m,absent,present,10
39,m,present,absent,6
18,f,absent,absent,10
19,f,present,present,12
19,f,absent,present,13
18,f,present,absent,9
18,m,absent,absent,15
28,m,present,present,19
22,f,absent,present,19
49,m,present,absent,19
56,m,absent,absent,7
56,m,present,present,15
25,f,absent,present,8
25,f,present,absent,12
54,f,absent,absent,10
20,f,present,present,14
22,m,absent,present,4
21,f,present,absent,7
21,m,absent,absent,6
