age,gender,encodingCue,retrievalCue,correctRecall
28,f,present,present,24
32,m,absent,present,22
26,f,present,absent,18
34,m,absent,absent,20
36,m,present,present,8
64,f,absent,present,18
25,f,present,absent,13
35,f,absent,absent,7
34,f,present,present,19
22,f,absent,present,20
18,f,present,absent,22
18,f,absent,absent,14
18,f,present,present,9
48,f,absent,present,13
25,m,present,absent,13
39,m,absent,absent,6
20,f,present,present,17
20,f,absent,present,13
18,m,present,absent,8
21,f,absent,absent,14
22,f,present,present,11
21,m,absent,present,9
20,f,present,absent,20
18,f,absent,absent,22
24,f,present,present,20
18,f,absent,present,21
19,f,present,absent,15
22,m,absent,absent,13
39,m,present,present,15
31,f,absent,present,12
28,m,present,absent,8
42,f,absent,absent,13
23,f,present,present,21
24,m,absent,present,23
26,f,present,absent,12
29,f,absent,absent,14
27,f,present,present,21
24,f,absent,present,16
25,m,present,absent,18
29,m,absent,absent,19
52,f,present,present,12
21,m,absent,present,13
61,f,present,absent,7
39,f,absent,absent,10
22,m,present,present,6
24,f,absent,present,8
45,f,present,absent,4
25,f,absent,absent,9
26,f,present,present,9
24,f,absent,present,12
59,f,present,absent,9
34,f,absent,absent,19
20,f,present,present,11
21,f,absent,present,10
20,f,present,absent,8
22,f,absent,absent,6
20,f,present,present,16
22,m,absent,present,12
22,m,present,absent,11
20,m,absent,absent,13
27,m,present,present,11
29,f,absent,present,13
35,m,present,absent,15
28,m,absent,absent,14
21,m,present,present,20
21,f,absent,present,18
20,m,present,absent,12
22,f,absent,absent,8
25,m,present,present,23
22,f,absent,present,19
20,m,present,absent,9
27,f,absent,absent,12
78,f,present,present,15
56,f,absent,present,12
48,f,present,absent,11
55,m,absent,absent,11
36,m,present,present,16
41,f,absent,present,14
40,f,present,absent,8
43,m,absent,absent,15
19,f,present,present,19
23,m,absent,present,14
23,m,present,absent,17
23,f,absent,absent,6
26,m,present,present,24
22,f,absent,present,22
30,f,present,absent,21
27,m,absent,absent,16
