writing,research,gpa
3,3,2.66
3,2,2.86
4,4,3.33
4,4,3.38
2,2,2.31
4,4,3.51
3,4,2.91
3,4,2.84
4,4,3.79
4,4,3.08
3,3,2.85
3,3,2.61
3,2,2.95
3,4,2.91
3,3,3.19
3,0,1.98
1,2,2.2
2,4,2.53
4,4,3.56
2,2,2.21
4,3,3.82
4,4,3.56
4,2,3.33
3,4,2.95
4,3,3.03
2,2,2.8
3,2,2.25
2,3,2.83
2,4,3.24
3,4,3.09
4,4,3.63
3,2,2.66
2,2,2.82
3,2,2.34
0,2,2.38
3,2,3.28
4,2,2.99
4,4,3.53
3,3,2.72
3,2,2.57
3,2,2.57
4,2,2.71
3,4,2.88
3,4,3.2
4,3,2.35
3,2,3.15
3,2,2.68
4,4,3.59
4,3,2.95
2,4,3.81
4,4,3.76
2,2,2.75
2,4,2.45
1,2,2.8
4,3,3.42
3,3,3.13
4,2,2.91
3,2,3.25
3,3,3.17
2,2,2.51
2,3,3.04
4,0,2.73
1,2,2.34
4,4,3.24
4,4,3.51
4,3,3
3,2,2.73
3,1,2.47
4,3,3.38
0,2,2.31
3,3,2.46
3,4,3.77
3,4,2.41
2,2,2.69
3,3,3.6
4,4,3.49
4,3,3.78
1,0,2.3
4,4,3.75
3,4,3.43
0,3,2.5
4,2,3.15
4,4,3.78
4,4,3.35
4,3,3.16
2,3,2.6
2,1,2.59
0,2,2.54
3,3,2.55
3,3,3
4,4,3.85
4,4,3.94
2,2,2.72
3,3,2.94
2,2,2.55
3,3,3.33
2,2,2.66
2,3,2.61
4,4,3.29
2,2,2.54
3,3,3.54
3,2,2.59
2,3,3.08
2,2,2.74
3,4,3.58
3,0,2.63
4,4,3.41
3,3,2.98
3,3,2.42
1,3,3.09
4,3,3.42
4,4,3.48
4,3,3.2
4,4,3.87
4,4,4
4,2,2.81
3,2,3.26
3,3,2.8
3,3,2.64
3,1,2.61
3,4,3.19
4,3,3.04
4,3,3.51
1,3,2.68
4,4,3.35
3,2,3.4
4,4,3.72
4,4,3.86
3,2,3.43
3,4,3.38
4,3,2.85
4,4,3.29
3,3,3.68
3,3,3.03
4,3,3.27
4,4,3.13
1,1,2.18
3,2,2.78
4,4,3.62
2,2,2.75
4,2,2.73
3,1,2.72
4,4,3
3,2,3.15
2,3,3.45
1,3,2.97
3,3,2.83
4,4,3.56
2,4,3.49
4,3,3.31
2,3,3.13
4,2,2.59
2,3,2.88
2,2,2.98
4,3,3.31
2,2,2.92
4,4,3.65
4,4,3.95
4,4,3.23
0,0,2.78
4,4,2.68
2,1,2.66
4,3,3.53
2,2,2.46
3,3,3.34
2,4,3.83
3,3,2.93
2,3,2.81
2,3,3.11
2,0,2.38
3,3,3.2
2,3,2.39
4,2,2.92
3,4,3.87
3,2,2.69
3,3,2.73
3,2,2.85
3,3,2.49
4,3,2.99
4,4,3.65
2,3,2.68
4,4,3.69
0,3,2.86
4,4,3.66
1,3,2.82
3,2,2.49
4,3,3.58
2,2,2.32
3,2,2.77
3,2,2.88
3,4,3.38
4,4,3.92
3,4,3.54
