subject,gender,age
1,m,23
2,m,69
3,f,29
4,m,56
5,m,24
6,m,18
7,m,24
8,m,20
9,f,24
10,f,20
11,m,20
12,f,21
13,m,26
14,f,30
15,f,35
16,f,28
17,m,24
18,f,19
19,f,22
20,f,22
21,f,21
22,f,21
23,m,24
24,f,27
25,m,23
26,f,25
27,f,23
28,f,33
29,f,49
30,m,19
31,m,30
32,m,25
33,m,26
34,m,26
35,f,53
36,f,23
37,f,22
38,f,20
39,f,22
40,f,25
41,f,21
42,m,58
43,f,55
44,f,42
45,f,36
46,f,65
47,m,39
48,m,34
49,f,21
50,f,28
51,f,24
52,f,31
53,m,41
54,m,18
55,f,19
56,f,60
57,m,27
58,m,40
59,f,39
