correct,format,problem,response,response_time,size,subject_nr,truth
1,digit,2 + 2 = 6,l,1743,small,3,F
1,word,seven + five = fourteen,l,3656,large,3,F
1,digit,4 + 9 = 13,a,1853,large,3,T
1,digit,2 + 5 = 11,l,1560,small,3,F
1,digit,7 + 7 = 14,a,1442,large,3,T
1,digit,5 + 5 = 8,l,1336,small,3,F
1,word,six + three = nine,a,2696,small,3,T
1,digit,5 + 4 = 9,a,1552,small,3,T
1,digit,9 + 8 = 15,l,2720,large,3,F
1,digit,9 + 9 = 17,l,1411,large,3,F
1,word,nine + five = eleven,l,2396,large,3,F
1,word,three + nine = twelve,a,3161,large,3,T
1,digit,7 + 4 = 13,l,2286,large,3,F
1,word,five + five = eight,l,1846,small,3,F
1,digit,4 + 2 = 6,a,1466,small,3,T
1,word,seven + two = nine,a,2078,small,3,T
1,digit,9 + 6 = 11,l,1821,large,3,F
1,word,nine + six = fifteen,a,2131,large,3,T
1,digit,3 + 4 = 7,a,1413,small,3,T
1,word,four + five = thirteen,l,2055,small,3,F
1,digit,4 + 8 = 11,l,2129,large,3,F
1,digit,7 + 8 = 15,a,2420,large,3,T
1,digit,4 + 4 = 9,l,1287,small,3,F
1,word,seven + four = twelve,l,3168,large,3,F
1,word,five + three = eight,a,1786,small,3,T
1,word,four + four = eight,a,1499,small,3,T
1,word,seven + three = fourteen,l,1879,small,3,F
1,word,six + five = ten,l,1930,large,3,F
1,word,three + eight = twelve,l,2521,small,3,F
1,word,two + six = five,l,3097,small,3,F
1,word,eight + two = ten,a,1777,small,3,T
1,digit,2 + 3 = 5,a,1255,small,3,T
1,word,six + six = nine,l,1652,large,3,F
1,word,seven + nine = sixteen,a,2904,large,3,T
1,word,seven + seven = fourteen,a,1922,large,3,T
1,digit,2 + 7 = 9,a,1383,small,3,T
1,digit,3 + 8 = 10,l,2092,small,3,F
1,word,eight + five = seventeen,l,3143,large,3,F
1,word,six + eight = fourteen,a,3580,large,3,T
1,word,two + two = four,a,1689,small,3,T
1,word,two + nine = eleven,a,2547,small,3,T
1,digit,8 + 6 = 18,l,2281,large,3,F
1,digit,3 + 9 = 12,a,1841,large,3,T
1,digit,6 + 4 = 10,a,1150,small,3,T
1,digit,6 + 7 = 13,a,2039,large,3,T
1,word,nine + nine = fifteen,l,1695,large,3,F
1,digit,5 + 8 = 13,a,2391,large,3,T
1,word,three + two = seven,l,1862,small,3,F
0,word,eight + seven = fifteen,l,2566,large,3,T
1,word,four + nine = thirteen,a,1970,large,3,T
1,digit,2 + 8 = 10,a,1181,small,3,T
1,digit,5 + 3 = 4,l,1196,small,3,F
1,digit,6 + 2 = 5,l,1280,small,3,F
1,digit,8 + 8 = 13,l,1226,large,3,F
1,digit,6 + 6 = 12,a,1257,large,3,T
1,digit,9 + 5 = 16,l,1863,large,3,F
1,digit,5 + 7 = 12,a,2414,large,3,T
1,word,three + four = six,l,1761,small,3,F
1,digit,2 + 9 = 11,a,1653,small,3,T
1,word,eight + nine = sixteen,l,1941,large,3,F
1,digit,7 + 9 = 16,a,2150,large,3,T
1,digit,3 + 3 = 6,a,1146,small,3,T
1,digit,3 + 6 = 7,l,1378,small,3,F
1,word,three + three = six,a,2192,small,3,T
1,digit,7 + 3 = 12,l,1338,small,3,F
1,word,eight + eight = eighteen,l,1736,large,3,F
1,word,seven + six = thirteen,a,3056,large,3,T
1,word,four + eight = twelve,a,2789,large,3,T
1,word,two + four = six,a,1452,small,3,T
1,word,five + two = four,l,1963,small,3,F
1,digit,6 + 5 = 14,l,1683,large,3,F
1,word,six + four = nine,l,1858,small,3,F
1,digit,3 + 3 = 7,l,1652,small,3,F
1,word,two + five = seven,a,1985,small,3,T
1,digit,8 + 7 = 12,l,2891,large,3,F
1,digit,7 + 2 = 6,l,2093,small,3,F
1,digit,4 + 3 = 9,l,1384,small,3,F
1,word,eight + nine = seventeen,a,2016,large,3,T
1,word,four + four = six,l,1610,small,3,F
1,word,two + eight = eleven,l,1665,small,3,F
1,digit,7 + 7 = 18,l,1136,large,3,F
1,word,two + four = nine,l,2107,small,3,F
1,digit,3 + 5 = 8,a,1351,small,3,T
1,digit,8 + 8 = 16,a,1244,large,3,T
1,digit,6 + 9 = 15,a,1934,large,3,T
1,digit,9 + 9 = 18,a,1230,large,3,T
1,word,two + nine = ten,l,2001,small,3,F
1,digit,9 + 8 = 17,a,1985,large,3,T
1,word,five + eight = thirteen,a,3975,large,3,T
1,word,five + seven = twelve,a,3464,large,3,T
1,digit,5 + 2 = 7,a,1088,small,3,T
1,digit,3 + 2 = 4,l,1218,small,3,F
1,digit,6 + 7 = 14,l,2220,large,3,F
1,digit,8 + 4 = 12,a,1899,large,3,T
1,word,five + four = nine,a,1718,small,3,T
1,word,seven + four = eleven,a,2241,large,3,T
1,word,three + six = seven,l,2051,small,3,F
1,word,three + five = twelve,l,1741,small,3,F
1,word,seven + nine = eighteen,l,1843,large,3,F
1,digit,8 + 3 = 11,a,1895,small,3,T
1,word,four + nine = sixteen,l,1952,large,3,F
1,word,two + two = five,l,1469,small,3,F
1,digit,4 + 2 = 5,l,1257,small,3,F
1,word,eight + eight = sixteen,a,1532,large,3,T
1,word,eight + six = seventeen,l,3332,large,3,F
1,word,six + four = ten,a,1736,small,3,T
1,digit,5 + 7 = 11,l,2384,large,3,F
1,word,six + six = twelve,a,1518,large,3,T
1,digit,2 + 8 = 7,l,2018,small,3,F
1,digit,8 + 6 = 14,a,3120,large,3,T
1,word,six + two = eight,a,2230,small,3,T
1,digit,2 + 2 = 4,a,1139,small,3,T
1,word,nine + nine = eighteen,a,1369,large,3,T
1,word,six + nine = fourteen,l,1713,large,3,F
1,digit,6 + 6 = 15,l,1117,large,3,F
1,digit,6 + 2 = 8,a,1198,small,3,T
1,digit,6 + 5 = 11,a,1417,large,3,T
1,word,three + seven = ten,a,1757,small,3,T
1,word,seven + eight = thirteen,l,3296,large,3,F
1,word,two + seven = eight,l,2981,small,3,F
1,digit,4 + 6 = 13,l,1272,small,3,F
1,digit,3 + 6 = 9,a,1087,small,3,T
1,digit,5 + 8 = 17,l,1929,large,3,F
1,word,five + five = ten,a,1296,small,3,T
0,digit,7 + 4 = 11,l,1600,large,3,T
1,digit,2 + 9 = 8,l,1948,small,3,F
1,digit,5 + 5 = 10,a,976,small,3,T
1,word,seven + seven = fifteen,l,1577,large,3,F
1,word,nine + five = fourteen,a,2967,large,3,T
1,word,three + three = four,l,1687,small,3,F
1,word,six + five = eleven,a,1779,large,3,T
1,digit,7 + 9 = 13,l,2121,large,3,F
1,digit,4 + 4 = 8,a,1064,small,3,T
1,word,four + three = seven,a,2000,small,3,T
1,word,three + nine = eleven,l,2326,large,3,F
1,digit,3 + 7 = 10,a,1382,small,3,T
1,word,four + eight = nine,l,2732,large,3,F
1,digit,9 + 5 = 14,a,1751,large,3,T
1,word,seven + six = twelve,l,2373,large,3,F
1,word,eight + three = eleven,a,2520,small,3,T
1,word,three + two = five,a,1583,small,3,T
1,digit,5 + 4 = 11,l,1243,small,3,F
1,digit,4 + 9 = 16,l,1599,large,3,F
1,digit,3 + 9 = 10,l,1507,large,3,F
1,digit,6 + 2 = 11,l,1627,small,3,F
1,digit,7 + 7 = 14,a,1068,large,3,T
1,word,two + three = four,l,1713,small,3,F
1,word,nine + eight = eighteen,l,1991,large,3,F
1,word,seven + eight = fifteen,a,3549,large,3,T
1,digit,7 + 4 = 12,l,2566,large,3,F
1,digit,4 + 4 = 10,l,1128,small,3,F
1,digit,8 + 8 = 15,l,1076,large,3,F
1,digit,7 + 5 = 12,a,2269,large,3,T
1,word,two + nine = eleven,a,2087,small,3,T
1,word,three + four = five,l,1475,small,3,F
1,word,two + two = four,a,2038,small,3,T
1,digit,9 + 8 = 14,l,1418,large,3,F
1,word,three + seven = twelve,l,1693,small,3,F
1,digit,3 + 3 = 6,a,1055,small,3,T
1,digit,3 + 8 = 9,l,2022,small,3,F
1,digit,7 + 9 = 16,a,2134,large,3,T
1,digit,5 + 6 = 13,l,3391,large,3,F
1,word,seven + seven = fourteen,a,1913,large,3,T
1,word,six + seven = thirteen,a,3069,large,3,T
1,word,five + seven = sixteen,l,2586,large,3,F
1,word,two + five = six,l,1784,small,3,F
1,digit,6 + 7 = 13,a,3591,large,3,T
1,word,five + three = eight,a,1722,small,3,T
1,digit,8 + 7 = 15,a,3269,large,3,T
1,digit,4 + 6 = 10,a,1160,small,3,T
1,digit,3 + 9 = 12,a,1726,large,3,T
1,digit,9 + 9 = 16,l,1090,large,3,F
1,word,four + seven = fifteen,l,1955,large,3,F
1,word,five + eight = fifteen,l,3187,large,3,F
1,digit,8 + 4 = 13,l,2551,large,3,F
1,word,six + two = seven,l,1712,small,3,F
1,digit,7 + 3 = 6,l,1539,small,3,F
1,digit,9 + 5 = 18,l,1426,large,3,F
1,digit,3 + 4 = 7,a,1284,small,3,T
1,digit,5 + 8 = 13,a,2121,large,3,T
1,word,eight + four = twelve,a,2696,large,3,T
1,digit,6 + 9 = 12,l,1613,large,3,F
1,digit,6 + 8 = 17,l,2645,large,3,F
1,word,six + five = fourteen,l,1703,large,3,F
1,word,two + eight = ten,a,1749,small,3,T
1,word,six + eight = fourteen,a,3587,large,3,T
1,digit,2 + 2 = 5,l,1158,small,3,F
1,word,eight + three = seven,l,1952,small,3,F
1,digit,3 + 2 = 5,a,1176,small,3,T
1,word,five + five = nine,l,1501,small,3,F
1,word,four + five = ten,l,1776,small,3,F
1,word,eight + eight = thirteen,l,1727,large,3,F
1,digit,4 + 9 = 13,a,2220,large,3,T
1,word,three + nine = twelve,a,2514,large,3,T
1,word,nine + four = thirteen,a,1992,large,3,T
1,word,nine + five = twelve,l,1975,large,3,F
1,digit,5 + 5 = 12,l,1162,small,3,F
1,word,six + nine = fifteen,a,2045,large,3,T
1,word,two + seven = nine,a,1616,small,3,T
1,word,six + three = nine,a,1676,small,3,T
1,word,three + three = six,a,1531,small,3,T
1,digit,9 + 2 = 11,a,1618,small,3,T
1,digit,2 + 8 = 10,a,1233,small,3,T
1,word,nine + nine = seventeen,l,1453,large,3,F
1,digit,2 + 7 = 9,a,1324,small,3,T
1,word,six + four = eight,l,1533,small,3,F
1,digit,5 + 3 = 7,l,1060,small,3,F
1,digit,6 + 6 = 12,a,1013,large,3,T
1,word,four + four = eight,a,1353,small,3,T
1,word,six + six = eleven,l,1174,large,3,F
1,word,seven + nine = sixteen,a,2005,large,3,T
1,digit,3 + 6 = 8,l,1325,small,3,F
1,digit,2 + 5 = 4,l,1236,small,3,F
1,digit,5 + 4 = 9,a,1123,small,3,T
1,digit,4 + 2 = 6,a,1131,small,3,T
1,word,four + two = six,a,1488,small,3,T
1,word,two + two = eight,l,1794,small,3,F
1,word,four + nine = fourteen,l,1879,large,3,F
1,digit,4 + 6 = 9,l,1384,small,3,F
1,digit,8 + 2 = 11,l,1635,small,3,F
1,digit,3 + 2 = 7,l,1327,small,3,F
1,word,three + three = ten,l,1579,small,3,F
0,digit,8 + 9 = 17,l,2351,large,3,T
1,digit,6 + 3 = 9,a,1203,small,3,T
1,digit,3 + 3 = 4,l,962,small,3,F
1,word,seven + nine = fifteen,l,3875,large,3,F
1,digit,6 + 5 = 11,a,1109,large,3,T
1,word,three + seven = ten,a,1795,small,3,T
1,word,five + five = ten,a,1147,small,3,T
1,digit,9 + 6 = 15,a,1644,large,3,T
1,word,four + four = seven,l,1327,small,3,F
1,digit,5 + 4 = 6,l,1167,small,3,F
1,word,two + seven = five,l,1585,small,3,F
1,digit,5 + 2 = 7,a,1619,small,3,T
1,digit,3 + 7 = 10,a,1075,small,3,T
1,word,three + four = seven,a,1409,small,3,T
1,word,two + five = seven,a,1972,small,3,T
1,digit,8 + 8 = 16,a,1005,large,3,T
1,word,six + six = twelve,a,1399,large,3,T
1,word,six + five = eleven,a,1699,large,3,T
1,word,five + nine = fourteen,a,2048,large,3,T
1,word,six + nine = sixteen,l,1749,large,3,F
1,word,eight + three = eleven,a,2569,small,3,T
1,digit,9 + 3 = 11,l,2120,large,3,F
1,digit,9 + 5 = 14,a,1496,large,3,T
1,digit,2 + 6 = 8,a,1181,small,3,T
1,digit,5 + 7 = 10,l,2871,large,3,F
1,digit,3 + 8 = 11,a,1514,small,3,T
1,digit,2 + 7 = 8,l,1666,small,3,F
1,word,six + seven = eleven,l,2604,large,3,F
1,word,nine + nine = eighteen,a,1329,large,3,T
1,word,eight + eight = sixteen,a,1398,large,3,T
1,digit,7 + 8 = 18,l,1645,large,3,F
1,word,eight + two = nine,l,2130,small,3,F
1,digit,5 + 3 = 8,a,1066,small,3,T
1,word,six + three = eleven,l,1796,small,3,F
1,word,nine + eight = seventeen,a,2228,large,3,T
1,word,nine + two = six,l,2027,small,3,F
1,word,four + two = seven,l,1893,small,3,F
1,word,six + two = eight,a,1508,small,3,T
1,digit,8 + 4 = 12,a,1840,large,3,T
1,digit,5 + 5 = 10,a,938,small,3,T
1,digit,4 + 9 = 17,l,1751,large,3,F
1,word,four + five = nine,a,1536,small,3,T
1,digit,7 + 4 = 11,a,1981,large,3,T
1,digit,7 + 7 = 13,l,1035,large,3,F
1,word,five + eight = thirteen,a,2681,large,3,T
1,digit,3 + 4 = 5,l,1223,small,3,F
1,word,eight + six = eighteen,l,2054,large,3,F
1,word,seven + four = eleven,a,2494,large,3,T
1,word,five + three = four,l,1893,small,3,F
1,digit,2 + 2 = 4,a,1101,small,3,T
1,digit,2 + 4 = 10,l,1625,small,3,F
1,word,six + four = ten,a,1524,small,3,T
1,word,nine + three = thirteen,l,2754,large,3,F
1,digit,9 + 7 = 12,l,1361,large,3,F
1,digit,6 + 7 = 15,l,3007,large,3,F
1,word,seven + five = twelve,a,2878,large,3,T
1,digit,6 + 6 = 14,l,1012,large,3,F
1,digit,2 + 9 = 12,l,1283,small,3,F
1,digit,8 + 6 = 14,a,2928,large,3,T
1,word,two + three = five,a,1979,small,3,T
1,digit,4 + 4 = 8,a,985,small,3,T
1,word,seven + seven = seventeen,l,1813,large,3,F
1,word,eight + four = fifteen,l,2661,large,3,F
1,digit,9 + 9 = 18,a,1152,large,3,T
1,word,eight + seven = twelve,l,3052,large,3,F
1,digit,5 + 8 = 16,l,2455,large,3,F
