"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","six + six = nine","l","3295","large","3","F"
"1","word","nine + six = fifteen","a","4336","large","3","T"
"1","word","five + two = four","l","4523","small","3","F"
"1","digit","8 + 6 = 18","l","4478","large","3","F"
"1","word","two + six = five","l","3766","small","3","F"
"1","digit","2 + 3 = 5","a","1707","small","3","T"
"1","digit","4 + 8 = 11","l","2341","large","3","F"
"1","word","seven + four = twelve","l","5396","large","3","F"
"1","digit","2 + 8 = 10","a","1491","small","3","T"
"1","digit","2 + 5 = 11","l","2161","small","3","F"
"1","word","four + four = eight","a","2068","small","3","T"
"1","word","three + nine = twelve","a","5470","large","3","T"
"1","word","six + five = ten","l","3695","large","3","F"
"1","word","two + nine = eleven","a","4230","small","3","T"
"1","word","eight + five = seventeen","l","12650","large","3","F"
"1","digit","6 + 2 = 5","l","2281","small","3","F"
"1","digit","2 + 2 = 6","l","1788","small","3","F"
"1","digit","3 + 8 = 10","l","3217","small","3","F"
"1","digit","3 + 9 = 12","a","3570","large","3","T"
"1","word","eight + eight = eighteen","l","3389","large","3","F"
"1","digit","3 + 3 = 6","a","1505","small","3","T"
"1","word","three + eight = twelve","l","7782","small","3","F"
"1","word","eight + nine = sixteen","l","4696","large","3","F"
"1","digit","7 + 8 = 15","a","2726","large","3","T"
"1","word","six + three = nine","a","3932","small","3","T"
"1","digit","5 + 3 = 4","l","2374","small","3","F"
"1","word","four + five = thirteen","l","2196","small","3","F"
"1","word","seven + two = nine","a","3423","small","3","T"
"1","word","six + four = nine","l","5474","small","3","F"
"0","digit","9 + 6 = 11","a","2496","large","3","F"
"1","word","two + two = four","a","2956","small","3","T"
"1","word","three + four = six","l","5893","small","3","F"
"1","digit","7 + 7 = 14","a","1202","large","3","T"
"1","digit","5 + 5 = 8","l","1609","small","3","F"
"1","word","seven + five = fourteen","l","4852","large","3","F"
"1","digit","4 + 2 = 6","a","1399","small","3","T"
"1","word","three + three = six","a","1505","small","3","T"
"1","word","three + two = seven","l","4648","small","3","F"
"1","word","five + five = eight","l","2332","small","3","F"
"1","word","two + four = six","a","3240","small","3","T"
"1","word","eight + seven = fifteen","a","7626","large","3","T"
"1","digit","6 + 7 = 13","a","2028","large","3","T"
"1","digit","9 + 9 = 17","l","3138","large","3","F"
"1","word","seven + seven = fourteen","a","1784","large","3","T"
"1","word","four + eight = twelve","a","6679","large","3","T"
"1","word","five + three = eight","a","3365","small","3","T"
"1","word","eight + two = ten","a","2537","small","3","T"
"1","digit","5 + 8 = 13","a","5618","large","3","T"
"1","digit","6 + 4 = 10","a","1589","small","3","T"
"1","digit","9 + 8 = 15","l","2587","large","3","F"
"1","digit","8 + 8 = 13","l","2176","large","3","F"
"1","digit","5 + 7 = 12","a","1096","large","3","T"
"1","digit","7 + 4 = 13","l","4219","large","3","F"
"1","word","seven + nine = sixteen","a","4813","large","3","T"
"1","digit","5 + 4 = 9","a","1474","small","3","T"
"1","word","seven + three = fourteen","l","3900","small","3","F"
"1","word","six + eight = fourteen","a","8432","large","3","T"
"1","digit","3 + 4 = 7","a","1618","small","3","T"
"1","digit","4 + 9 = 13","a","1703","large","3","T"
