"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","eight + two = ten","a","1477","small","1","T"
"1","word","three + three = six","a","1089","small","1","T"
"1","word","seven + seven = fourteen","a","1036","large","1","T"
"0","digit","2 + 7 = 9","l","1038","small","1","T"
"1","digit","3 + 4 = 7","a","944","small","1","T"
"1","digit","8 + 6 = 18","l","1262","large","1","F"
"1","digit","5 + 5 = 8","l","1132","small","1","F"
"1","word","six + six = nine","l","1209","large","1","F"
"1","word","seven + two = nine","a","1553","small","1","T"
"1","word","six + eight = fourteen","a","1273","large","1","T"
"1","word","eight + nine = sixteen","l","3630","large","1","F"
"0","digit","6 + 5 = 14","a","3477","large","1","F"
"1","word","two + two = four","a","1367","small","1","T"
"1","word","five + two = four","l","1995","small","1","F"
"1","word","three + two = seven","l","2656","small","1","F"
"1","word","seven + three = fourteen","l","3076","small","1","F"
"1","word","six + five = ten","l","1781","large","1","F"
"1","digit","4 + 4 = 9","l","992","small","1","F"
"1","digit","2 + 9 = 11","a","814","small","1","T"
"1","word","four + four = eight","a","905","small","1","T"
"1","word","nine + nine = fifteen","l","975","large","1","F"
"1","digit","5 + 7 = 12","a","1444","large","1","T"
"1","digit","6 + 6 = 12","a","676","large","1","T"
"1","word","six + three = nine","a","1186","small","1","T"
"1","digit","5 + 8 = 13","a","1377","large","1","T"
"1","digit","2 + 5 = 11","l","1669","small","1","F"
"1","digit","9 + 8 = 15","l","3188","large","1","F"
"0","word","eight + seven = fifteen","l","1896","large","1","T"
"1","digit","3 + 9 = 12","a","2392","large","1","T"
"1","digit","3 + 8 = 10","l","1963","small","1","F"
"0","word","four + nine = thirteen","l","1649","large","1","T"
"1","digit","7 + 8 = 15","a","1433","large","1","T"
"1","digit","9 + 9 = 17","l","1009","large","1","F"
"0","word","six + four = nine","a","1753","small","1","F"
"1","word","nine + five = eleven","l","1921","large","1","F"
"1","digit","2 + 2 = 6","l","926","small","1","F"
"1","digit","6 + 2 = 5","l","1064","small","1","F"
"1","word","three + nine = twelve","a","2839","large","1","T"
"1","digit","2 + 3 = 5","a","1477","small","1","T"
