correct,format,problem,response,response_time,size,subject_nr,truth
1,digit,7 + 7 = 14,a,1063,large,3,T
1,word,five + five = eight,l,1284,small,3,F
1,digit,5 + 8 = 13,a,1384,large,3,T
1,word,six + five = ten,l,1648,large,3,F
1,word,four + four = eight,a,914,small,3,T
1,digit,3 + 6 = 7,l,978,small,3,F
1,word,six + three = nine,a,1174,small,3,T
1,digit,3 + 9 = 12,a,1015,large,3,T
1,digit,3 + 3 = 6,a,1031,small,3,T
1,digit,7 + 9 = 16,a,1179,large,3,T
1,word,seven + seven = fourteen,a,1055,large,3,T
1,digit,5 + 4 = 9,a,847,small,3,T
1,digit,9 + 5 = 16,l,1005,large,3,F
1,word,seven + four = twelve,l,3007,large,3,F
1,digit,2 + 7 = 9,a,866,small,3,T
1,digit,7 + 8 = 15,a,1188,large,3,T
1,word,three + two = seven,l,1164,small,3,F
1,digit,3 + 4 = 7,a,958,small,3,T
1,word,two + four = six,a,1393,small,3,T
1,digit,6 + 6 = 12,a,792,large,3,T
0,digit,2 + 8 = 10,l,968,small,3,T
1,word,two + six = five,l,1779,small,3,F
1,word,four + eight = twelve,a,1345,large,3,T
1,word,two + two = four,a,823,small,3,T
1,word,seven + three = fourteen,l,1974,small,3,F
1,word,nine + five = eleven,l,1521,large,3,F
0,word,six + eight = fourteen,l,2636,large,3,T
0,word,five + three = eight,l,1930,small,3,T
1,digit,4 + 2 = 6,a,860,small,3,T
1,digit,6 + 7 = 13,a,1191,large,3,T
1,word,seven + two = nine,a,1115,small,3,T
1,word,eight + eight = eighteen,l,1423,large,3,F
1,digit,9 + 9 = 17,l,1459,large,3,F
1,digit,2 + 9 = 11,a,873,small,3,T
1,digit,6 + 5 = 14,l,1054,large,3,F
1,word,four + five = thirteen,l,1407,small,3,F
1,digit,8 + 8 = 13,l,925,large,3,F
1,digit,2 + 3 = 5,a,800,small,3,T
1,digit,3 + 8 = 10,l,1159,small,3,F
1,word,seven + five = fourteen,l,1800,large,3,F
1,digit,5 + 5 = 8,l,977,small,3,F
