subject,gender,age
1,m,23
2,f,55
3,m,18
4,m,50
5,f,26
6,f,23
7,f,20
8,f,60
9,f,27
10,f,23
11,m,28
12,m,26
13,f,23
14,f,54
15,m,61
16,m,25
17,f,22
18,f,22
19,f,22
20,m,22
21,f,23
22,f,50
23,m,54
24,m,28
25,f,41
26,f,21
27,m,18
28,m,48
29,m,23
30,f,22
31,m,53
32,f,46
33,f,24
34,f,54
35,m,22
36,m,24
37,f,51
38,m,19
39,f,23
40,m,53
41,f,36
42,m,36
43,f,74
44,m,78
45,m,25
46,f,24
47,f,25
48,m,29
49,f,33
50,f,31
51,m,30
52,m,33
53,f,25
54,f,28
55,m,32
56,f,49
57,m,25
58,f,22
59,m,22
60,m,25
61,f,25
62,f,26
63,f,47
64,m,31
65,f,23
66,f,40
67,m,20
68,f,24
69,f,39
70,f,60
71,m,19
72,m,36
