"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Intructions1","correct_keyboardResponse","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Fnish","count_ISI","count_Instructions2","count_Instructions3","count_Intructions1","count_Logger","count_Sequence","count_experiment","count_faster","count_fixation","count_keyboardResponse","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Fnish","response_Instructions2","response_Instructions3","response_Intructions1","response_keyboardResponse","response_time","response_time_Fnish","response_time_Instructions2","response_time_Instructions3","response_time_Intructions1","response_time_keyboardResponse","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Fnish","time_ISI","time_Instructions2","time_Instructions3","time_Intructions1","time_Logger","time_Sequence","time_experiment","time_faster","time_fixation","time_keyboardResponse","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","586","586","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","h","NA","NA","NA","s","h","586","NA","NA","NA","4963","586","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","6443","NA","NA","NA","NA","NA","NA","NA","1468","7195","6481","1430","NA","6492","6607","6607","Flanker Task","1","586","1","yes","1024"
"100","100","612","612","black","no","legacy","legacy","legacy","0","incongurent","uniform","1","undefined","1","h","0","0","0","1","0","1","0","0","0","1","1","0","1","1","1","1","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","h","NA","NA","NA","s","h","638","NA","NA","NA","4963","638","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","6443","NA","NA","NA","NA","7215","NA","NA","1468","9019","8254","1430","NA","8265","8380","8380","Flanker Task","2","1224","2","yes","1024"
"100","100","592.666666667","592.666666667","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","2","0","2","0","0","0","2","2","0","2","2","2","2","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","s","NA","NA","NA","s","s","554","NA","NA","NA","4963","554","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","6443","NA","NA","NA","NA","9033","NA","NA","1468","10756","10071","1430","NA","10082","10200","10200","Flanker Task","3","1778","3","yes","1024"
"100","100","577","577","black","no","legacy","legacy","legacy","0","incongurent","uniform","1","undefined","1","h","0","0","0","3","0","3","0","0","0","3","3","0","3","3","3","3","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","h","NA","NA","NA","s","h","530","NA","NA","NA","4963","530","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","6443","NA","NA","NA","NA","10770","NA","NA","1468","12459","11802","1430","NA","11813","11927","11927","Flanker Task","4","2308","4","yes","1024"
"100","100","563.4","563.4","black","no","legacy","legacy","legacy","0","conguent","uniform","1","undefined","1","s","0","0","0","4","0","4","0","0","0","4","4","0","4","4","4","4","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","s","NA","NA","NA","s","s","509","NA","NA","NA","4963","509","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","6443","NA","NA","NA","NA","12473","NA","NA","1468","14143","13506","1430","NA","13517","13632","13632","Flanker Task","5","2817","5","yes","1024"
"100","100","540.5","540.5","black","no","legacy","legacy","legacy","0","conguent","uniform","1","undefined","1","s","0","0","0","5","0","5","0","0","0","5","5","0","5","5","5","5","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","s","NA","NA","NA","s","s","426","NA","NA","NA","4963","426","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","6443","NA","NA","NA","NA","14181","NA","NA","1468","15771","15214","1430","NA","15225","15343","15343","Flanker Task","6","3243","6","yes","1024"
"100","100","523.285714286","523.285714286","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","6","0","6","0","0","0","6","6","0","6","6","6","6","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","h","NA","NA","NA","s","h","420","NA","NA","NA","4963","420","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","6443","NA","NA","NA","NA","15824","NA","NA","1468","17405","16856","1430","NA","16867","16983","16983","Flanker Task","7","3663","7","yes","1024"
"100","100","515.625","515.625","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","0","7","0","0","0","7","7","0","7","7","7","7","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","h","NA","NA","NA","s","h","462","NA","NA","NA","4963","462","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","6443","NA","NA","NA","NA","17419","NA","NA","1468","19049","18457","1430","NA","18468","18585","18585","Flanker Task","8","4125","8","yes","1024"
"100","100","516.777777778","516.777777778","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","8","0","8","0","0","0","8","8","0","8","8","8","8","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","s","NA","NA","NA","s","s","526","NA","NA","NA","4963","526","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","6443","NA","NA","NA","NA","19063","NA","NA","1468","20752","20099","1430","NA","20110","20224","20223","Flanker Task","9","4651","9","yes","1024"
"100","100","505.9","505.9","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","9","0","9","0","0","0","9","9","0","9","9","9","9","Sat Sep  8 20:10:14 2018","1500","The main experiment item","yes","Lab 1 PYSCH 5316.osexp","/Users/danieldalton/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/danieldalton/Desktop/DD Subject 1.csv","legacy","Jazzy James","3.1.9","0","h","NA","NA","NA","s","h","408","NA","NA","NA","4963","408","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","6443","NA","NA","NA","NA","20766","NA","NA","1468","22335","21798","1430","NA","21809","21925","21925","Flanker Task","10","5059","10","yes","1024"
