"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions3","response_finish","response_instructions1","response_instructions2","response_keyboard_response","response_time","response_time_Instructions3","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1117","1117","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","1117","NA","NA","47928","NA","1117","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","52448","NA","NA","NA","NA","NA","4513","NA","NA","52590","4519","NA","52692","53810","52587","52691","Flanker task","1","1117","1","yes","1024"
"100","100","955","955","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","1","0","1","0","1","0","1","0","0","1","1","1","1","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","793","NA","NA","47928","NA","793","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","52448","NA","NA","53828","NA","NA","4513","NA","NA","54894","4519","NA","54995","55788","54891","54995","Flanker task","2","1910","2","yes","1024"
"100","100","901.333333333","901.333333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","2","0","2","0","2","0","2","0","0","2","2","2","2","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","794","NA","NA","47928","NA","794","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","52448","NA","NA","55800","NA","NA","4513","NA","NA","56868","4519","NA","56969","57764","56865","56969","Flanker task","3","2704","3","yes","1024"
"100","100","900.75","900.75","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","3","0","3","0","3","0","3","0","0","3","3","3","3","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","899","NA","NA","47928","NA","899","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","52448","NA","NA","57775","NA","NA","4513","NA","NA","58841","4519","NA","58942","59841","58838","58942","Flanker task","4","3603","4","yes","1024"
"100","100","840.4","840.4","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","4","0","4","0","4","0","4","0","0","4","4","4","4","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","599","NA","NA","47928","NA","599","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","52448","NA","NA","59855","NA","NA","4513","NA","NA","60920","4519","NA","61021","61620","60917","61021","Flanker task","5","4202","5","yes","1024"
"100","100","829.833333333","829.833333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","5","0","5","0","5","0","5","0","0","5","5","5","5","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","777","NA","NA","47928","NA","777","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","52448","NA","NA","61631","NA","NA","4513","NA","NA","62698","4519","NA","62799","63577","62695","62799","Flanker task","6","4979","6","yes","1024"
"100","100","807.285714286","807.285714286","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","6","0","6","0","6","0","6","0","0","6","6","6","6","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","672","NA","NA","47928","NA","672","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","52448","NA","NA","63588","NA","NA","4513","NA","NA","64654","4519","NA","64755","65428","64651","64755","Flanker task","7","5651","7","yes","1024"
"100","100","772.375","772.375","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","7","0","7","0","7","0","7","0","0","7","7","7","7","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","528","NA","NA","47928","NA","528","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","52448","NA","NA","65439","NA","NA","4513","NA","NA","66507","4519","NA","66608","67136","66505","66608","Flanker task","8","6179","8","yes","1024"
"100","100","755.666666667","755.666666667","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","8","0","8","0","8","0","8","0","0","8","8","8","8","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","622","NA","NA","47928","NA","622","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","52448","NA","NA","67147","NA","NA","4513","NA","NA","68225","4519","NA","68327","68950","68222","68327","Flanker task","9","6801","9","yes","1024"
"100","100","764.1","764.1","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","9","0","9","0","9","0","9","0","0","9","9","9","9","09/06/18 20:12:06","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-3.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","840","NA","NA","47928","NA","840","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","52448","NA","NA","68954","NA","NA","4513","NA","NA","70022","4519","NA","70124","70965","70019","70124","Flanker task","10","7641","10","yes","1024"
