condition,stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Faster,count_ISI,count_Sequence,count_errorFeedback,count_experiment,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Faster,time_ISI,time_Sequence,time_errorFeedback,time_experiment,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Congruent,HHHHH,0,0,1500,1500,black,legacy,legacy,legacy,0,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,None,NA,l,NA,NA,None,1500,NA,309142,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,NA,312266,NA,2872,NA,312271,2880,NA,NA,312384,313884,312383,Flanker Task,0,1500,1,yes,1024
Congruent,HHHHH,50,50,1131.5,1131.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,l,NA,NA,h,763,NA,309142,NA,NA,763,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,314427,315655,313923,2872,NA,315659,2880,NA,NA,315770,316534,315770,Flanker Task,1,2263,2,yes,1024
Congruent,SSSSS,66.66666667,66.66666667,1026.333333,1026.333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,2,2,2,2,0,0,2,0,0,0,2,2,2,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,l,NA,NA,s,816,NA,309142,NA,NA,816,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,316548,317740,313923,2872,NA,317746,2880,NA,NA,317861,318678,317860,Flanker Task,2,3079,3,yes,1024
Congruent,SSSSS,75,75,934,934,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,3,3,3,3,0,0,3,0,0,0,3,3,3,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,l,NA,NA,s,657,NA,309142,NA,NA,657,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,318695,319909,313923,2872,NA,319915,2880,NA,NA,320029,320687,320029,Flanker Task,3,3736,4,yes,1024
Congruent,HHHHH,80,80,833.6,833.6,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,4,4,4,4,0,0,4,0,0,0,4,4,4,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,l,NA,NA,h,432,NA,309142,NA,NA,432,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,320701,321894,313923,2872,NA,321900,2880,NA,NA,322012,322445,322012,Flanker Task,4,4168,5,yes,1024
Incongruent,HHSHH,83.33333333,83.33333333,876.3333333,876.3333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,5,5,5,5,0,0,5,0,0,0,5,5,5,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,l,NA,NA,s,1090,NA,309142,NA,NA,1090,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,322459,323663,313923,2872,NA,323668,2880,NA,NA,323781,324872,323780,Flanker Task,5,5258,6,yes,1024
Incongruent,SSHSS,85.71428571,85.71428571,847.7142857,847.7142857,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,6,6,6,6,0,0,6,0,0,0,6,6,6,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,l,NA,NA,h,676,NA,309142,NA,NA,676,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,324885,326086,313923,2872,NA,326091,2880,NA,NA,326202,326880,326201,Flanker Task,6,5934,7,yes,1024
Congruent,HHHHH,87.5,87.5,847.5,847.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,7,7,7,7,0,0,7,0,0,0,7,7,7,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,l,NA,NA,h,846,NA,309142,NA,NA,846,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,326894,328086,313923,2872,NA,328092,2880,NA,NA,328206,329054,328205,Flanker Task,7,6780,8,yes,1024
Incongruent,HHSHH,88.88888889,88.88888889,861.1111111,861.1111111,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,8,8,8,8,0,0,8,0,0,0,8,8,8,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,l,NA,NA,s,970,NA,309142,NA,NA,970,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,329068,330295,313923,2872,NA,330301,2880,NA,NA,330405,331377,330404,Flanker Task,8,7750,9,yes,1024
Incongruent,HHSHH,90,90,851.1,851.1,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,9,9,9,9,0,0,9,0,0,0,9,9,9,9/9/18 19:50,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/kg-subject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,l,NA,NA,s,761,NA,309142,NA,NA,761,2,legacy,1024,2,48000,-16,experiment,1,odd,312024,NA,NA,NA,331432,332654,313923,2872,NA,332659,2880,NA,NA,332773,333536,332772,Flanker Task,9,8511,10,yes,1024
