"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Fixation","count_ISI","count_Sequence","count_errorFeedback","count_experiment","count_faster","count_finish","count_getting_started","count_instructions","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Fixation","time_ISI","time_Sequence","time_errorFeedback","time_experiment","time_faster","time_finish","time_getting_started","time_instructions","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1164","1164","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","1164","NA","2501","NA","NA","1164","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","14645","NA","NA","15459","NA","15426","NA","12118","NA","NA","NA","12143","NA","NA","15575","16741","15575","NA","Flanker test","1","1164","1","yes","1024"
"50","50","783.5","783.5","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","1","1","1","1","0","1","0","NA","0","0","0","1","1","1","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","403","NA","2501","NA","NA","403","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","14645","NA","NA","18644","16783","18602","NA","12118","NA","NA","NA","12143","NA","NA","18761","19166","18760","NA","Flanker test","1","1567","2","yes","1024"
"66.6666666667","66.6666666667","709.333333333","709.333333333","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","2","2","2","2","0","2","0","NA","0","0","0","2","2","2","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","561","NA","2501","NA","NA","561","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","14645","NA","NA","21647","19798","21612","19293","12118","NA","NA","NA","12143","NA","NA","21763","22325","21762","NA","Flanker test","2","2128","3","yes","1024"
"75","75","658.75","658.75","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","3","3","3","3","0","3","0","NA","0","0","0","3","3","3","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","507","NA","2501","NA","NA","507","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","14645","NA","NA","24163","22344","24127","19293","12118","NA","NA","NA","12143","NA","NA","24281","24789","24280","NA","Flanker test","3","2635","4","yes","1024"
"60","60","616","616","black","no","xpyriment","legacy","legacy","0","congruent","uniform","0","undefined","0","h","0","0","0","4","4","4","4","0","4","0","NA","0","0","0","4","4","4","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","445","NA","2501","NA","NA","445","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","26632","24813","26596","19293","12118","NA","NA","NA","12143","NA","NA","26742","27189","26742","NA","Flanker test","3","3080","5","yes","1024"
"66.6666666667","66.6666666667","601.166666667","601.166666667","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","5","5","5","5","0","5","0","NA","0","0","0","5","5","5","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","527","NA","2501","NA","NA","527","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","14645","NA","NA","29520","27707","29485","27202","12118","NA","NA","NA","12143","NA","NA","29637","30165","29636","NA","Flanker test","4","3607","6","yes","1024"
"71.4285714286","71.4285714286","583.142857143","583.142857143","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","6","6","6","6","0","6","0","NA","0","0","0","6","6","6","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","475","NA","2501","NA","NA","475","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","14645","NA","NA","32043","30189","32006","27202","12118","NA","NA","NA","12143","NA","NA","32153","32629","32152","NA","Flanker test","5","4082","7","yes","1024"
"75","75","582.875","582.875","black","no","xpyriment","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","7","7","7","7","0","7","0","NA","0","0","0","7","7","7","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","581","NA","2501","NA","NA","581","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","14645","NA","NA","34457","32647","34423","27202","12118","NA","NA","NA","12143","NA","NA","34574","35157","34573","NA","Flanker test","6","4663","8","yes","1024"
"77.7777777778","77.7777777778","559.888888889","559.888888889","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","8","8","8","8","0","8","0","NA","0","0","0","8","8","8","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","376","NA","2501","NA","NA","376","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","14645","NA","NA","37022","35177","36987","27202","12118","NA","NA","NA","12143","NA","NA","37139","37517","37139","NA","Flanker test","7","5039","9","yes","1024"
"80","80","544.6","544.6","black","no","xpyriment","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","9","9","9","9","0","9","0","NA","0","0","0","9","9","9","NA","09/09/18 18:09:44","1500","The main experiment item","yes","Flankertest.osexp","C:\Users\Knitwitty\AppData\Roaming","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Knitwitty/AppData/Roaming/KB-subject-3.csv","xpyriment","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","407","NA","2501","NA","NA","407","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","14645","NA","NA","39375","37541","39342","27202","12118","NA","NA","NA","12143","NA","NA","39493","39901","39492","NA","Flanker test","8","5446","10","yes","1024"
