subject,gender,age
1,m,24
2,m,41
3,m,24
4,f,23
5,f,42
6,f,65
7,f,36
8,m,39
9,f,24
10,f,21
11,f,48
12,f,23
13,m,25
14,f,21
15,f,20
16,f,27
17,f,21
18,f,28
19,f,21
20,m,25
21,f,23
22,f,33
23,f,23
24,m,47
25,m,25
26,m,26
27,m,26
28,f,25
29,f,22
30,m,19
31,f,24
32,m,44
33,f,60
34,m,28
35,m,31
36,m,65
37,f,33
38,m,43
39,m,41
40,f,32
41,f,24
42,m,26
43,f,55
44,f,20
45,f,30
46,m,41
47,m,23
48,m,50
49,m,25
50,f,23
51,f,36
52,f,20
53,m,23
54,f,39
55,m,31
56,f,29
