acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,527,527,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,527,NA,33950,NA,NA,527,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,35472,NA,NA,NA,NA,1506,NA,NA,35567,1520,NA,NA,35677,36206,35557,35677,FlankerTaskKBowman,1,527,1,yes,1024
100,100,501.5,501.5,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,476,NA,33950,NA,NA,476,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,35472,NA,NA,36223,NA,1506,NA,NA,37330,1520,NA,NA,37441,37918,37320,37440,FlankerTaskKBowman,2,1003,2,yes,1024
100,100,457,457,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,368,NA,33950,NA,NA,368,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,35472,NA,NA,37931,NA,1506,NA,NA,39031,1520,NA,NA,39141,39511,39020,39141,FlankerTaskKBowman,3,1371,3,yes,1024
100,100,434.5,434.5,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,367,NA,33950,NA,NA,367,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,35472,NA,NA,39524,NA,1506,NA,NA,40624,1520,NA,NA,40735,41104,40614,40735,FlankerTaskKBowman,4,1738,4,yes,1024
100,100,420,420,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,362,NA,33950,NA,NA,362,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,35472,NA,NA,41116,NA,1506,NA,NA,42218,1520,NA,NA,42329,42693,42207,42328,FlankerTaskKBowman,5,2100,5,yes,1024
100,100,424.5,424.5,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,447,NA,33950,NA,NA,447,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,35472,NA,NA,42706,NA,1506,NA,NA,43807,1520,NA,NA,43918,44367,43797,43918,FlankerTaskKBowman,6,2547,6,yes,1024
100,100,427.5714286,427.5714286,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,446,NA,33950,NA,NA,446,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,35472,NA,NA,44380,NA,1506,NA,NA,45481,1520,NA,NA,45591,46039,45471,45591,FlankerTaskKBowman,7,2993,7,yes,1024
100,100,428.75,428.75,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,437,NA,33950,NA,NA,437,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,35472,NA,NA,46052,NA,1506,NA,NA,47155,1520,NA,NA,47266,47705,47144,47266,FlankerTaskKBowman,8,3430,8,yes,1024
100,100,422.6666667,422.6666667,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,374,NA,33950,NA,NA,374,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,35472,NA,NA,47718,NA,1506,NA,NA,48818,1520,NA,NA,48928,49304,48808,48928,FlankerTaskKBowman,9,3804,9,yes,1024
100,100,441,441,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Tue Sep 24 11:29:14 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KBsubject-2-F21.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,606,NA,33950,NA,NA,606,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,35472,NA,NA,49316,NA,1506,NA,NA,50417,1520,NA,NA,50528,51136,50407,50528,FlankerTaskKBowman,10,4410,10,yes,1024
