acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_new_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_experiment,count_new_keyboard_response,count_new_logger,count_new_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_new_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_experiment,time_new_keyboard_response,time_new_logger,time_new_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,935,935,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,935,NA,15129,NA,NA,935,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,21851,NA,NA,NA,NA,NA,23029,NA,6721,NA,NA,23136,6687,23136,24072,23003,Flanker Task ,1,935,1,yes,1024
100,100,718.5,718.5,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,502,NA,15129,NA,NA,502,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,NA,NA,NA,26039,24203,6721,NA,NA,26147,6687,26147,26650,26015,Flanker Task ,2,1437,2,yes,1024
100,100,603.6666667,603.6666667,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,2,2,0,2,2,0,0,0,2,0,2,2,2,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,374,NA,15129,NA,NA,374,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,NA,NA,NA,28597,26741,6721,NA,NA,28703,6687,28703,29078,28572,Flanker Task ,3,1811,3,yes,1024
100,100,566.25,566.25,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,3,0,0,0,3,0,3,3,3,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,454,NA,15129,NA,NA,454,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,NA,NA,NA,31095,29250,6721,NA,NA,31201,6687,31202,31656,31071,Flanker Task ,4,2265,4,yes,1024
100,100,545.4,545.4,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,4,0,0,0,4,0,4,4,4,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,462,NA,15129,NA,NA,462,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,NA,NA,NA,34019,31746,6721,NA,NA,34126,6687,34126,34588,33994,Flanker Task ,5,2727,5,yes,1024
100,100,539.8333333,539.8333333,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,5,0,0,0,5,0,5,5,5,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,512,NA,15129,NA,NA,512,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,21851,NA,NA,NA,NA,NA,36611,34761,6721,NA,NA,36718,6687,36719,37232,36587,Flanker Task ,6,3239,6,yes,1024
85.71428571,85.71428571,525.4285714,525.4285714,black,xpyriment,legacy,legacy,0,Incongruent,uniform,0,undefined,0,h,0,0,0,6,6,0,6,6,0,0,0,6,0,6,6,6,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,439,NA,15129,NA,NA,439,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,NA,NA,NA,39212,37315,6721,NA,NA,39318,6687,39318,39757,39187,Flanker Task ,6,3678,7,yes,1024
87.5,87.5,514.125,514.125,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,7,7,0,7,7,0,0,0,7,0,7,7,7,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,435,NA,15129,NA,NA,435,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,39945,NA,NA,42273,40452,6721,NA,NA,42379,6687,42379,42815,42249,Flanker Task ,7,4113,8,yes,1024
77.77777778,77.77777778,540.6666667,540.6666667,black,xpyriment,legacy,legacy,0,Congruent,uniform,0,undefined,0,h,0,0,0,8,8,0,8,8,0,0,0,8,0,8,8,8,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,753,NA,15129,NA,NA,753,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,39945,NA,NA,44830,42999,6721,NA,NA,44936,6687,44936,45690,44804,Flanker Task ,7,4866,9,yes,1024
80,80,535.2,535.2,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,9,0,0,0,9,0,9,9,9,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,486,NA,15129,NA,NA,486,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,45760,NA,NA,48114,46267,6721,NA,NA,48219,6687,48220,48707,48089,Flanker Task ,8,5352,10,yes,1024
