acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction3,count_instructions1,count_instructions2,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction3,response_instructions1,response_instructions2,response_keyboard_response,response_time,response_time_finish,response_time_instruction3,response_time_instructions1,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction3,time_instructions1,time_instructions2,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1058,1058,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,1058,NA,NA,40703,NA,1058,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,50900,NA,NA,NA,10167,NA,NA,51507,NA,10188,NA,51613,52672,51500,51612,Flanker task,1,1058,1,yes,1024
100,100,749,749,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,440,NA,NA,40703,NA,440,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,52753,50900,NA,NA,NA,10167,NA,NA,53990,NA,10188,NA,54095,54541,53983,54095,Flanker task,2,1498,2,yes,1024
66.66666667,66.66666667,654.3333333,654.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,2,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,465,NA,NA,40703,NA,465,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,54614,50900,NA,NA,NA,10167,NA,NA,55875,NA,10188,NA,55981,56447,55867,55981,Flanker task,2,1963,3,yes,1024
75,75,668.25,668.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,3,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,710,NA,NA,40703,NA,710,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,56997,50900,NA,NA,56491,10167,NA,NA,58262,NA,10188,NA,58367,59079,58254,58367,Flanker task,3,2673,4,yes,1024
80,80,658.2,658.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,4,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,618,NA,NA,40703,NA,618,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,59175,50900,NA,NA,56491,10167,NA,NA,60450,NA,10188,NA,60555,61175,60442,60555,Flanker task,4,3291,5,yes,1024
83.33333333,83.33333333,659.3333333,659.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,5,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,665,NA,NA,40703,NA,665,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,61218,50900,NA,NA,56491,10167,NA,NA,62455,NA,10188,NA,62561,63228,62446,62560,Flanker task,5,3956,6,yes,1024
85.71428571,85.71428571,654,654,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,6,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,622,NA,NA,40703,NA,622,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,63296,50900,NA,NA,56491,10167,NA,NA,64540,NA,10188,NA,64646,65270,64531,64646,Flanker task,6,4578,7,yes,1024
87.5,87.5,643,643,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,7,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,566,NA,NA,40703,NA,566,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,65322,50900,NA,NA,56491,10167,NA,NA,66551,NA,10188,NA,66657,67226,66544,66657,Flanker task,7,5144,8,yes,1024
88.88888889,88.88888889,631.6666667,631.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,8,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,541,NA,NA,40703,NA,541,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,67279,50900,NA,NA,56491,10167,NA,NA,68547,NA,10188,NA,68654,69196,68538,68654,Flanker task,8,5685,9,yes,1024
90,90,621.8,621.8,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,9,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,533,NA,NA,40703,NA,533,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,69278,50900,NA,NA,56491,10167,NA,NA,70515,NA,10188,NA,70620,71154,70508,70620,Flanker task,9,6218,10,yes,1024
90.90909091,90.90909091,627.5454545,627.5454545,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,10,0,0,0,10,0,10,0,10,0,0,0,10,10,10,10,9/27/19 17:34,1500,The main experiment item,yes,Flankertask.osexp,C:\Users\Edgar\Documents\Edgar School\Fall 2019\Lab 2-1,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Edgar/Documents/Edgar School/Fall 2019/Lab 2-2/JJ-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,685,NA,NA,40703,NA,685,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,71207,50900,NA,NA,56491,10167,NA,NA,72450,NA,10188,NA,72556,73242,72442,72556,Flanker task,10,6903,11,yes,1024
