acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_errorFeedback,count_experiment,count_faster,count_fixation,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_errorFeedback,time_experiment,time_faster,time_fixation,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,678,678,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,678,NA,109515,NA,NA,678,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,NA,2655,NA,NA,NA,2572,NA,112327,112460,113141,112280,112460,Flanker task,1,678,1,yes,1024
100,100,589.5,589.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,501,NA,109515,NA,NA,501,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,113185,2655,NA,NA,NA,2572,NA,114316,114449,114951,114282,114449,Flanker task,2,1179,2,yes,1024
100,100,587.3333333,587.3333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,2,0,0,0,2,0,2,2,2,2,2,2,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,583,NA,109515,NA,NA,583,2,legacy,1024,2,48000,-16,experiment,SSSSS,999,odd,112181,NA,NA,NA,114986,2655,NA,NA,NA,2572,NA,116101,116233,116817,116068,116233,Flanker task,3,1762,3,yes,1024
100,100,554.75,554.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,3,0,0,0,3,0,3,3,3,3,3,3,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,457,NA,109515,NA,NA,457,2,legacy,1024,2,48000,-16,experiment,SSSSS,999,odd,112181,NA,NA,NA,116853,2655,NA,NA,NA,2572,NA,117973,118106,118564,117940,118106,Flanker task,4,2219,4,yes,1024
100,100,541.6,541.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,4,0,0,0,4,0,4,4,4,4,4,4,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,489,NA,109515,NA,NA,489,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,118600,2655,NA,NA,NA,2572,NA,119714,119846,120336,119681,119846,Flanker task,5,2708,5,yes,1024
100,100,549.3333333,549.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,5,0,0,0,5,0,5,5,5,5,5,5,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,588,NA,109515,NA,NA,588,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,120374,2655,NA,NA,NA,2572,NA,121491,121624,122213,121458,121624,Flanker task,6,3296,6,yes,1024
100,100,554.5714286,554.5714286,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,6,0,0,0,6,0,6,6,6,6,6,6,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,586,NA,109515,NA,NA,586,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,122247,2655,NA,NA,NA,2572,NA,123362,123496,124083,123330,123496,Flanker task,7,3882,7,yes,1024
100,100,554.75,554.75,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,7,0,0,0,7,0,7,7,7,7,7,7,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,556,NA,109515,NA,NA,556,2,legacy,1024,2,48000,-16,experiment,SSHSS,999,odd,112181,NA,NA,NA,124118,2655,NA,NA,NA,2572,NA,125232,125364,125921,125200,125364,Flanker task,8,4438,8,yes,1024
100,100,555.1111111,555.1111111,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,8,0,0,0,8,0,8,8,8,8,8,8,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,558,NA,109515,NA,NA,558,2,legacy,1024,2,48000,-16,experiment,HHSHH,999,odd,112181,NA,NA,NA,125960,2655,NA,NA,NA,2572,NA,127088,127220,127779,127055,127220,Flanker task,9,4996,9,yes,1024
100,100,564.4,564.4,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,9,0,0,0,9,0,9,9,9,9,9,9,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,648,NA,109515,NA,NA,648,2,legacy,1024,2,48000,-16,experiment,SSSSS,999,odd,112181,NA,NA,NA,127814,2655,NA,NA,NA,2572,NA,128929,129062,129712,128896,129062,Flanker task,10,5644,10,yes,1024
100,100,564.2727273,564.2727273,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,10,0,0,0,10,0,10,10,10,10,10,10,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,10,10,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,563,NA,109515,NA,NA,563,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,129748,2655,NA,NA,NA,2572,NA,130861,130994,131559,130829,130994,Flanker task,11,6207,11,yes,1024
100,100,575.25,575.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,11,0,0,0,11,0,11,11,11,11,11,11,Wed Sep 25 23:00:05 2019,1500,The main experiment item,yes,fp-subject-1.osexp,/Users/freyaportales/Desktop/OpenSesame Assignments,no,mono,no,18,no,white,no,no,768,legacy,11,11,/Users/freyaportales/Desktop/OpenSesame Assignments/quickrun.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,696,NA,109515,NA,NA,696,2,legacy,1024,2,48000,-16,experiment,HHHHH,999,odd,112181,NA,NA,NA,131599,2655,NA,NA,NA,2572,NA,132717,132850,133547,132684,132849,Flanker task,12,6903,12,yes,1024
