acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1237,1237,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,1237,NA,NA,58439,NA,1237,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,61661,NA,NA,NA,NA,3176,NA,NA,61783,NA,3211,NA,61899,63137,61771,61899,Flanker Task,1,1237,1,yes,1024
100,100,1185.5,1185.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,1134,NA,NA,58439,NA,1134,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,NA,NA,63165,NA,3176,NA,NA,64292,NA,3211,NA,64407,65543,64280,64407,Flanker Task,2,2371,2,yes,1024
100,100,1062.666667,1062.666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,817,NA,NA,58439,NA,817,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,NA,NA,65564,NA,3176,NA,NA,66683,NA,3211,NA,66798,67617,66671,66798,Flanker Task,3,3188,3,yes,1024
100,100,986.5,986.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,758,NA,NA,58439,NA,758,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,NA,NA,67633,NA,3176,NA,NA,68757,NA,3211,NA,68872,69632,68746,68871,Flanker Task,4,3946,4,yes,1024
100,100,934.2,934.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,725,NA,NA,58439,NA,725,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,NA,NA,69646,NA,3176,NA,NA,70750,NA,3211,NA,70865,71592,70738,70865,Flanker Task,5,4671,5,yes,1024
100,100,902.8333333,902.8333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,746,NA,NA,58439,NA,746,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,61661,NA,NA,71607,NA,3176,NA,NA,72707,NA,3211,NA,72819,73566,72695,72818,Flanker Task,6,5417,6,yes,1024
100,100,879.8571429,879.8571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,h,NA,h,742,NA,NA,58439,NA,742,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,61661,NA,NA,73581,NA,3176,NA,NA,74681,NA,3211,NA,74797,75540,74669,74797,Flanker Task,7,6159,7,yes,1024
100,100,863.25,863.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,h,NA,s,747,NA,NA,58439,NA,747,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,NA,NA,75568,NA,3176,NA,NA,76691,NA,3211,NA,76807,77555,76679,76806,Flanker Task,8,6906,8,yes,1024
100,100,830.3333333,830.3333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,h,NA,s,567,NA,NA,58439,NA,567,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,61661,NA,NA,77571,NA,3176,NA,NA,78676,NA,3211,NA,78791,79360,78663,78791,Flanker Task,9,7473,9,yes,1024
100,100,825.3,825.3,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Fri Sep 20 12:06:06 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,h,NA,s,780,NA,NA,58439,NA,780,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,NA,NA,79374,NA,3176,NA,NA,80475,NA,3211,NA,80590,81372,80463,80590,Flanker Task,10,8253,10,yes,1024
