acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instruction1,correct_Keyboard_Response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instruction1,count_Instruction2,count_Instruction3,count_Keyboard_Response,count_Logger,count_Sequence,count_Stimulus,count_experiment,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instruction1,response_Instruction2,response_Instruction3,response_Keyboard_Response,response_time,response_time_Finish,response_time_Instruction1,response_time_Instruction2,response_time_Instruction3,response_time_Keyboard_Response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instruction1,time_Instruction2,time_Instruction3,time_Keyboard_Response,time_Logger,time_Sequence,time_Stimulus,time_experiment,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,615,615,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,615,NA,616,NA,NA,615,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,6648,NA,NA,NA,NA,NA,7005,NA,6008,NA,NA,7136,7756,6967,7135,5976,Flanker Test,1,615,1,yes,1024
100,100,543.5,543.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,472,NA,616,NA,NA,472,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,6648,NA,NA,NA,NA,NA,9185,7806,6008,NA,NA,9325,9800,9147,9325,5976,Flanker Test,2,1087,2,yes,1024
100,100,489.6666667,489.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,2,2,0,2,2,0,0,0,2,2,2,2,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,382,NA,616,NA,NA,382,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,6648,NA,NA,NA,NA,NA,11139,9837,6008,NA,NA,11277,11663,11111,11277,5976,Flanker Test,3,1469,3,yes,1024
100,100,462,462,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,3,0,0,0,3,3,3,3,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,379,NA,616,NA,NA,379,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,6648,NA,NA,NA,NA,NA,13172,11696,6008,NA,NA,13309,13692,13120,13308,5976,Flanker Test,4,1848,4,yes,1024
100,100,446.2,446.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,4,0,0,0,4,4,4,4,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,383,NA,616,NA,NA,383,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,6648,NA,NA,NA,NA,NA,15000,13725,6008,NA,NA,15134,15520,14968,15133,5976,Flanker Test,5,2231,5,yes,1024
83.33333333,83.33333333,436.6666667,436.6666667,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,5,5,0,5,5,0,0,0,5,5,5,5,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,389,NA,616,NA,NA,389,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,6648,NA,NA,NA,NA,NA,16855,15559,6008,NA,NA,16986,17380,16826,16986,5976,Flanker Test,5,2620,6,yes,1024
85.71428571,85.71428571,430.8571429,430.8571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,6,0,0,0,6,6,6,6,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,396,NA,616,NA,NA,396,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,6648,NA,NA,17424,NA,NA,19394,17959,6008,NA,NA,19525,19924,19331,19524,5976,Flanker Test,6,3016,7,yes,1024
87.5,87.5,429.375,429.375,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,7,0,0,0,7,7,7,7,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,419,NA,616,NA,NA,419,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,6648,NA,NA,17424,NA,NA,21227,19959,6008,NA,NA,21358,21781,21200,21358,5976,Flanker Test,7,3435,8,yes,1024
88.88888889,88.88888889,425.1111111,425.1111111,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,8,0,0,0,8,8,8,8,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,391,NA,616,NA,NA,391,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,6648,NA,NA,17424,NA,NA,23160,21821,6008,NA,NA,23288,23684,23123,23288,5976,Flanker Test,8,3826,9,yes,1024
90,90,425.1,425.1,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,9,0,0,0,9,9,9,9,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,425,NA,616,NA,NA,425,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,6648,NA,NA,17424,NA,NA,25000,23729,6008,NA,NA,25126,25555,24973,25126,5976,Flanker Test,9,4251,10,yes,1024
90.90909091,90.90909091,422.0909091,422.0909091,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,10,10,0,10,10,0,0,0,10,10,10,10,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,392,NA,616,NA,NA,392,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,6648,NA,NA,17424,NA,NA,26849,25586,6008,NA,NA,26975,27371,26823,26975,5976,Flanker Test,10,4643,11,yes,1024
91.66666667,91.66666667,418.75,418.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,11,11,0,11,11,0,0,0,11,11,11,11,0,Fri Sep 27 18:24:14 2019,1500,The main experiment item,yes,FlankerTest.osexp,/Users/Linzi/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/Linzi/Desktop/LM-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,382,NA,616,NA,NA,382,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,6648,NA,NA,17424,NA,NA,28691,27402,6008,NA,NA,28824,29210,28663,28824,5976,Flanker Test,11,5025,12,yes,1024
