acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1_1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions1_1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions1_1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions1_1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions1_1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1024,1024,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,NA,h,1024,NA,NA,5750,NA,NA,1024,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,NA,8018,NA,NA,NA,2259,NA,NA,8093,NA,2267,NA,NA,8195,9219,8091,8194,Flankertask,1,1024,1,yes,1024
100,100,786,786,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,1,0,0,0,1,0,1,0,1,NA,0,0,0,1,1,1,1,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,NA,s,548,NA,NA,5750,NA,NA,548,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9231,8018,NA,NA,NA,2259,NA,NA,10292,NA,2267,NA,NA,10393,10941,10289,10393,Flankertask,2,1572,2,yes,1024
100,100,725.6666667,725.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,2,0,0,0,2,0,2,0,2,NA,0,0,0,2,2,2,2,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,NA,h,605,NA,NA,5750,NA,NA,605,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,10949,8018,NA,NA,NA,2259,NA,NA,12010,NA,2267,NA,NA,12111,12717,12007,12111,Flankertask,3,2177,3,yes,1024
100,100,662.5,662.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,3,0,0,0,3,0,3,0,3,NA,0,0,0,3,3,3,3,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,NA,s,473,NA,NA,5750,NA,NA,473,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,12725,8018,NA,NA,NA,2259,NA,NA,13786,NA,2267,NA,NA,13887,14361,13784,13887,Flankertask,4,2650,4,yes,1024
100,100,624,624,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,4,0,0,0,4,0,4,0,4,NA,0,0,0,4,4,4,4,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,NA,s,470,NA,NA,5750,NA,NA,470,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,14368,8018,NA,NA,NA,2259,NA,NA,15432,NA,2267,NA,NA,15533,16004,15430,15533,Flankertask,5,3120,5,yes,1024
100,100,591.5,591.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,5,0,0,0,5,0,5,0,5,NA,0,0,0,5,5,5,5,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,NA,h,429,NA,NA,5750,NA,NA,429,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,16011,8018,NA,NA,NA,2259,NA,NA,17071,NA,2267,NA,NA,17172,17601,17068,17172,Flankertask,6,3549,6,yes,1024
100,100,559.7142857,559.7142857,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,6,0,0,0,6,0,6,0,6,NA,0,0,0,6,6,6,6,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,NA,h,369,NA,NA,5750,NA,NA,369,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,17609,8018,NA,NA,NA,2259,NA,NA,18669,NA,2267,NA,NA,18770,19140,18666,18770,Flankertask,7,3918,7,yes,1024
87.5,87.5,533.375,533.375,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,7,0,0,0,7,0,7,0,7,NA,0,0,0,7,7,7,7,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,NA,h,349,NA,NA,5750,NA,NA,349,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,19148,8018,NA,NA,NA,2259,NA,NA,20210,NA,2267,NA,NA,20311,20660,20208,20311,Flankertask,7,4267,8,yes,1024
88.88888889,88.88888889,518.4444444,518.4444444,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,8,0,0,0,8,0,8,0,8,NA,0,0,0,8,8,8,8,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,space,NA,NA,s,399,NA,NA,5750,NA,NA,399,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,21170,8018,NA,NA,20668,2259,NA,NA,22230,NA,2267,NA,NA,22332,22732,22228,22332,Flankertask,8,4666,9,yes,1024
90,90,515.6,515.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,9,0,0,0,9,0,9,0,9,NA,0,0,0,9,9,9,9,9/16/19 10:01,1500,The main experiment item,yes,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/New folder/Flankertask.osexp,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Breena Riley/Desktop/2019 Fall/MultQuant/BR-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,space,NA,NA,h,490,NA,NA,5750,NA,NA,490,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,22739,8018,NA,NA,20668,2259,NA,NA,23805,NA,2267,NA,NA,23906,24397,23803,23906,Flankertask,9,5156,10,yes,1024
