acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_getting_started,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_getting_started,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,903,903,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,903,NA,33879,NA,NA,903,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,40492,NA,NA,NA,NA,6501,NA,NA,40684,NA,6528,NA,NA,40800,41705,NA,40671,40800,Flanker Task,1,903,1,yes,1024
100,100,701,701,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,NA,1,1,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,499,NA,33879,NA,NA,499,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,40492,NA,NA,41728,NA,6501,NA,NA,42873,NA,6528,NA,NA,42988,43489,NA,42859,42988,Flanker Task,2,1402,2,yes,1024
100,100,722,722,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,0,2,2,NA,2,2,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,764,NA,33879,NA,NA,764,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,NA,NA,43507,NA,6501,NA,NA,44642,NA,6528,NA,NA,44755,45521,NA,44630,44755,Flanker Task,3,2166,3,yes,1024
100,100,659.5,659.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,0,3,0,0,0,0,3,3,NA,3,3,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,472,NA,33879,NA,NA,472,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,NA,NA,45537,NA,6501,NA,NA,46668,NA,6528,NA,NA,46782,47256,NA,46655,46782,Flanker Task,4,2638,4,yes,1024
100,100,625.2,625.2,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,0,4,0,0,0,0,4,4,NA,4,4,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,488,NA,33879,NA,NA,488,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,NA,NA,47271,NA,6501,NA,NA,48408,NA,6528,NA,NA,48526,49016,NA,48396,48526,Flanker Task,5,3126,5,yes,1024
100,100,619.3333333,619.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,0,5,0,0,0,0,5,5,NA,5,5,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,590,NA,33879,NA,NA,590,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,NA,NA,49031,NA,6501,NA,NA,50166,NA,6528,NA,NA,50281,50872,NA,50151,50281,Flanker Task,6,3716,6,yes,1024
100,100,600.5714286,600.5714286,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,0,6,6,NA,6,6,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,488,NA,33879,NA,NA,488,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,NA,NA,50891,NA,6501,NA,NA,52021,NA,6528,NA,NA,52135,52624,NA,52008,52135,Flanker Task,7,4204,7,yes,1024
100,100,569.875,569.875,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,0,7,7,NA,7,7,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,355,NA,33879,NA,NA,355,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,NA,NA,52675,NA,6501,NA,NA,53808,NA,6528,NA,NA,53922,54279,NA,53794,53922,Flanker Task,8,4559,8,yes,1024
100,100,550.8888889,550.8888889,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,0,8,8,NA,8,8,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,399,NA,33879,NA,NA,399,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,NA,NA,54296,NA,6501,NA,NA,55436,NA,6528,NA,NA,55551,55952,NA,55424,55551,Flanker Task,9,4958,9,yes,1024
100,100,539.3,539.3,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,0,9,9,NA,9,9,Wed Sep 25 11:14:14 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,435,NA,33879,NA,NA,435,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,NA,NA,55982,NA,6501,NA,NA,57111,NA,6528,NA,NA,57227,57665,NA,57098,57226,Flanker Task,10,5393,10,yes,1024
