acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1350,1350,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,1350,NA,14087,NA,NA,1350,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,16904,NA,NA,NA,NA,2814,NA,NA,17036,2816,NA,NA,17137,18487,17034,17137,Flanker Experiment,1,1350,1,yes,1024
100,100,1086,1086,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,822,NA,14087,NA,NA,822,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,16904,NA,NA,18521,NA,2814,NA,NA,19582,2816,NA,NA,19683,20506,19580,19683,Flanker Experiment,2,2172,2,yes,1024
100,100,1068,1068,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,1032,NA,14087,NA,NA,1032,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,16904,NA,NA,20518,NA,2814,NA,NA,21582,2816,NA,NA,21683,22715,21580,21683,Flanker Experiment,3,3204,3,yes,1024
100,100,969.25,969.25,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,673,NA,14087,NA,NA,673,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,16904,NA,NA,22720,NA,2814,NA,NA,23779,2816,NA,NA,23880,24554,23777,23880,Flanker Experiment,4,3877,4,yes,1024
100,100,878.6,878.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,516,NA,14087,NA,NA,516,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,16904,NA,NA,24563,NA,2814,NA,NA,25629,2816,NA,NA,25730,26247,25627,25730,Flanker Experiment,5,4393,5,yes,1024
100,100,828.1666667,828.1666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,576,NA,14087,NA,NA,576,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,16904,NA,NA,26256,NA,2814,NA,NA,27318,2816,NA,NA,27419,27996,27315,27419,Flanker Experiment,6,4969,6,yes,1024
100,100,779.2857143,779.2857143,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,486,NA,14087,NA,NA,486,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,16904,NA,NA,28005,NA,2814,NA,NA,29065,2816,NA,NA,29166,29653,29062,29166,Flanker Experiment,7,5455,7,yes,1024
100,100,760.375,760.375,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,628,NA,14087,NA,NA,628,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,16904,NA,NA,29662,NA,2814,NA,NA,30731,2816,NA,NA,30832,31461,30728,30832,Flanker Experiment,8,6083,8,yes,1024
100,100,751.8888889,751.8888889,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,684,NA,14087,NA,NA,684,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,16904,NA,NA,31470,NA,2814,NA,NA,32529,2816,NA,NA,32630,33314,32526,32630,Flanker Experiment,9,6767,9,yes,1024
100,100,754.6,754.6,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,779,NA,14087,NA,NA,779,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,16904,NA,NA,33323,NA,2814,NA,NA,34382,2816,NA,NA,34483,35263,34380,34483,Flanker Experiment,10,7546,10,yes,1024
100,100,740,740,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,10,10,0,10,0,10,0,0,0,10,10,10,10,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,10,10,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,594,NA,14087,NA,NA,594,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,16904,NA,NA,35272,NA,2814,NA,NA,36335,2816,NA,NA,36436,37031,36333,36436,Flanker Experiment,11,8140,11,yes,1024
100,100,729.6666667,729.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,11,11,0,11,0,11,0,0,0,11,11,11,11,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,11,11,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,616,NA,14087,NA,NA,616,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,16904,NA,NA,37042,NA,2814,NA,NA,38119,2816,NA,NA,38223,38839,38116,38222,Flanker Experiment,12,8756,12,yes,1024
100,100,727,727,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,12,12,0,12,0,12,0,0,0,12,12,12,12,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,12,12,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,695,NA,14087,NA,NA,695,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,16904,NA,NA,38848,NA,2814,NA,NA,39916,2816,NA,NA,40017,40712,39913,40017,Flanker Experiment,13,9451,13,yes,1024
100,100,710.6428571,710.6428571,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,13,13,0,13,0,13,0,0,0,13,13,13,13,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,13,13,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,498,NA,14087,NA,NA,498,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,16904,NA,NA,40721,NA,2814,NA,NA,41786,2816,NA,NA,41887,42385,41784,41887,Flanker Experiment,14,9949,14,yes,1024
100,100,692.2,692.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,14,14,0,14,0,14,0,0,0,14,14,14,14,9/22/19 11:06,1500,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,14,14,E:/Classwork/AQMAED/subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,434,NA,14087,NA,NA,434,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,16904,NA,NA,42390,NA,2814,NA,NA,43473,2816,NA,NA,43574,44009,43470,43574,Flanker Experiment,15,10383,15,yes,1024
