acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Faster,count_Finish,count_ISI,count_Instruction1,count_Instruction2,count_Instruction3,count_errorFeedback,count_experiment,count_fixation,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instruction1,response_Instruction2,response_Instruction3,response_keyboard_response,response_time,response_time_Finish,response_time_Instruction1,response_time_Instruction2,response_time_Instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Faster,time_Finish,time_ISI,time_Instruction1,time_Instruction2,time_Instruction3,time_errorFeedback,time_experiment,time_fixation,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,535,535,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,535,NA,115126,NA,NA,535,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,NA,4899,NA,NA,NA,4889,120274,120377,120912,120270,120377,Flankertask2,1,535,1,yes,1024
100,100,656.5,656.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,778,NA,115126,NA,NA,778,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,120991,4899,NA,NA,NA,4889,122159,122262,123041,122155,122262,Flankertask2,2,1313,2,yes,1024
100,100,576.6666667,576.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,0,2,0,0,0,2,0,2,2,2,2,2,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,417,NA,115126,NA,NA,417,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,123112,4899,NA,NA,NA,4889,124279,124382,124801,124274,124382,Flankertask2,3,1730,3,yes,1024
100,100,532.5,532.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,3,0,3,0,0,0,3,0,3,3,3,3,3,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,400,NA,115126,NA,NA,400,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,124834,4899,NA,NA,NA,4889,125977,126080,126481,125973,126080,Flankertask2,4,2130,4,yes,1024
100,100,516.4,516.4,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,0,4,0,0,0,4,0,4,4,4,4,4,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,452,NA,115126,NA,NA,452,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,126516,4899,NA,NA,NA,4889,127660,127763,128218,127654,127763,Flankertask2,5,2582,5,yes,1024
100,100,498.1666667,498.1666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,0,5,0,0,0,5,0,5,5,5,5,5,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,407,NA,115126,NA,NA,407,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,128250,4899,NA,NA,NA,4889,129395,129498,129905,129390,129498,Flankertask2,6,2989,6,yes,1024
100,100,522.2857143,522.2857143,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,0,6,0,0,0,6,0,6,6,6,6,6,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,667,NA,115126,NA,NA,667,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,129942,4899,NA,NA,NA,4889,131087,131189,131858,131081,131189,Flankertask2,7,3656,7,yes,1024
100,100,625.625,625.625,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,7,0,7,0,0,0,7,0,7,7,7,7,7,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,1349,NA,115126,NA,NA,1349,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,120026,NA,NA,NA,NA,131892,4899,NA,NA,NA,4889,133036,133138,134489,133031,133138,Flankertask2,8,5005,8,yes,1024
100,100,625.4444444,625.4444444,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,0,8,0,0,0,8,0,8,8,8,8,8,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,624,NA,115126,NA,NA,624,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,134525,4899,NA,NA,NA,4889,135672,135776,136401,135667,135775,Flankertask2,9,5629,9,yes,1024
100,100,620,620,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,9,0,9,0,0,0,9,0,9,9,9,9,9,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,571,NA,115126,NA,NA,571,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,136426,4899,NA,NA,NA,4889,137573,137677,138249,137568,137676,Flankertask2,10,6200,10,yes,1024
100,100,603.8181818,603.8181818,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,10,0,10,0,0,0,10,0,10,10,10,10,10,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,10,10,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,442,NA,115126,NA,NA,442,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,138292,4899,NA,NA,NA,4889,139439,139542,139987,139434,139542,Flankertask2,11,6642,11,yes,1024
