acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_isi,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_isi,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1182,1182,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,h,NA,NA,s,1182,NA,46458,NA,NA,1182,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,50367,NA,NA,NA,3897,NA,NA,50653,3906,NA,NA,NA,50758,51941,50648,50757,Flanker Task,1,1182,1,yes,1024
100,100,962.5,962.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,h,NA,NA,s,743,NA,46458,NA,NA,743,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,50367,NA,NA,NA,3897,NA,NA,53133,3906,NA,NA,51967,53237,53980,53127,53236,Flanker Task,2,1925,2,yes,1024
100,100,899,899,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,2,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,h,NA,NA,h,772,NA,46458,NA,NA,772,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,50367,NA,NA,NA,3897,NA,NA,55127,3906,NA,NA,53995,55231,56004,55122,55230,Flanker Task,3,2697,3,yes,1024
100,100,851.5,851.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,3,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,h,NA,NA,h,709,NA,46458,NA,NA,709,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,50367,NA,NA,NA,3897,NA,NA,57165,3906,NA,NA,56019,57268,57977,57161,57268,Flanker Task,4,3406,4,yes,1024
100,100,838,838,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,4,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,h,NA,NA,s,784,NA,46458,NA,NA,784,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,50367,NA,NA,NA,3897,NA,NA,59106,3906,NA,NA,57992,59210,59994,59102,59210,Flanker Task,5,4190,5,yes,1024
100,100,800.1666667,800.1666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,5,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,h,NA,NA,s,611,NA,46458,NA,NA,611,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,50367,NA,NA,NA,3897,NA,NA,61125,3906,NA,NA,60009,61229,61840,61120,61229,Flanker Task,6,4801,6,yes,1024
100,100,790.7142857,790.7142857,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,6,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,h,NA,NA,h,734,NA,46458,NA,NA,734,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,50367,NA,NA,NA,3897,NA,NA,62962,3906,NA,NA,61847,63066,63800,62958,63066,Flanker Task,7,5535,7,yes,1024
100,100,777.75,777.75,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,7,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,h,NA,NA,s,687,NA,46458,NA,NA,687,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,50367,NA,NA,NA,3897,NA,NA,64911,3906,NA,NA,63807,65015,65702,64908,65015,Flanker Task,8,6222,8,yes,1024
100,100,756.5555556,756.5555556,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,8,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,h,NA,NA,h,587,NA,46458,NA,NA,587,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,50367,NA,NA,NA,3897,NA,NA,66818,3906,NA,NA,65717,66923,67511,66815,66922,Flanker Task,9,6809,9,yes,1024
100,100,743.6,743.6,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,9,9/16/2020 21:06,1500,The main experiment item,yes,FlankerTask Rene Wallace.osexp,C:\Users\18177\OneDrive\Documents\School\Grad School\Fall 2020\Lab 2 FlankerTask,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/18177/OneDrive/Documents/School/Grad School/Fall 2020/Lab 2 FlankerTask/RW-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,h,NA,NA,s,627,NA,46458,NA,NA,627,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,50367,NA,NA,NA,3897,NA,NA,68625,3906,NA,NA,67524,68726,69354,68622,68726,Flanker Task,10,7436,10,yes,1024
