"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_ISI","count_Instructions1","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_new_sketchpad","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions1","response_finish","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_Instructions1","response_time_finish","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_Instructions1","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_new_sketchpad","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1326","1326","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","NA","s","1326","46900","NA","NA","NA","1326","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","NA","4802","51781","NA","NA","NA","4730","NA","NA","NA","NA","52067","53395","51946","51922","52066","Flanker Task","0","1326","1","yes","1024"
"0","0","993","993","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","s","1","0","0","0","0","1","0","1","0","0","0","1","1","1","1","1","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","NA","h","660","46900","NA","NA","NA","660","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","53954","4802","51781","NA","NA","53437","4730","NA","NA","NA","NA","55358","56027","55240","55219","55357","Flanker Task","0","1986","2","yes","1024"
"33.333333333333336","33.333333333333336","846.3333333333334","846.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","2","0","0","0","0","2","0","2","0","0","0","2","2","2","2","2","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","NA","h","553","46900","NA","NA","NA","553","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","56562","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","57768","58323","57655","57643","57768","Flanker Task","1","2539","3","yes","1024"
"50","50","861.25","861.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","0","0","0","0","3","0","3","0","0","0","3","3","3","3","3","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","NA","s","906","46900","NA","NA","NA","906","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58344","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","59543","60451","59431","59418","59543","Flanker Task","2","3445","4","yes","1024"
"60","60","803.8","803.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","4","0","0","0","0","4","0","4","0","0","0","4","4","4","4","4","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","NA","s","574","46900","NA","NA","NA","574","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","60465","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","61715","62291","61602","61588","61715","Flanker Task","3","4019","5","yes","1024"
"66.66666666666667","66.66666666666667","772.3333333333334","772.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","5","0","0","0","0","5","0","5","0","0","0","5","5","5","5","5","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","NA","h","615","46900","NA","NA","NA","615","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","62314","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","63547","64164","63432","63412","63547","Flanker Task","4","4634","6","yes","1024"
"71.42857142857143","71.42857142857143","753.7142857142857","753.7142857142857","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","6","0","0","0","0","6","0","6","0","0","0","6","6","6","6","6","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","NA","s","642","46900","NA","NA","NA","642","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","64185","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","65414","66058","65298","65279","65414","Flanker Task","5","5276","7","yes","1024"
"75","75","730.375","730.375","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","7","0","0","0","0","7","0","7","0","0","0","7","7","7","7","7","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","NA","h","567","46900","NA","NA","NA","567","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","66081","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","67307","67876","67188","67172","67307","Flanker Task","6","5843","8","yes","1024"
"77.77777777777777","77.77777777777777","714.7777777777778","714.7777777777778","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","8","0","0","0","0","8","0","8","0","0","0","8","8","8","8","8","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","NA","s","590","46900","NA","NA","NA","590","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","67892","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","69140","69732","69024","69006","69139","Flanker Task","7","6433","9","yes","1024"
"80","80","695.3","695.3","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","9","0","0","0","0","9","0","9","0","0","0","9","9","9","9","9","Sat Sep 19 13:10:10 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/tionnahough/Desktop/th-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","NA","h","520","46900","NA","NA","NA","520","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","69762","4802","51781","NA","NA","56043","4730","NA","NA","NA","NA","70978","71500","70863","70847","70978","Flanker Task","8","6953","10","yes","1024"
