"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instruction","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Errorfeedback","count_Finish","count_ISI","count_Instruction","count_Instruction2","count_Instruction3","count_experiment","count_faster","count_ixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instruction","response_Instruction2","response_Instruction3","response_keyboard_response","response_time","response_time_Finish","response_time_Instruction","response_time_Instruction2","response_time_Instruction3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Errorfeedback","time_Finish","time_ISI","time_Instruction","time_Instruction2","time_Instruction3","time_experiment","time_faster","time_ixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","598","598","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","598","NA","579","NA","NA","598","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","3095","NA","NA","NA","NA","NA","2506","NA","NA","2493","NA","3148","3262","3862","3136","3262","Flanker Task ","1","598","1","yes","1024"
"100","100","496","496","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","394","NA","579","NA","NA","394","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","NA","NA","3878","2506","NA","NA","2493","NA","4947","5065","5460","4934","5064","Flanker Task ","2","992","2","yes","1024"
"100","100","487.6666666666667","487.6666666666667","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","2","0","2","0","0","0","0","2","2","2","2","2","2","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","471","NA","579","NA","NA","471","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","NA","NA","5475","2506","NA","NA","2493","NA","6534","6649","7121","6520","6649","Flanker Task ","3","1463","3","yes","1024"
"100","100","488.75","488.75","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","3","0","3","0","0","0","0","3","3","3","3","3","3","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","492","NA","579","NA","NA","492","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","NA","NA","7136","2506","NA","NA","2493","NA","8196","8311","8804","8182","8311","Flanker Task ","4","1955","4","yes","1024"
"80","80","457.6","457.6","black","legacy","legacy","legacy","0","incongruent ","uniform","0","undefined","0","h","0","0","0","4","0","4","0","0","0","0","4","4","4","4","4","4","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","333","NA","579","NA","NA","333","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","NA","NA","8820","2506","NA","NA","2493","NA","9880","9992","10326","9867","9992","Flanker Task ","4","2288","5","yes","1024"
"83.33333333333333","83.33333333333333","457.5","457.5","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","5","0","5","0","0","0","0","5","5","5","5","5","5","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","457","NA","579","NA","NA","457","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","3095","NA","NA","10339","NA","10852","2506","NA","NA","2493","NA","11909","12026","12484","11897","12026","Flanker Task ","5","2745","6","yes","1024"
"85.71428571428571","85.71428571428571","457.14285714285717","457.14285714285717","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","6","0","6","0","0","0","0","6","6","6","6","6","6","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","455","NA","579","NA","NA","455","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","10339","NA","12498","2506","NA","NA","2493","NA","13558","13672","14128","13544","13672","Flanker Task ","6","3200","7","yes","1024"
"87.5","87.5","448.375","448.375","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","7","0","7","0","0","0","0","7","7","7","7","7","7","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","387","NA","579","NA","NA","387","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","10339","NA","14142","2506","NA","NA","2493","NA","15202","15316","15704","15188","15316","Flanker Task ","7","3587","8","yes","1024"
"88.88888888888889","88.88888888888889","443.6666666666667","443.6666666666667","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","8","0","8","0","0","0","0","8","8","8","8","8","8","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","406","NA","579","NA","NA","406","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","10339","NA","15717","2506","NA","NA","2493","NA","16776","16889","17296","16763","16889","Flanker Task ","8","3993","9","yes","1024"
"90","90","440.4","440.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","9","0","9","0","0","0","0","9","9","9","9","9","9","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","411","NA","579","NA","NA","411","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","3095","NA","NA","10339","NA","17309","2506","NA","NA","2493","NA","18367","18480","18892","18354","18480","Flanker Task ","9","4404","10","yes","1024"
"90.9090909090909","90.9090909090909","441.6363636363636","441.6363636363636","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","10","0","10","0","0","0","0","10","10","10","10","10","10","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","454","NA","579","NA","NA","454","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","3095","NA","NA","10339","NA","18905","2506","NA","NA","2493","NA","19963","20076","20531","19951","20076","Flanker Task ","10","4858","11","yes","1024"
"91.66666666666667","91.66666666666667","437.5833333333333","437.5833333333333","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","11","0","11","0","0","0","0","11","11","11","11","11","11","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","393","NA","579","NA","NA","393","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","3095","NA","NA","10339","NA","20544","2506","NA","NA","2493","NA","21602","21716","22110","21589","21716","Flanker Task ","11","5251","12","yes","1024"
"84.61538461538461","84.61538461538461","433.7692307692308","433.7692307692308","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","12","0","12","0","0","0","0","12","12","12","12","12","12","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","12","12","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","388","NA","579","NA","NA","388","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","3095","NA","NA","10339","NA","22123","2506","NA","NA","2493","NA","23182","23296","23686","23169","23295","Flanker Task ","11","5639","13","yes","1024"
"85.71428571428571","85.71428571428571","431.2142857142857","431.2142857142857","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","13","0","13","0","0","0","0","13","13","13","13","13","13","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","13","13","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","398","NA","579","NA","NA","398","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","3095","NA","NA","23700","NA","24215","2506","NA","NA","2493","NA","25274","25387","25786","25260","25387","Flanker Task ","12","6037","14","yes","1024"
"86.66666666666667","86.66666666666667","429.6","429.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","14","0","14","0","0","0","0","14","14","14","14","14","14","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","14","14","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","407","NA","579","NA","NA","407","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","3095","NA","NA","23700","NA","25799","2506","NA","NA","2493","NA","26856","26969","27377","26843","26969","Flanker Task ","13","6444","15","yes","1024"
"87.5","87.5","425.5625","425.5625","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","15","0","15","0","0","0","0","15","15","15","15","15","15","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","15","15","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","365","NA","579","NA","NA","365","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","3095","NA","NA","23700","NA","27391","2506","NA","NA","2493","NA","28450","28563","28929","28437","28563","Flanker Task ","14","6809","16","yes","1024"
"88.23529411764706","88.23529411764706","425.29411764705884","425.29411764705884","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","16","0","16","0","0","0","0","16","16","16","16","16","16","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","16","16","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","421","NA","579","NA","NA","421","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","3095","NA","NA","23700","NA","28942","2506","NA","NA","2493","NA","30000","30113","30535","29988","30113","Flanker Task ","15","7230","17","yes","1024"
"83.33333333333333","83.33333333333333","425.3888888888889","425.3888888888889","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","17","0","17","0","0","0","0","17","17","17","17","17","17","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","17","17","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","427","NA","579","NA","NA","427","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","3095","NA","NA","23700","NA","30548","2506","NA","NA","2493","NA","31607","31720","32149","31594","31720","Flanker Task ","15","7657","18","yes","1024"
"84.21052631578948","84.21052631578948","427.2105263157895","427.2105263157895","black","legacy","legacy","legacy","0","incongruent ","uniform","1","undefined","1","h","0","0","0","18","0","18","0","0","0","0","18","18","18","18","18","18","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","18","18","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","460","NA","579","NA","NA","460","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","3095","NA","NA","32162","NA","32675","2506","NA","NA","2493","NA","33732","33845","34306","33719","33845","Flanker Task ","16","8117","19","yes","1024"
"85","85","428.6","428.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","19","0","19","0","0","0","0","19","19","19","19","19","19","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","19","19","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","455","NA","579","NA","NA","455","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","3095","NA","NA","32162","NA","34326","2506","NA","NA","2493","NA","35385","35500","35956","35372","35500","Flanker Task ","17","8572","20","yes","1024"
"80.95238095238095","80.95238095238095","428.4761904761905","428.4761904761905","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","20","0","20","0","0","0","0","20","20","20","20","20","20","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","20","20","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","426","NA","579","NA","NA","426","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","3095","NA","NA","32162","NA","35983","2506","NA","NA","2493","NA","37041","37155","37583","37028","37155","Flanker Task ","17","8998","21","yes","1024"
"81.81818181818181","81.81818181818181","431.1363636363636","431.1363636363636","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","21","0","21","0","0","0","0","21","21","21","21","21","21","Fri Sep 18 11:18:26 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","21","21","/Users/kaylaredder/Desktop/kr-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","487","NA","579","NA","NA","487","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","3095","NA","NA","37604","NA","38118","2506","NA","NA","2493","NA","39176","39292","39780","39164","39292","Flanker Task ","18","9485","22","yes","1024"
