"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","974","974","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","974","NA","18039","NA","NA","974","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","NA","21242","NA","NA","NA","3171","NA","NA","21312","3182","NA","NA","21427","22402","21303","21427","Flanker Task","1","974","1","yes","1024"
"100","100","873.5","873.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","773","NA","18039","NA","NA","773","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","22418","21242","NA","NA","NA","3171","NA","NA","23500","3182","NA","NA","23613","24386","23490","23613","Flanker Task","2","1747","2","yes","1024"
"100","100","798","798","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","647","NA","18039","NA","NA","647","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","24400","21242","NA","NA","NA","3171","NA","NA","25475","3182","NA","NA","25590","26238","25463","25590","Flanker Task","3","2394","3","yes","1024"
"100","100","757.5","757.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","636","NA","18039","NA","NA","636","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","26248","21242","NA","NA","NA","3171","NA","NA","27306","3182","NA","NA","27419","28055","27297","27419","Flanker Task","4","3030","4","yes","1024"
"100","100","717.6","717.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","558","NA","18039","NA","NA","558","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","28070","21242","NA","NA","NA","3171","NA","NA","29143","3182","NA","NA","29257","29815","29131","29257","Flanker Task","5","3588","5","yes","1024"
"100","100","712.6666666666666","712.6666666666666","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","688","NA","18039","NA","NA","688","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","29829","21242","NA","NA","NA","3171","NA","NA","30903","3182","NA","NA","31018","31706","30891","31018","Flanker Task","6","4276","6","yes","1024"
"100","100","681.7142857142857","681.7142857142857","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","496","NA","18039","NA","NA","496","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","31720","21242","NA","NA","NA","3171","NA","NA","32793","3182","NA","NA","32907","33404","32782","32907","Flanker Task","7","4772","7","yes","1024"
"100","100","667.375","667.375","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","567","NA","18039","NA","NA","567","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","33417","21242","NA","NA","NA","3171","NA","NA","34491","3182","NA","NA","34605","35172","34479","34605","Flanker Task","8","5339","8","yes","1024"
"100","100","651.5555555555555","651.5555555555555","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","525","NA","18039","NA","NA","525","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","35186","21242","NA","NA","NA","3171","NA","NA","36267","3182","NA","NA","36386","36913","36252","36385","Flanker Task","9","5864","9","yes","1024"
"100","100","634.2","634.2","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","Sat Sep 19 16:06:07 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/suzannejosey","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/suzannejosey/subject-1.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","478","NA","18039","NA","NA","478","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","36931","21242","NA","NA","NA","3171","NA","NA","38020","3182","NA","NA","38137","38616","38005","38137","Flanker Task","10","6342","10","yes","1024"
