"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","580","580","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","0","0","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","580","NA","8609","NA","NA","580","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","12264","NA","NA","NA","NA","3614","NA","NA","12338","3628","NA","NA","12454","13035","12325","12454","Flanker Task Lab 2.1","1","580","1","yes","1024"
"100","100","579","579","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","1","1","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","578","NA","8609","NA","NA","578","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","12264","NA","NA","13065","NA","3614","NA","NA","14166","3628","NA","NA","14282","14861","14153","14281","Flanker Task Lab 2.1","2","1158","2","yes","1024"
"66.66666666666667","66.66666666666667","538.3333333333334","538.3333333333334","#800080","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","2","2","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","457","NA","8609","NA","NA","457","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","12264","NA","NA","14886","NA","3614","NA","NA","15972","3628","NA","NA","16087","16545","15959","16087","Flanker Task Lab 2.1","2","1615","3","yes","1024"
"75","75","562.75","562.75","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","3","3","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","636","NA","8609","NA","NA","636","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","12264","NA","NA","17086","16572","3614","NA","NA","18171","3628","NA","NA","18291","18928","18158","18291","Flanker Task Lab 2.1","3","2251","4","yes","1024"
"60","60","546","546","#800080","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","4","4","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","479","NA","8609","NA","NA","479","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","12264","NA","NA","18956","16572","3614","NA","NA","20043","3628","NA","NA","20163","20644","20030","20163","Flanker Task Lab 2.1","3","2730","5","yes","1024"
"66.66666666666667","66.66666666666667","527.5","527.5","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","5","5","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","435","NA","8609","NA","NA","435","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","12264","NA","NA","21183","20670","3614","NA","NA","22272","3628","NA","NA","22387","22824","22255","22387","Flanker Task Lab 2.1","4","3165","6","yes","1024"
"71.42857142857143","71.42857142857143","519.5714285714286","519.5714285714286","#800080","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","6","6","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","472","NA","8609","NA","NA","472","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","12264","NA","NA","22839","20670","3614","NA","NA","23926","3628","NA","NA","24044","24518","23912","24044","Flanker Task Lab 2.1","5","3637","7","yes","1024"
"75","75","520.25","520.25","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","7","7","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","525","NA","8609","NA","NA","525","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","12264","NA","NA","24545","20670","3614","NA","NA","25630","3628","NA","NA","25745","26271","25617","25745","Flanker Task Lab 2.1","6","4162","8","yes","1024"
"77.77777777777777","77.77777777777777","516.1111111111111","516.1111111111111","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","8","8","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","483","NA","8609","NA","NA","483","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","12264","NA","NA","26295","20670","3614","NA","NA","27382","3628","NA","NA","27497","27982","27367","27497","Flanker Task Lab 2.1","7","4645","9","yes","1024"
"80","80","522.4","522.4","#800080","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Sat Sep 26 10:50:02 2020","1500","The main experiment item","yes","FlankerTaskLab.osexp","/Users/Arianna/Desktop","no","sans","no","18","no","white","no","yes","768","legacy","9","9","/Users/Arianna/Desktop/AG-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","579","NA","8609","NA","NA","579","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","12264","NA","NA","28008","20670","3614","NA","NA","29095","3628","NA","NA","29210","29790","29080","29210","Flanker Task Lab 2.1","8","5224","10","yes","1024"
