"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish","count_ISI","count_Instructions2","count_errorFeedback","count_experiment","count_faster","count_fixation","count_instructions1","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions2","response_errorFeedback","response_faster","response_instructions1","response_instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions2","response_time_errorFeedback","response_time_faster","response_time_instructions1","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish","time_ISI","time_Instructions2","time_errorFeedback","time_experiment","time_faster","time_fixation","time_instructions1","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1500","1500","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","None","NA","NA","NA","NA","return","NA","None","1500","NA","NA","NA","NA","2596","NA","1500","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","5272","NA","NA","NA","NA","NA","NA","2649","NA","5331","2666","NA","5452","6952","5317","5452","Flanker Task","0","1500","1","yes","1024"
"50","50","1344","1344","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","1","0","1","0","1","1","0","0","1","1","1","1","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","NA","return","return","return","NA","h","1188","NA","NA","8258","1367","2596","NA","1188","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","5272","NA","NA","NA","16622","NA","6969","2649","15241","17714","2666","NA","17834","19025","17701","17834","Flanker Task","1","2688","2","yes","1024"
"33.333333333333336","33.333333333333336","1396","1396","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","2","0","2","0","2","2","0","0","2","2","2","2","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","None","NA","NA","return","return","return","NA","None","1500","NA","NA","8258","1367","2596","NA","1500","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","5272","NA","NA","NA","19040","NA","6969","2649","15241","20111","2666","NA","20232","21732","20099","20232","Flanker Task","1","4188","3","yes","1024"
"50","50","1290.5","1290.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","3","0","3","0","3","3","0","0","3","3","3","3","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","NA","return","return","return","NA","h","974","NA","NA","6501","4537","2596","NA","974","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","5272","NA","NA","NA","32812","NA","21746","2649","28261","33879","2666","NA","34000","34975","33866","34000","Flanker Task","2","5162","4","yes","1024"
"60","60","1238.8","1238.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","4","0","4","0","4","4","0","0","4","4","4","4","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","NA","return","return","return","NA","s","1032","NA","NA","6501","4537","2596","NA","1032","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","5272","NA","NA","NA","34989","NA","21746","2649","28261","36059","2666","NA","36179","37212","36046","36179","Flanker Task","3","6194","5","yes","1024"
"66.66666666666667","66.66666666666667","1186.6666666666667","1186.6666666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","5","0","5","0","5","5","0","0","5","5","5","5","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","NA","return","return","return","NA","s","926","NA","NA","6501","4537","2596","NA","926","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","5272","NA","NA","NA","37226","NA","21746","2649","28261","38298","2666","NA","38421","39348","38283","38421","Flanker Task","4","7120","6","yes","1024"
"71.42857142857143","71.42857142857143","1151.857142857143","1151.857142857143","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","6","0","6","0","6","6","0","0","6","6","6","6","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","NA","return","return","return","NA","h","943","NA","NA","6501","4537","2596","NA","943","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","5272","NA","NA","NA","39364","NA","21746","2649","28261","40435","2666","NA","40555","41499","40422","40555","Flanker Task","5","8063","7","yes","1024"
"75","75","1120.25","1120.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","7","0","7","0","7","7","0","0","7","7","7","7","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","NA","return","return","return","NA","h","899","NA","NA","6501","4537","2596","NA","899","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","5272","NA","NA","NA","41515","NA","21746","2649","28261","42587","2666","NA","42709","43609","42573","42709","Flanker Task","6","8962","8","yes","1024"
"77.77777777777777","77.77777777777777","1092","1092","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","8","0","8","0","8","8","0","0","8","8","8","8","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","NA","return","return","return","NA","s","866","NA","NA","6501","4537","2596","NA","866","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","5272","NA","NA","NA","43623","NA","21746","2649","28261","44694","2666","NA","44815","45682","44680","44815","Flanker Task","7","9828","9","yes","1024"
"80","80","1046.6","1046.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","9","0","9","0","9","9","0","0","9","9","9","9","Sun Sep 27 11:24:24 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/shelia/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/shelia/Desktop/ST-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","NA","return","return","return","NA","h","638","NA","NA","6501","4537","2596","NA","638","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","5272","NA","NA","NA","45698","NA","21746","2649","28261","46766","2666","NA","46887","47526","46753","46887","Flanker Task","8","10466","10","yes","1024"
