condition,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Instructions2,count_block1,count_block2,count_block3,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions3,count_isi,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions2,response_finish,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_Instructions2,response_time_finish,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Instructions2,time_block1,time_block2,time_block3,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions3,time_isi,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
congruent,100,100,574.70134,574.70134,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,0,0,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,574.70134,NA,NA,2303.429145,NA,574.70134,2,psycho,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,6020.675717,3586.751658,NA,NA,6136.611575,6716.767189,5980.739419,6136.27239,Flanker Task,1,574.70134,1,yes,1024
congruent,100,100,531.928159,531.928159,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,1,1,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,489.154978,NA,NA,2303.429145,NA,489.154978,2,psycho,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,7870.046165,3586.751658,NA,6737.238348,7988.523361,8479.708661,7853.62503,7987.236293,Flanker Task,2,1063.856318,2,yes,1024
congruent,100,100,528.7729177,528.7729177,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,2,0,2,0,2,0,0,2,2,2,2,2,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,2,2,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,522.462435,NA,NA,2303.429145,NA,522.462435,2,psycho,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,9637.273536,3586.751658,NA,8503.403064,9755.164266,10283.10301,9616.037367,9754.042218,Flanker Task,3,1586.318753,3,yes,1024
incongruent,100,100,583.1476677,583.1476677,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,3,0,3,0,3,0,0,3,3,3,3,3,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,3,3,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,746.271918,NA,NA,2303.429145,NA,746.271918,2,psycho,1024,2,48000,-16,experiment,HHSHH,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,11437.77657,3586.751658,NA,10303.81249,11556.40678,12304.65018,11415.86732,11555.15749,Flanker Task,4,2332.590671,4,yes,1024
congruent,100,100,581.9305106,581.9305106,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,4,0,4,0,4,0,0,4,4,4,4,4,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,4,4,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,577.061882,NA,NA,2303.429145,NA,577.061882,2,psycho,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,13453.0907,3586.751658,NA,12320.22421,13570.71085,14153.21864,13431.83978,13569.64995,Flanker Task,5,2909.652553,5,yes,1024
congruent,100,100,554.1237622,554.1237622,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,5,0,5,0,5,0,0,5,5,5,5,5,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,5,5,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,415.09002,NA,NA,2303.429145,NA,415.09002,2,psycho,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,15302.90547,3586.751658,NA,14169.66483,15420.13941,15837.29517,15281.93312,15419.44995,Flanker Task,6,3324.742573,6,yes,1024
incongruent,100,100,534.7958253,534.7958253,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,6,0,6,0,6,0,0,6,6,6,6,6,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,6,6,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,418.828204,NA,NA,2303.429145,NA,418.828204,2,psycho,1024,2,48000,-16,experiment,HHSHH,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,16986.24335,3586.751658,NA,15852.80473,17103.83777,17524.89277,16964.65265,17103.00011,Flanker Task,7,3743.570777,7,yes,1024
incongruent,87.5,87.5,522.1976604,522.1976604,black,psycho,psycho,psycho,0,uniform,0,undefined,0,h,0,0,0,0,7,0,7,0,7,0,0,7,7,7,7,7,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,7,7,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,434.010506,NA,NA,2303.429145,NA,434.010506,2,psycho,1024,2,48000,-16,experiment,SSHSS,1,odd,NA,5908.717878,NA,NA,NA,3546.296135,NA,NA,18669.65084,3586.751658,NA,17536.06133,18787.49325,19226.96542,18656.01851,18786.29198,Flanker Task,7,4177.581283,8,yes,1024
incongruent,88.88888889,88.88888889,526.0987258,526.0987258,black,psycho,psycho,psycho,0,uniform,1,undefined,1,h,0,0,0,0,8,0,8,0,8,0,0,8,8,8,8,8,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,8,8,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,h,NA,NA,s,NA,h,557.307249,NA,NA,2303.429145,NA,557.307249,2,psycho,1024,2,48000,-16,experiment,SSHSS,1,odd,NA,5908.717878,NA,NA,19236.47567,3546.296135,NA,NA,20886.28085,3586.751658,NA,19752.9938,21004.12408,21563.54836,20865.16121,21002.94474,Flanker Task,8,4734.888532,9,yes,1024
congruent,90,90,530.450857,530.450857,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,9,0,9,0,9,0,0,9,9,9,9,9,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,9,9,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,569.620038,NA,NA,2303.429145,NA,569.620038,2,psycho,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,5908.717878,NA,NA,19236.47567,3546.296135,NA,NA,22720.17563,3586.751658,NA,21586.06017,22836.85007,23408.45252,22699.56846,22836.25805,Flanker Task,9,5304.50857,10,yes,1024
incongruent,81.81818182,81.81818182,530.9405879,530.9405879,black,psycho,psycho,psycho,0,uniform,0,undefined,0,h,0,0,0,0,10,0,10,0,10,0,0,10,10,10,10,10,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,10,10,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,535.837897,NA,NA,2303.429145,NA,535.837897,2,psycho,1024,2,48000,-16,experiment,SSHSS,1,odd,NA,5908.717878,NA,NA,19236.47567,3546.296135,NA,NA,24552.82871,3586.751658,NA,23419.47134,24670.67078,25211.9271,24531.22593,24669.49429,Flanker Task,9,5840.346467,11,yes,1024
congruent,83.33333333,83.33333333,524.4345973,524.4345973,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,11,0,11,0,11,0,0,11,11,11,11,11,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,11,11,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,452.868701,NA,NA,2303.429145,NA,452.868701,2,psycho,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,5908.717878,NA,NA,25236.15564,3546.296135,NA,NA,26886.11478,3586.751658,NA,25752.81116,27003.89577,27458.64588,26864.7151,27002.77911,Flanker Task,10,6293.215168,12,yes,1024
congruent,84.61538462,84.61538462,522.7246122,522.7246122,black,psycho,psycho,psycho,0,uniform,1,undefined,1,s,0,0,0,0,12,0,12,0,12,0,0,12,12,12,12,12,Sun Sep 20 21:30:06 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Users/tforestmoore/Desktop,no,mono,no,18,no,white,no,yes,768,psycho,12,12,/Users/tforestmoore/Desktop/TFM-subject-1.csv,psycho,Lentiform Loewenfeld,3.3.3,0,s,NA,NA,s,NA,s,502.204791,NA,NA,2303.429145,NA,502.204791,2,psycho,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,5908.717878,NA,NA,25236.15564,3546.296135,NA,NA,28602.84924,3586.751658,NA,27469.46103,28720.59236,29228.32095,28581.88462,28719.47113,Flanker Task,11,6795.419959,13,yes,1024
