acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1167,1167,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,s,NA,NA,h,NA,1167,54505,NA,NA,1167,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,NA,57185,NA,NA,NA,2674,NA,57282,2680,NA,NA,57388,58555,NA,57280,57387,Flanker Task,1,1167,1,yes,1024
100,100,1065,1065,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,s,NA,NA,h,NA,963,54505,NA,NA,963,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,58567,57185,NA,NA,NA,2674,NA,59689,2680,NA,NA,59797,60761,NA,59686,59797,Flanker Task,2,2130,2,yes,1024
100,100,1006,1006,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,2,0,0,0,2,0,2,2,0,0,0,2,2,0,2,2,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,s,NA,NA,s,NA,888,54505,NA,NA,888,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,60770,57185,NA,NA,NA,2674,NA,61906,2680,NA,NA,62012,62901,NA,61903,62012,Flanker Task,3,3018,3,yes,1024
100,100,944.75,944.75,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,3,0,0,0,3,0,3,3,0,0,0,3,3,0,3,3,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,s,NA,NA,s,NA,761,54505,NA,NA,761,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,62910,57185,NA,NA,NA,2674,NA,64047,2680,NA,NA,64154,64915,NA,64044,64154,Flanker Task,4,3779,4,yes,1024
100,100,856.2,856.2,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,4,0,0,0,4,0,4,4,0,0,0,4,4,0,4,4,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,s,NA,NA,s,NA,502,54505,NA,NA,502,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,64924,57185,NA,NA,NA,2674,NA,66034,2680,NA,NA,66140,66643,NA,66028,66139,Flanker Task,5,4281,5,yes,1024
83.33333333,83.33333333,820.8333333,820.8333333,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,5,0,0,0,5,0,5,5,0,0,0,5,5,0,5,5,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,s,NA,NA,s,NA,644,54505,NA,NA,644,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,66652,57185,NA,NA,NA,2674,NA,67756,2680,NA,NA,67861,68506,NA,67754,67861,Flanker Task,5,4925,6,yes,1024
85.71428571,85.71428571,786.5714286,786.5714286,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,6,0,0,0,6,0,6,6,0,0,0,6,6,0,6,6,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,s,NA,NA,s,NA,581,54505,NA,NA,581,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,69020,57185,NA,NA,68515,2674,NA,70121,2680,NA,NA,70226,70807,NA,70119,70226,Flanker Task,6,5506,7,yes,1024
87.5,87.5,753.125,753.125,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,7,0,0,0,7,0,7,7,0,0,0,7,7,0,7,7,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,s,NA,NA,h,NA,519,54505,NA,NA,519,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,70816,57185,NA,NA,68515,2674,NA,71926,2680,NA,NA,72032,72552,NA,71924,72032,Flanker Task,7,6025,8,yes,1024
88.88888889,88.88888889,732.2222222,732.2222222,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,8,0,0,0,8,0,8,8,0,0,0,8,8,0,8,8,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,s,NA,NA,s,NA,565,54505,NA,NA,565,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,72561,57185,NA,NA,68515,2674,NA,73671,2680,NA,NA,73776,74341,NA,73668,73776,Flanker Task,8,6590,9,yes,1024
90,90,715.8,715.8,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,9,0,0,0,9,0,9,9,0,0,0,9,9,0,9,9,Sun Sep 20 14:39:54 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chris/OneDrive/Desktop,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/chris/OneDrive/Desktop/CM-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,s,NA,NA,h,NA,568,54505,NA,NA,568,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,74350,57185,NA,NA,68515,2674,NA,75468,2680,NA,NA,75573,76142,NA,75466,75573,Flanker Task,9,7158,10,yes,1024
