"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","547","547","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","h","547","20928","NA","NA","547","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","23301","NA","NA","NA","2368","NA","23390","2372","NA","NA","23491","24039","23388","23491","Flanker Task","1","547","1","yes","1024"
"100","100","525","525","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","1","0","0","0","1","0","1","1","0","0","0","1","1","1","1","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","s","503","20928","NA","NA","503","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","24051","23301","NA","NA","NA","2368","NA","25150","2372","NA","NA","25252","25755","25148","25252","Flanker Task","2","1050","2","yes","1024"
"100","100","548.6666666666666","548.6666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","2","0","0","0","2","0","2","2","0","0","0","2","2","2","2","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","s","596","20928","NA","NA","596","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","25764","23301","NA","NA","NA","2368","NA","26863","2372","NA","NA","26965","27561","26860","26965","Flanker Task","3","1646","3","yes","1024"
"100","100","540.25","540.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","3","0","0","0","3","3","3","3","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","s","515","20928","NA","NA","515","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","27571","23301","NA","NA","NA","2368","NA","28662","2372","NA","NA","28764","29280","28660","28764","Flanker Task","4","2161","4","yes","1024"
"100","100","573","573","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","4","0","0","0","4","0","4","4","0","0","0","4","4","4","4","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","h","704","20928","NA","NA","704","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","29289","23301","NA","NA","NA","2368","NA","30385","2372","NA","NA","30487","31191","30382","30487","Flanker Task","5","2865","5","yes","1024"
"100","100","556.8333333333334","556.8333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","5","0","0","0","5","0","5","5","0","0","0","5","5","5","5","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","s","476","20928","NA","NA","476","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","31200","23301","NA","NA","NA","2368","NA","32298","2372","NA","NA","32400","32876","32294","32400","Flanker Task","6","3341","6","yes","1024"
"100","100","554.8571428571429","554.8571428571429","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","6","0","0","0","6","0","6","6","0","0","0","6","6","6","6","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","s","543","20928","NA","NA","543","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","32885","23301","NA","NA","NA","2368","NA","33988","2372","NA","NA","34090","34633","33985","34090","Flanker Task","7","3884","7","yes","1024"
"100","100","544.375","544.375","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","7","0","0","0","7","0","7","7","0","0","0","7","7","7","7","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","s","471","20928","NA","NA","471","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","34644","23301","NA","NA","NA","2368","NA","35739","2372","NA","NA","35841","36312","35736","35841","Flanker Task","8","4355","8","yes","1024"
"100","100","550.2222222222222","550.2222222222222","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","8","0","0","0","8","0","8","8","0","0","0","8","8","8","8","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","h","597","20928","NA","NA","597","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36323","23301","NA","NA","NA","2368","NA","37421","2372","NA","NA","37523","38120","37418","37523","Flanker Task","9","4952","9","yes","1024"
"100","100","543.3","543.3","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","9","0","0","0","9","9","9","9","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","h","NA","NA","s","481","20928","NA","NA","481","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","38125","23301","NA","NA","NA","2368","NA","39221","2372","NA","NA","39323","39805","39219","39323","Flanker Task","10","5433","10","yes","1024"
"100","100","538.9090909090909","538.9090909090909","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","10","0","0","0","10","0","10","10","0","0","0","10","10","10","10","Sun Sep 27 17:17:30 2020","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\chris\OneDrive\Desktop\lab","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/chris/OneDrive/Desktop/lab/CM-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","h","NA","NA","h","495","20928","NA","NA","495","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","39814","23301","NA","NA","NA","2368","NA","40911","2372","NA","NA","41014","41509","40909","41014","Flanker Task","11","5928","11","yes","1024"
