acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instruction1,correct_keybordresponse,correct_response,count_Block1,count_Block2,count_Block3,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instructions2,count_instructions3,count_isi,count_keybordresponse,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instructions2,response_instructions3,response_keybordresponse,response_time,response_time_finish,response_time_instruction1,response_time_instructions2,response_time_instructions3,response_time_keybordresponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instructions2,time_instructions3,time_isi,time_keybordresponse,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,530,530,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,H,NA,S,NA,NA,H,530,NA,35659,NA,NA,530,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,38248,NA,NA,NA,2580,NA,NA,38307,2588,NA,NA,NA,38411,38942,38305,38410,Flanker Task,1,530,1,yes,1024
100,100,470,470,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,410,NA,35659,NA,NA,410,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,38248,NA,NA,NA,2580,NA,NA,40029,2588,NA,NA,38966,40133,40543,40026,40133,Flanker Task,2,940,2,yes,1024
100,100,467,467,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,2,0,2,0,2,0,0,0,2,2,2,2,2,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,461,NA,35659,NA,NA,461,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,38248,NA,NA,NA,2580,NA,NA,41628,2588,NA,NA,40566,41732,42193,41626,41732,Flanker Task,3,1401,3,yes,1024
100,100,448.75,448.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,3,0,3,0,3,0,0,0,3,3,3,3,3,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,394,NA,35659,NA,NA,394,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,38248,NA,NA,NA,2580,NA,NA,43263,2588,NA,NA,42201,43368,43763,43261,43367,Flanker Task,4,1795,4,yes,1024
100,100,457.2,457.2,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,4,0,4,0,4,0,0,0,4,4,4,4,4,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,491,NA,35659,NA,NA,491,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,38248,NA,NA,NA,2580,NA,NA,44846,2588,NA,NA,43785,44948,45440,44844,44948,Flanker Task,5,2286,5,yes,1024
100,100,447.6666667,447.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,0,5,0,5,0,0,0,5,5,5,5,5,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,400,NA,35659,NA,NA,400,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,38248,NA,NA,NA,2580,NA,NA,46509,2588,NA,NA,45447,46610,47010,46508,46610,Flanker Task,6,2686,6,yes,1024
100,100,441.1428571,441.1428571,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,0,6,0,6,0,0,0,6,6,6,6,6,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,402,NA,35659,NA,NA,402,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,38248,NA,NA,NA,2580,NA,NA,48096,2588,NA,NA,47033,48197,48599,48094,48197,Flanker Task,7,3088,7,yes,1024
100,100,430.875,430.875,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,0,7,0,7,0,0,0,7,7,7,7,7,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,359,NA,35659,NA,NA,359,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,38248,NA,NA,NA,2580,NA,NA,49683,2588,NA,NA,48621,49785,50144,49681,49785,Flanker Task,8,3447,8,yes,1024
100,100,442,442,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,0,8,0,8,0,0,0,8,8,8,8,8,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,H,NA,S,NA,NA,H,531,NA,35659,NA,NA,531,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,38248,NA,NA,NA,2580,NA,NA,51239,2588,NA,NA,50166,51343,51874,51237,51342,Flanker Task,9,3978,9,yes,1024
100,100,460.1,460.1,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,9,0,9,0,9,0,0,0,9,9,9,9,9,Fri Sep 25 23:43:51 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents\Fall 2020\Flanker Test,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/katri/OneDrive/Documents/Fall 2020/Flanker Test/subject-4.csv,legacy,Lentiform Loewenfeld,3.3.3,0,S,NA,S,NA,NA,S,623,NA,35659,NA,NA,623,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,38248,NA,NA,NA,2580,NA,NA,52948,2588,NA,NA,51881,53049,53672,52946,53049,Flanker Task,10,4601,10,yes,1024
