"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboardresponse","correct_response","count_block1","count_block2","count_block3","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_isi","count_keyboardresponse","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboardresponse","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboardresponse","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_block1","time_block2","time_block3","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_isi","time_keyboardresponse","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","832","832","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","832","NA","23435","NA","NA","832","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","NA","3757","NA","NA","27366","3762","NA","NA","NA","27472","28305","27360","27471","New experiment","1","832","1","yes","1024"
"50","50","663.5","663.5","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","1","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","495","NA","23435","NA","NA","495","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","NA","3757","NA","NA","29459","3762","NA","NA","28317","29561","30056","29455","29561","New experiment","1","1327","2","yes","1024"
"66.6666666667","66.6666666667","629.333333333","629.333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","2","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","561","NA","23435","NA","NA","561","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","30061","3757","NA","NA","31695","3762","NA","NA","30567","31801","32362","31692","31801","New experiment","2","1888","3","yes","1024"
"75","75","592.25","592.25","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","3","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","481","NA","23435","NA","NA","481","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","30061","3757","NA","NA","33499","3762","NA","NA","32368","33605","34086","33495","33604","New experiment","3","2369","4","yes","1024"
"80","80","565","565","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","4","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","456","NA","23435","NA","NA","456","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","27198","NA","NA","30061","3757","NA","NA","35231","3762","NA","NA","34093","35337","35793","35228","35337","New experiment","4","2825","5","yes","1024"
"83.3333333333","83.3333333333","541.833333333","541.833333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","5","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","426","NA","23435","NA","NA","426","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","27198","NA","NA","30061","3757","NA","NA","36940","3762","NA","NA","35798","37046","37473","36937","37046","New experiment","5","3251","6","yes","1024"
"85.7142857143","85.7142857143","517.285714286","517.285714286","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","6","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","370","NA","23435","NA","NA","370","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","30061","3757","NA","NA","38621","3762","NA","NA","37478","38727","39098","38618","38727","New experiment","6","3621","7","yes","1024"
"87.5","87.5","520.375","520.375","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","7","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","542","NA","23435","NA","NA","542","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","27198","NA","NA","30061","3757","NA","NA","40244","3762","NA","NA","39103","40350","40893","40241","40350","New experiment","7","4163","8","yes","1024"
"77.7777777778","77.7777777778","512.888888889","512.888888889","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","8","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","453","NA","23435","NA","NA","453","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","30061","3757","NA","NA","42043","3762","NA","NA","40898","42149","42603","42040","42148","New experiment","7","4616","9","yes","1024"
"80","80","505.8","505.8","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","9","09/27/20 15:44:53","1500","Flanker Task","yes","flankertasksubmission.osexp","C:\Users\User\Desktop\Quant 2020 - Copy","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/Quant 2020 - Copy/CP-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","442","NA","23435","NA","NA","442","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","27198","NA","NA","42608","3757","NA","NA","44237","3762","NA","NA","43114","44343","44786","44234","44343","New experiment","8","5058","10","yes","1024"
