"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Faster","count_Finished","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Sequence","count_experiment","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finished","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finished","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Faster","time_Finished","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Sequence","time_experiment","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1203","1203","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","1203","NA","2053","NA","NA","1203","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","6087","NA","NA","NA","NA","NA","6311","NA","4032","NA","NA","6306","4025","6418","7622","6417","Flanker Task","1","1203","1","yes","1024"
"100","100","1225.5","1225.5","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","1","1","0","1","1","0","0","0","1","0","1","1","1","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","1248","NA","2053","NA","NA","1248","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","6087","NA","NA","NA","NA","NA","9244","8029","4032","NA","NA","9238","4025","9349","10598","9349","Flanker Task","2","2451","2","yes","1024"
"100","100","1210.33333333","1210.33333333","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","2","2","0","2","2","0","0","0","2","0","2","2","2","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","1180","NA","2053","NA","NA","1180","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","6087","NA","NA","NA","NA","NA","12127","10932","4032","NA","NA","12122","4025","12233","13414","12233","Flanker Task","3","3631","3","yes","1024"
"100","100","1179.5","1179.5","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","3","3","0","3","3","0","0","0","3","0","3","3","3","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","1087","NA","2053","NA","NA","1087","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","6087","NA","NA","NA","NA","NA","14869","13659","4032","NA","NA","14861","4025","14974","16062","14973","Flanker Task","4","4718","4","yes","1024"
"100","100","1160","1160","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","4","4","0","4","4","0","0","0","4","0","4","4","4","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","1082","NA","2053","NA","NA","1082","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","6087","NA","NA","NA","NA","NA","17610","16395","4032","NA","NA","17603","4025","17715","18798","17714","Flanker Task","5","5800","5","yes","1024"
"100","100","1169","1169","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","5","5","0","5","5","0","0","0","5","0","5","5","5","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","1214","NA","2053","NA","NA","1214","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","6087","NA","NA","NA","NA","NA","20160","18950","4032","NA","NA","20154","4025","20264","21480","20263","Flanker Task","6","7014","6","yes","1024"
"100","100","1191.42857143","1191.42857143","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","6","6","0","6","6","0","0","0","6","0","6","6","6","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","1326","NA","2053","NA","NA","1326","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","6087","NA","NA","NA","NA","NA","22918","21705","4032","NA","NA","22912","4025","23023","24350","23022","Flanker Task","7","8340","7","yes","1024"
"100","100","1204.625","1204.625","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","7","7","0","7","7","0","0","0","7","0","7","7","7","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","h","NA","NA","h","1297","NA","2053","NA","NA","1297","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","6087","NA","NA","NA","NA","NA","25779","24587","4032","NA","NA","25773","4025","25884","27182","25883","Flanker Task","8","9637","8","yes","1024"
"100","100","1147.55555556","1147.55555556","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","8","0","0","0","8","0","8","8","8","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","691","NA","2053","NA","NA","691","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","6087","NA","NA","NA","NA","NA","28530","27336","4032","NA","NA","28525","4025","28634","29326","28634","Flanker Task","9","10328","9","yes","1024"
"100","100","1098.3","1098.3","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","9","9","0","9","9","0","0","0","9","0","9","9","9","09/25/20 20:53:33","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/solom/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/solom/Desktop/MW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","h","NA","NA","s","655","NA","2053","NA","NA","655","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","6087","NA","NA","NA","NA","NA","30742","29530","4032","NA","NA","30736","4025","30846","31502","30845","Flanker Task","10","10983","10","yes","1024"
