acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_Keyboard_Response,correct_response,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions3,count_Keyboard_Response,count_Sequence,count_Stimulus,count_block1,count_block2,count_block3,count_experiment,count_instructions2,count_new_logger,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions3,response_Keyboard_Response,response_instructions2,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions3,response_time_Keyboard_Response,response_time_instructions2,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions3,time_Keyboard_Response,time_Sequence,time_Stimulus,time_block1,time_block2,time_block3,time_experiment,time_instructions2,time_new_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1071,1071,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,1071,NA,3892,NA,1071,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,NA,NA,12619,NA,8359,NA,12724,12614,12724,12253,NA,NA,8352,NA,13796,Flanker Task,1,1071,1,yes,1024
100,100,823,823,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,575,NA,3892,NA,575,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,NA,NA,15124,13895,8359,NA,15228,15119,15228,12253,NA,NA,8352,NA,15804,Flanker Task,2,1646,2,yes,1024
100,100,692.6666667,692.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,2,2,0,2,2,0,0,2,2,2,0,0,0,0,0,2,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,432,NA,3892,NA,432,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,NA,NA,NA,17082,15861,8359,NA,17186,17076,17186,12253,NA,NA,8352,NA,17619,Flanker Task,3,2078,3,yes,1024
100,100,604.5,604.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,3,3,0,3,3,0,0,3,3,3,0,0,0,0,0,3,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,340,NA,3892,NA,340,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,NA,NA,18879,17650,8359,NA,18983,18874,18983,12253,NA,NA,8352,NA,19324,Flanker Task,4,2418,4,yes,1024
100,100,564.4,564.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,4,4,0,4,4,0,0,4,4,4,0,0,0,0,0,4,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,404,NA,3892,NA,404,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,NA,NA,20614,19387,8359,NA,20718,20609,20718,12253,NA,NA,8352,NA,21123,Flanker Task,5,2822,5,yes,1024
100,100,561,561,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,5,5,0,5,5,0,0,5,5,5,0,0,0,0,0,5,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,544,NA,3892,NA,544,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,NA,NA,22418,21187,8359,NA,22522,22412,22522,12253,NA,NA,8352,NA,23068,Flanker Task,6,3366,6,yes,1024
100,100,536.8571429,536.8571429,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,6,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,392,NA,3892,NA,392,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,NA,NA,24354,23120,8359,NA,24458,24349,24457,12253,NA,NA,8352,NA,24851,Flanker Task,7,3758,7,yes,1024
87.5,87.5,511.5,511.5,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,7,7,0,7,7,0,0,7,7,7,0,0,0,0,0,7,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,334,NA,3892,NA,334,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,NA,NA,NA,26141,24911,8359,NA,26245,26136,26245,12253,NA,NA,8352,NA,26580,Flanker Task,7,4092,8,yes,1024
88.88888889,88.88888889,508.8888889,508.8888889,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,8,8,0,8,8,0,0,8,8,8,0,0,0,0,0,8,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,s,NA,s,NA,488,NA,3892,NA,488,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,26621,NA,NA,28354,27126,8359,NA,28458,28348,28458,12253,NA,NA,8352,NA,28948,Flanker Task,8,4580,9,yes,1024
90,90,510.5,510.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,9,9,0,9,9,0,0,9,9,9,0,0,0,0,0,9,Sun Sep 13 18:27:08 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/chelsea/OneDrive - Tarleton State University/psych 5316- adv/flanker test/vgsubject-2.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,s,NA,h,NA,525,NA,3892,NA,525,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,26621,NA,NA,30242,29017,8359,NA,30349,30237,30348,12253,NA,NA,8352,NA,30875,Flanker Task,9,5105,10,yes,1024
