"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Finish","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Finish","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1500","1500","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","None","NA","s","NA","NA","None","1500","NA","21189","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","NA","4821","NA","NA","26013","NA","NA","NA","4812","NA","26293","26400","27900","26286","26400","Flanker Task","0","1500","1","yes","1024"
"50","50","1288.5","1288.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","1","0","0","0","0","0","0","1","0","1","1","1","1","1","1","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","1077","NA","21189","NA","NA","1077","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","28726","4821","NA","NA","26013","NA","NA","28218","4812","NA","29934","30042","31121","29929","30041","Flanker Task","1","2577","2","yes","1024"
"66.6666666667","66.6666666667","1087.33333333","1087.33333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","2","0","0","0","0","0","0","2","0","2","2","2","2","2","2","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","685","NA","21189","NA","NA","685","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","31175","4821","NA","NA","26013","NA","NA","28218","4812","NA","32368","32475","33161","32362","32475","Flanker Task","2","3262","3","yes","1024"
"75","75","1037.75","1037.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","3","0","0","0","0","0","0","3","0","3","3","3","3","3","3","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","889","NA","21189","NA","NA","889","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","33275","4821","NA","NA","26013","NA","NA","28218","4812","NA","34452","34558","35449","34446","34558","Flanker Task","3","4151","4","yes","1024"
"80","80","1106.6","1106.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","4","0","0","0","0","0","0","4","0","4","4","4","4","4","4","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","1382","NA","21189","NA","NA","1382","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","NA","35488","4821","NA","NA","26013","NA","NA","28218","4812","NA","36690","36796","38180","36683","36795","Flanker Task","4","5533","5","yes","1024"
"83.3333333333","83.3333333333","1138.66666667","1138.66666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","5","0","0","0","0","0","0","5","0","5","5","5","5","5","5","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","1299","NA","21189","NA","NA","1299","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","NA","38249","4821","NA","NA","26013","NA","NA","28218","4812","NA","39439","39548","40848","39434","39547","Flanker Task","5","6832","6","yes","1024"
"85.7142857143","85.7142857143","1072.85714286","1072.85714286","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","6","0","0","0","0","0","0","6","0","6","6","6","6","6","6","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","678","NA","21189","NA","NA","678","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","NA","40916","4821","NA","NA","26013","NA","NA","28218","4812","NA","42107","42212","42892","42101","42211","Flanker Task","6","7510","7","yes","1024"
"87.5","87.5","1021.625","1021.625","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","7","0","0","0","0","0","0","7","0","7","7","7","7","7","7","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","663","NA","21189","NA","NA","663","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","NA","43226","4821","NA","NA","26013","NA","NA","28218","4812","NA","44417","44526","45191","44411","44525","Flanker Task","7","8173","8","yes","1024"
"88.8888888889","88.8888888889","1009.44444444","1009.44444444","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","8","0","0","0","0","0","0","8","0","8","8","8","8","8","8","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","912","NA","21189","NA","NA","912","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","45232","4821","NA","NA","26013","NA","NA","28218","4812","NA","46435","46543","47456","46428","46543","Flanker Task","8","9085","9","yes","1024"
"90","90","986.1","986.1","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","9","0","0","0","0","0","0","9","0","9","9","9","9","9","9","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","776","NA","21189","NA","NA","776","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","NA","47527","4821","NA","NA","26013","NA","NA","28218","4812","NA","48713","48817","49595","48707","48817","Flanker Task","9","9861","10","yes","1024"
"90.9090909091","90.9090909091","950","950","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","10","0","0","0","0","0","0","10","0","10","10","10","10","10","10","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","589","NA","21189","NA","NA","589","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","49651","4821","NA","NA","26013","NA","NA","28218","4812","NA","50849","50961","51551","50842","50960","Flanker Task","10","10450","11","yes","1024"
"83.3333333333","83.3333333333","918.333333333","918.333333333","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","11","0","0","0","0","0","0","11","0","11","11","11","11","11","11","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","570","NA","21189","NA","NA","570","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","51705","4821","NA","NA","26013","NA","NA","28218","4812","NA","52905","53012","53583","52899","53011","Flanker Task","10","11020","12","yes","1024"
"76.9230769231","76.9230769231","963.076923077","963.076923077","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","12","0","0","0","0","0","0","12","0","12","12","12","12","12","12","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","None","NA","s","NA","NA","None","1500","NA","21189","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","NA","54144","4821","NA","NA","26013","NA","NA","53637","4812","NA","55337","55442","56943","55331","55442","Flanker Task","10","12520","13","yes","1024"
"78.5714285714","78.5714285714","947.642857143","947.642857143","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","13","0","0","0","0","0","0","13","0","13","13","13","13","13","13","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","747","NA","21189","NA","NA","747","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","57483","4821","NA","NA","26013","NA","NA","56977","4812","NA","58675","58779","59527","58668","58779","Flanker Task","11","13267","14","yes","1024"
"80","80","923.8","923.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","14","0","0","0","0","0","0","14","0","14","14","14","14","14","14","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","590","NA","21189","NA","NA","590","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","59591","4821","NA","NA","26013","NA","NA","56977","4812","NA","60776","60884","61476","60770","60884","Flanker Task","12","13857","15","yes","1024"
"81.25","81.25","903.8125","903.8125","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","15","0","0","0","0","0","0","15","0","15","15","15","15","15","15","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","604","NA","21189","NA","NA","604","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","61540","4821","NA","NA","26013","NA","NA","56977","4812","NA","62735","62841","63447","62729","62840","Flanker Task","13","14461","16","yes","1024"
"82.3529411765","82.3529411765","883.823529412","883.823529412","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","16","0","0","0","0","0","0","16","0","16","16","16","16","16","16","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","564","NA","21189","NA","NA","564","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","63526","4821","NA","NA","26013","NA","NA","56977","4812","NA","64712","64825","65390","64707","64824","Flanker Task","14","15025","17","yes","1024"
"83.3333333333","83.3333333333","886.5","886.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","17","0","0","0","0","0","0","17","0","17","17","17","17","17","17","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","932","NA","21189","NA","NA","932","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","NA","65435","4821","NA","NA","26013","NA","NA","56977","4812","NA","66626","66737","67671","66620","66737","Flanker Task","15","15957","18","yes","1024"
"84.2105263158","84.2105263158","885.105263158","885.105263158","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","18","0","0","0","0","0","0","18","0","18","18","18","18","18","18","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","860","NA","21189","NA","NA","860","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","67752","4821","NA","NA","26013","NA","NA","56977","4812","NA","68937","69042","69904","68931","69041","Flanker Task","16","16817","19","yes","1024"
"85","85","879.1","879.1","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","19","0","0","0","0","0","0","19","0","19","19","19","19","19","19","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","765","NA","21189","NA","NA","765","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","69940","4821","NA","NA","26013","NA","NA","56977","4812","NA","71144","71250","72016","71137","71249","Flanker Task","17","17582","20","yes","1024"
"85.7142857143","85.7142857143","866","866","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","20","0","0","0","0","0","0","20","0","20","20","20","20","20","20","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","604","NA","21189","NA","NA","604","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","72116","4821","NA","NA","26013","NA","NA","56977","4812","NA","73314","73421","74027","73308","73421","Flanker Task","18","18186","21","yes","1024"
"86.3636363636","86.3636363636","864.318181818","864.318181818","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","21","0","0","0","0","0","0","21","0","21","21","21","21","21","21","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","829","NA","21189","NA","NA","829","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","74264","4821","NA","NA","26013","NA","NA","56977","4812","NA","75447","75555","76386","75441","75555","Flanker Task","19","19015","22","yes","1024"
"86.9565217391","86.9565217391","857.47826087","857.47826087","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","22","0","0","0","0","0","0","22","0","22","22","22","22","22","22","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","707","NA","21189","NA","NA","707","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","76418","4821","NA","NA","26013","NA","NA","56977","4812","NA","77605","77711","78420","77599","77711","Flanker Task","20","19722","23","yes","1024"
"87.5","87.5","863.833333333","863.833333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","23","0","0","0","0","0","0","23","0","23","23","23","23","23","23","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","23","23","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","1010","NA","21189","NA","NA","1010","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","NA","78523","4821","NA","NA","26013","NA","NA","56977","4812","NA","79704","79811","80823","79699","79811","Flanker Task","21","20732","24","yes","1024"
"88","88","865.84","865.84","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","24","0","0","0","0","0","0","24","0","24","24","24","24","24","24","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","24","24","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","914","NA","21189","NA","NA","914","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","NA","80880","4821","NA","NA","26013","NA","NA","56977","4812","NA","82066","82171","83087","82060","82171","Flanker Task","22","21646","25","yes","1024"
"88.4615384615","88.4615384615","856.576923077","856.576923077","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","25","0","0","0","0","0","0","25","0","25","25","25","25","25","25","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","25","25","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","625","NA","21189","NA","NA","625","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","NA","83186","4821","NA","NA","26013","NA","NA","56977","4812","NA","84367","84479","85107","84361","84478","Flanker Task","23","22271","26","yes","1024"
"88.8888888889","88.8888888889","862.407407407","862.407407407","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","26","0","0","0","0","0","0","26","0","26","26","26","26","26","26","09/26/20 13:11:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Jennifer Wright\Desktop\PSYC5613","no","mono","no","18","no","white","no","yes","768","legacy","26","26","C:/Users/Jennifer Wright/Desktop/PSYC5613/bw-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","1014","NA","21189","NA","NA","1014","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","85163","4821","NA","NA","26013","NA","NA","56977","4812","NA","86365","86474","87490","86359","86474","Flanker Task","24","23285","27","yes","1024"
