"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish","count_Fixation","count_ISI","count_Instructions","count_Instructions2","count_Instructions3","count_Sequence","count_Stimulus","count_errorFeedback","count_experiment","count_faster","count_keyboard_response","count_logger","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish","time_Fixation","time_ISI","time_Instructions","time_Instructions2","time_Instructions3","time_Sequence","time_Stimulus","time_errorFeedback","time_experiment","time_faster","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","634","634","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","634","NA","3820","NA","NA","634","2","legacy","1024","2","48000","-16","experiment","sssss","4","even","5783","NA","NA","NA","5872","NA","1962","NA","NA","5870","5975","NA","1954","NA","5975","6610","Flanker Task","1","634","1","yes","1024"
"100","100","616.5","616.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","1","1","0","0","0","1","1","1","0","1","1","1","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","599","NA","3820","NA","NA","599","2","legacy","1024","2","48000","-16","experiment","sshss","4","even","5783","NA","NA","NA","7711","6623","1962","NA","NA","7709","7814","NA","1954","NA","7814","8413","Flanker Task","2","1233","2","yes","1024"
"100","100","592.666666667","592.666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","2","2","0","0","0","2","2","2","0","2","2","2","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","545","NA","3820","NA","NA","545","2","legacy","1024","2","48000","-16","experiment","hhshh","4","even","5783","NA","NA","NA","9495","8423","1962","NA","NA","9493","9598","NA","1954","NA","9598","10143","Flanker Task","3","1778","3","yes","1024"
"100","100","589.5","589.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","3","3","0","0","0","3","3","3","0","3","3","3","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","580","NA","3820","NA","NA","580","2","legacy","1024","2","48000","-16","experiment","sshss","4","even","5783","NA","NA","NA","11228","10152","1962","NA","NA","11226","11331","NA","1954","NA","11331","11912","Flanker Task","4","2358","4","yes","1024"
"100","100","557.4","557.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","4","4","0","0","0","4","4","4","0","4","4","4","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","429","NA","3820","NA","NA","429","2","legacy","1024","2","48000","-16","experiment","sssss","4","even","5783","NA","NA","NA","12994","11920","1962","NA","NA","12992","13097","NA","1954","NA","13097","13527","Flanker Task","5","2787","5","yes","1024"
"100","100","554.5","554.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","5","5","0","0","0","5","5","5","0","5","5","5","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","540","NA","3820","NA","NA","540","2","legacy","1024","2","48000","-16","experiment","sshss","4","even","5783","NA","NA","NA","14611","13535","1962","NA","NA","14609","14714","NA","1954","NA","14714","15255","Flanker Task","6","3327","6","yes","1024"
"100","100","549.285714286","549.285714286","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","6","6","0","0","0","6","6","6","0","6","6","6","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","518","NA","3820","NA","NA","518","2","legacy","1024","2","48000","-16","experiment","hhshh","4","even","5783","NA","NA","NA","16338","15264","1962","NA","NA","16336","16441","NA","1954","NA","16441","16959","Flanker Task","7","3845","7","yes","1024"
"100","100","545.375","545.375","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","7","7","0","0","0","7","7","7","0","7","7","7","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","518","NA","3820","NA","NA","518","2","legacy","1024","2","48000","-16","experiment","hhshh","4","even","5783","NA","NA","NA","18041","16968","1962","NA","NA","18039","18144","NA","1954","NA","18144","18663","Flanker Task","8","4363","8","yes","1024"
"100","100","541.666666667","541.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","8","8","0","0","0","8","8","8","0","8","8","8","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","512","NA","3820","NA","NA","512","2","legacy","1024","2","48000","-16","experiment","sssss","4","even","5783","NA","NA","NA","19749","18672","1962","NA","NA","19747","19850","NA","1954","NA","19850","20363","Flanker Task","9","4875","9","yes","1024"
"100","100","539.1","539.1","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","9","9","0","0","0","9","9","9","0","9","9","9","09/25/21 23:22:46","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-4.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","516","NA","3820","NA","NA","516","2","legacy","1024","2","48000","-16","experiment","hhshh","4","even","5783","NA","NA","NA","21452","20372","1962","NA","NA","21449","21555","NA","1954","NA","21555","22072","Flanker Task","10","5391","10","yes","1024"
