Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,new_column_1,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
NA,100,100,1141,1141,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,1141,NA,36919,NA,NA,1141,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,39174,NA,NA,NA,NA,2250,NA,NA,39256,2254,NA,NA,39358,40500,39254,39358,Flan ,1,1141,1,yes,1024
NA,100,100,923.5,923.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,706,NA,36919,NA,NA,706,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,39174,NA,NA,40510,NA,2250,NA,NA,41611,2254,NA,NA,41713,42420,41608,41713,Flan ,2,1847,2,yes,1024
NA,100,100,810,810,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,583,NA,36919,NA,NA,583,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,42426,NA,2250,NA,NA,43535,2254,NA,NA,43639,44222,43532,43638,Flan ,3,2430,3,yes,1024
NA,100,100,754.5,754.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,588,NA,36919,NA,NA,588,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,44229,NA,2250,NA,NA,45331,2254,NA,NA,45433,46021,45328,45433,Flan ,4,3018,4,yes,1024
NA,100,100,714,714,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,552,NA,36919,NA,NA,552,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,46027,NA,2250,NA,NA,47137,2254,NA,NA,47241,47794,47134,47241,Flan ,5,3570,5,yes,1024
NA,100,100,717.1666667,717.1666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,733,NA,36919,NA,NA,733,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,39174,NA,NA,47800,NA,2250,NA,NA,48920,2254,NA,NA,49022,49756,48918,49022,Flan ,6,4303,6,yes,1024
NA,100,100,705.7142857,705.7142857,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,637,NA,36919,NA,NA,637,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,39174,NA,NA,49761,NA,2250,NA,NA,50872,2254,NA,NA,50975,51613,50870,50975,Flan ,7,4940,7,yes,1024
NA,100,100,694.625,694.625,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,617,NA,36919,NA,NA,617,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,39174,NA,NA,51619,NA,2250,NA,NA,52726,2254,NA,NA,52829,53446,52724,52829,Flan ,8,5557,8,yes,1024
NA,100,100,681.6666667,681.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,578,NA,36919,NA,NA,578,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,53452,NA,2250,NA,NA,54566,2254,NA,NA,54669,55247,54564,54669,Flan ,9,6135,9,yes,1024
NA,100,100,668.6,668.6,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Fri Sep 17 17:02:01 2021,1500,Flanker Task,yes,Flanker Task.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/rayra/Documents/rc-subject-0.csv,legacy,NA,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,551,NA,36919,NA,NA,551,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,39174,NA,NA,55253,NA,2250,NA,NA,56354,2254,NA,NA,56456,57007,56351,56456,Flan ,10,6686,10,yes,1024
