"Stimulus","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","new_column_1","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"NA","0","0","1500","1500","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","None","NA","s","NA","NA","None","1500","NA","30023","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33777","NA","NA","NA","NA","3748","NA","NA","33889","3753","NA","NA","33992","35492","33886","33992","Flanker Task","0","1500","1","yes","1024"
"NA","50","50","964.5","964.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","429","NA","30023","NA","NA","429","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33777","NA","NA","36004","35501","3748","NA","NA","37114","3753","NA","NA","37217","37647","37111","37217","Flanker Task","1","1929","2","yes","1024"
"NA","33.333333333333336","33.333333333333336","779","779","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","408","NA","30023","NA","NA","408","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33777","NA","NA","37653","35501","3748","NA","NA","38775","3753","NA","NA","38879","39287","38772","38878","Flanker Task","1","2337","3","yes","1024"
"NA","50","50","702.5","702.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","473","NA","30023","NA","NA","473","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33777","NA","NA","39796","39293","3748","NA","NA","40939","3753","NA","NA","41043","41516","40936","41043","Flanker Task","2","2810","4","yes","1024"
"NA","60","60","641","641","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","395","NA","30023","NA","NA","395","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33777","NA","NA","41525","39293","3748","NA","NA","42680","3753","NA","NA","42784","43179","42677","42784","Flanker Task","3","3205","5","yes","1024"
"NA","50","50","605.5","605.5","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","428","NA","30023","NA","NA","428","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33777","NA","NA","43185","39293","3748","NA","NA","44318","3753","NA","NA","44423","44852","44315","44423","Flanker Task","3","3633","6","yes","1024"
"NA","57.142857142857146","57.142857142857146","597.5714285714286","597.5714285714286","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","550","NA","30023","NA","NA","550","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33777","NA","NA","45363","44858","3748","NA","NA","46485","3753","NA","NA","46590","47140","46483","46590","Flanker Task","4","4183","7","yes","1024"
"NA","62.5","62.5","581","581","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","465","NA","30023","NA","NA","465","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33777","NA","NA","47146","44858","3748","NA","NA","48272","3753","NA","NA","48377","48843","48269","48377","Flanker Task","5","4648","8","yes","1024"
"NA","66.66666666666667","66.66666666666667","565.4444444444445","565.4444444444445","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","441","NA","30023","NA","NA","441","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33777","NA","NA","48851","44858","3748","NA","NA","49979","3753","NA","NA","50083","50524","49976","50083","Flanker Task","6","5089","9","yes","1024"
"NA","60","60","553.2","553.2","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Sat Sep 25 19:36:51 2021","1500","Flanker Task","yes","Flanker Task.osexp","C:\Users\rayra\Documents","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/rayra/Documents/subject-3.csv","legacy","NA","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","443","NA","30023","NA","NA","443","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33777","NA","NA","50531","44858","3748","NA","NA","51640","3753","NA","NA","51744","52187","51637","51743","Flanker Task","6","5532","10","yes","1024"
