"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Closing","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Closing","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Closing","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Closing","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","969","969","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","969","NA","29133","NA","NA","969","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","31491","NA","NA","NA","NA","2358","NA","NA","NA","2347","NA","31552","31657","32626","31550","31657","Flanker Task","1","969","1","yes","1024"
"100","100","927.5","927.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","1","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","886","NA","29133","NA","NA","886","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","31491","NA","NA","NA","32649","2358","NA","NA","NA","2347","NA","33709","33810","34696","33707","33810","Flanker Task","2","1855","2","yes","1024"
"100","100","843.3333333333334","843.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","2","0","0","0","2","0","2","2","2","2","2","2","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","675","NA","29133","NA","NA","675","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","31491","NA","NA","NA","34701","2358","NA","NA","NA","2347","NA","35761","35866","36541","35759","35866","Flanker Task","3","2530","3","yes","1024"
"100","100","779","779","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","3","0","0","0","3","0","3","3","3","3","3","3","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","586","NA","29133","NA","NA","586","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","31491","NA","NA","NA","36546","2358","NA","NA","NA","2347","NA","37605","37710","38297","37602","37710","Flanker Task","4","3116","4","yes","1024"
"100","100","743.2","743.2","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","4","0","0","0","4","0","4","4","4","4","4","4","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","600","NA","29133","NA","NA","600","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","31491","NA","NA","NA","38302","2358","NA","NA","NA","2347","NA","39361","39466","40067","39359","39466","Flanker Task","5","3716","5","yes","1024"
"100","100","701.3333333333334","701.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","5","0","0","0","5","0","5","5","5","5","5","5","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","492","NA","29133","NA","NA","492","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","31491","NA","NA","NA","40072","2358","NA","NA","NA","2347","NA","41150","41255","41747","41148","41255","Flanker Task","6","4208","6","yes","1024"
"85.71428571428571","85.71428571428571","657.5714285714286","657.5714285714286","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","0","6","0","0","0","6","0","6","6","6","6","6","6","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","395","NA","29133","NA","NA","395","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","31491","NA","NA","NA","41752","2358","NA","NA","NA","2347","NA","42811","42912","43307","42809","42912","Flanker Task","6","4603","7","yes","1024"
"87.5","87.5","656","656","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","7","0","0","0","7","0","7","7","7","7","7","7","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","645","NA","29133","NA","NA","645","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","31491","NA","NA","NA","43813","2358","NA","NA","43312","2347","NA","44872","44976","45621","44870","44976","Flanker Task","7","5248","8","yes","1024"
"88.88888888888889","88.88888888888889","642.7777777777778","642.7777777777778","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","8","0","0","0","8","0","8","8","8","8","8","8","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","537","NA","29133","NA","NA","537","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","31491","NA","NA","NA","45628","2358","NA","NA","43312","2347","NA","46686","46791","47328","46684","46791","Flanker Task","8","5785","9","yes","1024"
"90","90","635.6","635.6","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","9","0","0","0","9","0","9","9","9","9","9","9","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","571","NA","29133","NA","NA","571","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","31491","NA","NA","NA","47333","2358","NA","NA","43312","2347","NA","48392","48497","49068","48390","48497","Flanker Task","9","6356","10","yes","1024"
"81.81818181818181","81.81818181818181","617.1818181818181","617.1818181818181","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","0","10","0","0","0","10","0","10","10","10","10","10","10","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","433","NA","29133","NA","NA","433","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","31491","NA","NA","NA","49073","2358","NA","NA","43312","2347","NA","50150","50255","50688","50148","50255","Flanker Task","9","6789","11","yes","1024"
"83.33333333333333","83.33333333333333","619.4166666666666","619.4166666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","11","0","0","0","11","0","11","11","11","11","11","11","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","644","NA","29133","NA","NA","644","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","31491","NA","NA","NA","51193","2358","NA","NA","50692","2347","NA","52252","52357","53002","52250","52357","Flanker Task","10","7433","12","yes","1024"
"84.61538461538461","84.61538461538461","614.6153846153846","614.6153846153846","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","12","0","0","0","12","0","12","12","12","12","12","12","Sun Sep 19 12:42:36 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/warne/OneDrive/Documents/Tarleton - MS Applied Psychology/Adv Quantitative Methods and Experimental Design/Labs/SH-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","557","NA","29133","NA","NA","557","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","31491","NA","NA","NA","53007","2358","NA","NA","50692","2347","NA","54076","54181","54739","54074","54181","Flanker Task","11","7990","13","yes","1024"
