"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","585","585","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","0","0","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","585","NA","115334","NA","NA","585","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","NA","118596","NA","NA","NA","3156","NA","NA","118654","3260","NA","NA","118758","119346","118653","118758","NA","Flanker Task","1","585","1","yes","1024"
"100","100","554.5","554.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","1","1","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","524","NA","115334","NA","NA","524","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","119423","118596","NA","NA","NA","3156","NA","NA","120493","3260","NA","NA","120597","121122","120492","120597","NA","Flanker Task","2","1109","2","yes","1024"
"100","100","549.333333333","549.333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","2","2","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","539","NA","115334","NA","NA","539","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","121136","118596","NA","NA","NA","3156","NA","NA","122213","3260","NA","NA","122316","122858","122211","122316","NA","Flanker Task","3","1648","3","yes","1024"
"100","100","528.75","528.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","3","3","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","467","NA","115334","NA","NA","467","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","122870","118596","NA","NA","NA","3156","NA","NA","123941","3260","NA","NA","124045","124513","123936","124044","NA","Flanker Task","4","2115","4","yes","1024"
"100","100","500.2","500.2","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","4","4","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","386","NA","115334","NA","NA","386","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","124528","118596","NA","NA","NA","3156","NA","NA","125617","3260","NA","NA","125720","126107","125615","125720","NA","Flanker Task","5","2501","5","yes","1024"
"100","100","490.666666667","490.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","5","5","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","443","NA","115334","NA","NA","443","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","126122","118596","NA","NA","NA","3156","NA","NA","127236","3260","NA","NA","127340","127783","127231","127339","NA","Flanker Task","6","2944","6","yes","1024"
"100","100","470.571428571","470.571428571","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","6","6","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","350","NA","115334","NA","NA","350","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","127796","118596","NA","NA","NA","3156","NA","NA","128863","3260","NA","NA","128967","129318","128861","128966","NA","Flanker Task","7","3294","7","yes","1024"
"87.5","87.5","476","476","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","7","7","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","514","NA","115334","NA","NA","514","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","129333","118596","NA","NA","NA","3156","NA","NA","130420","3260","NA","NA","130525","131040","130418","130525","NA","Flanker Task","7","3808","8","yes","1024"
"88.8888888889","88.8888888889","473.666666667","473.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","8","8","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","455","NA","115334","NA","NA","455","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","131556","118596","NA","NA","131051","3156","NA","NA","132638","3260","NA","NA","132741","133197","132636","132740","NA","Flanker Task","8","4263","9","yes","1024"
"90","90","471.5","471.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","NA","09/17/21 17:06:04","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\katie\Documents\School\Quant Methods","no","mono","no","18","no","white","no","no","768","legacy","9","9","C:/Users/katie/Documents/School/Quant Methods/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","452","NA","115334","NA","NA","452","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","133210","118596","NA","NA","131051","3156","NA","NA","134289","3260","NA","NA","134392","134844","134288","134392","NA","Flanker Task","9","4715","10","yes","1024"
