acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboardresponse,correct_response,count_Block1,count_Block2,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_block3,count_errorFeedback,count_experiment,count_faster,count_getting_started,count_keyboardresponse,count_logger,count_welcome,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboardresponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboardresponse,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_block3,time_errorFeedback,time_experiment,time_faster,time_getting_started,time_keyboardresponse,time_logger,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1433,1433,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,0,0,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,1433,NA,11891,NA,NA,1433,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,14220,NA,NA,14302,NA,2328,NA,NA,14300,14406,NA,NA,2324,NA,NA,14407,15841,NA,Lab 2.1 Test Flanker Task,1,1433,1,yes,1024
50,50,991.5,991.5,#000000,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,1,1,0,0,0,1,1,0,1,0,1,NA,1,1,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,1,1,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,550,NA,11891,NA,NA,550,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,14220,NA,NA,17001,15927,2328,NA,NA,16999,17106,NA,NA,2324,NA,NA,17106,17657,NA,Lab 2.1 Test Flanker Task,1,1983,2,yes,1024
33.33333333,33.33333333,856,856,#000000,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,2,2,0,0,0,2,2,0,2,0,2,NA,2,2,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,2,2,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,585,NA,11891,NA,NA,585,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,14220,NA,NA,19289,18198,2328,NA,NA,19286,19393,NA,17695,2324,NA,NA,19393,19979,NA,Lab 2.1 Test Flanker Task,1,2568,3,yes,1024
50,50,854.5,854.5,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,3,3,0,0,0,3,3,0,3,0,3,NA,3,3,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,3,3,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,850,NA,11891,NA,NA,850,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,14220,NA,NA,21612,20531,2328,NA,NA,21610,21713,NA,20026,2324,NA,NA,21713,22563,NA,Lab 2.1 Test Flanker Task,2,3418,4,yes,1024
60,60,807.4,807.4,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,4,0,0,0,4,4,0,4,0,4,NA,4,4,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,4,4,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,619,NA,11891,NA,NA,619,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,14220,NA,NA,23723,22617,2328,NA,NA,23720,23824,NA,20026,2324,NA,NA,23824,24444,NA,Lab 2.1 Test Flanker Task,3,4037,5,yes,1024
50,50,761.8333333,761.8333333,#000000,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,s,0,0,0,5,5,0,0,0,5,5,0,5,0,5,NA,5,5,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,5,5,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,534,NA,11891,NA,NA,534,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,14220,NA,NA,25597,24493,2328,NA,NA,25595,25701,NA,20026,2324,NA,NA,25701,26236,NA,Lab 2.1 Test Flanker Task,3,4571,6,yes,1024
57.14285714,57.14285714,786.7142857,786.7142857,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,6,6,0,0,0,6,6,0,6,0,6,NA,6,6,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,6,6,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,936,NA,11891,NA,NA,936,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,14220,NA,NA,27896,26790,2328,NA,NA,27894,28001,NA,26286,2324,NA,NA,28002,28938,NA,Lab 2.1 Test Flanker Task,4,5507,7,yes,1024
62.5,62.5,806,806,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,0,0,7,7,0,7,0,7,NA,7,7,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,7,7,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,941,NA,11891,NA,NA,941,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,14220,NA,NA,30065,28982,2328,NA,NA,30063,30168,NA,26286,2324,NA,NA,30168,31109,NA,Lab 2.1 Test Flanker Task,5,6448,8,yes,1024
66.66666667,66.66666667,803,803,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,8,8,0,0,0,8,8,0,8,0,8,NA,8,8,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,8,8,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,779,NA,11891,NA,NA,779,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,14220,NA,NA,32231,31137,2328,NA,NA,32228,32335,NA,26286,2324,NA,NA,32335,33115,NA,Lab 2.1 Test Flanker Task,6,7227,9,yes,1024
70,70,793.8,793.8,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,0,0,9,9,0,9,0,9,NA,9,9,NA,9/25/2021 19:49,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,9,9,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,711,NA,11891,NA,NA,711,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,14220,NA,NA,34246,33160,2328,NA,NA,34243,34349,NA,26286,2324,NA,NA,34349,35061,NA,Lab 2.1 Test Flanker Task,7,7938,10,yes,1024
