"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_InterStimulusInterval","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_InterStimulusInterval","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1233","1233","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","1233","NA","100264","NA","NA","1233","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","101671","NA","NA","NA","1404","NA","NA","101705","1406","NA","NA","101805","103038","101704","101805","Flanker Task","1","1233","1","yes","1024"
"50","50","1366.5","1366.5","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","None","NA","s","NA","NA","None","1500","NA","100264","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","103041","101671","NA","NA","NA","1404","NA","NA","104069","1406","NA","NA","104170","105670","104068","104170","Flanker Task","1","2733","2","yes","1024"
"66.6666666667","66.6666666667","1160.66666667","1160.66666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","749","NA","100264","NA","NA","749","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","106171","101671","NA","NA","105671","1404","NA","NA","107198","1406","NA","NA","107298","108047","107197","107298","Flanker Task","2","3482","3","yes","1024"
"75","75","1028","1028","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","630","NA","100264","NA","NA","630","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","108049","101671","NA","NA","105671","1404","NA","NA","109076","1406","NA","NA","109176","109806","109075","109176","Flanker Task","3","4112","4","yes","1024"
"80","80","959.8","959.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","687","NA","100264","NA","NA","687","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","109808","101671","NA","NA","105671","1404","NA","NA","110835","1406","NA","NA","110935","111623","110834","110935","Flanker Task","4","4799","5","yes","1024"
"83.3333333333","83.3333333333","921","921","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","727","NA","100264","NA","NA","727","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","111624","101671","NA","NA","105671","1404","NA","NA","112651","1406","NA","NA","112751","113478","112650","112751","Flanker Task","5","5526","6","yes","1024"
"85.7142857143","85.7142857143","894.428571429","894.428571429","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","735","NA","100264","NA","NA","735","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","113480","101671","NA","NA","105671","1404","NA","NA","114507","1406","NA","NA","114607","115342","114506","114607","Flanker Task","6","6261","7","yes","1024"
"87.5","87.5","880.375","880.375","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","782","NA","100264","NA","NA","782","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","115344","101671","NA","NA","105671","1404","NA","NA","116380","1406","NA","NA","116480","117263","116379","116480","Flanker Task","7","7043","8","yes","1024"
"88.8888888889","88.8888888889","846.555555556","846.555555556","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","576","NA","100264","NA","NA","576","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","117264","101671","NA","NA","105671","1404","NA","NA","118291","1406","NA","NA","118391","118967","118290","118391","Flanker Task","8","7619","9","yes","1024"
"90","90","820.9","820.9","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","09/26/21 13:03:20","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\suici\Desktop\Tarleton\Fall 2021 - Graduate Studies\PSYC 5316-010 Advanced Quantitative Methods & Experiment Design\Lab 2 - the flanker task (an experiment on attention)","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/suici/Desktop/Tarleton/Fall 2021 - Graduate Studies/PSYC 5316-010 Advanced Quantitative Methods & Experiment Design/Lab 2 - the flanker task (an experiment on attention)/SM-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","590","NA","100264","NA","NA","590","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","118969","101671","NA","NA","105671","1404","NA","NA","119996","1406","NA","NA","120096","120686","119995","120096","Flanker Task","9","8209","10","yes","1024"
