"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructons3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructons3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructons3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructons3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","876","876","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","0","0","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","876","NA","43980","NA","NA","876","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","45142","NA","NA","NA","NA","1159","NA","NA","45188","1161","NA","NA","45289","46165","45186","45289","Flanker Task","1","876","1","yes","1024"
"50","50","721.5","721.5","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","s","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","1","1","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","567","NA","43980","NA","NA","567","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","45142","NA","NA","46172","NA","1159","NA","NA","47226","1161","NA","NA","47327","47894","47224","47327","Flanker Task","1","1443","2","yes","1024"
"33.333333333333336","33.333333333333336","650.3333333333334","650.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","2","2","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","508","NA","43980","NA","NA","508","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","45142","NA","NA","48398","47897","1159","NA","NA","49452","1161","NA","NA","49553","50062","49450","49553","Flanker Task","1","1951","3","yes","1024"
"50","50","576.75","576.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","3","3","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","356","NA","43980","NA","NA","356","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","45142","NA","NA","50566","50065","1159","NA","NA","51621","1161","NA","NA","51722","52078","51619","51722","Flanker Task","2","2307","4","yes","1024"
"60","60","570.4","570.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","4","4","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","545","NA","43980","NA","NA","545","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","45142","NA","NA","52082","50065","1159","NA","NA","53136","1161","NA","NA","53237","53782","53135","53237","Flanker Task","3","2852","5","yes","1024"
"66.66666666666667","66.66666666666667","573.3333333333334","573.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","5","5","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","588","NA","43980","NA","NA","588","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","45142","NA","NA","53785","50065","1159","NA","NA","54838","1161","NA","NA","54939","55527","54836","54939","Flanker Task","4","3440","6","yes","1024"
"71.42857142857143","71.42857142857143","543.1428571428571","543.1428571428571","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","6","6","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","s","NA","s","NA","NA","s","362","NA","43980","NA","NA","362","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","45142","NA","NA","55530","50065","1159","NA","NA","56584","1161","NA","NA","56685","57047","56582","56685","Flanker Task","5","3802","7","yes","1024"
"75","75","524.125","524.125","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","7","7","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","s","NA","s","NA","NA","s","391","NA","43980","NA","NA","391","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","45142","NA","NA","57050","50065","1159","NA","NA","58106","1161","NA","NA","58207","58599","58104","58207","Flanker Task","6","4193","8","yes","1024"
"66.66666666666667","66.66666666666667","499","499","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","8","8","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","h","NA","s","NA","NA","h","298","NA","43980","NA","NA","298","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","45142","NA","NA","58602","50065","1159","NA","NA","59656","1161","NA","NA","59757","60056","59655","59757","Flanker Task","6","4491","9","yes","1024"
"70","70","502.3","502.3","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Fri Sep 24 19:36:56 2021","1500","The main experiment item","yes","SR-FlankerTask.osexp","C:\Users\Simon M. Rook\Documents\School\1Tarleton\Classes\Adv Quant\Lab 2","no","mono","no","18","no","white","no","no","768","legacy","9","9","C:/Users/Simon M. Rook/Documents/School/1Tarleton/Classes/Adv Quant/Lab 2/flanker-data/subject-2.csv","legacy","Lentiform Loewenfeld","3.3.10","0","s","NA","s","NA","NA","s","532","NA","43980","NA","NA","532","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","45142","NA","NA","60569","60068","1159","NA","NA","61622","1161","NA","NA","61723","62255","61620","61723","Flanker Task","7","5023","10","yes","1024"
