"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_errorFeedback","count_experiment","count_faster","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_errorFeedback","time_experiment","time_faster","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1361","1361","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","1361","NA","33222","NA","NA","1361","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36123","NA","NA","NA","NA","2899","NA","NA","NA","2895","NA","36239","36348","37710","36235","36347","Flanker Task","1","1361","1","yes","1024"
"100","100","1042","1042","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","1","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","723","NA","33222","NA","NA","723","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36123","NA","NA","NA","37723","2899","NA","NA","NA","2895","NA","38852","38956","39679","38848","38956","Flanker Task","2","2084","2","yes","1024"
"100","100","911.333333333","911.333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","2","0","0","0","2","0","2","2","2","2","2","2","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","650","NA","33222","NA","NA","650","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36123","NA","NA","NA","39686","2899","NA","NA","NA","2895","NA","40797","40904","41555","40792","40904","Flanker Task","3","2734","3","yes","1024"
"100","100","818.5","818.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","3","0","0","0","3","0","3","3","3","3","3","3","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","540","NA","33222","NA","NA","540","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36123","NA","NA","NA","41566","2899","NA","NA","NA","2895","NA","42680","42789","43330","42676","42788","Flanker Task","4","3274","4","yes","1024"
"100","100","758.6","758.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","4","0","0","0","4","0","4","4","4","4","4","4","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","519","NA","33222","NA","NA","519","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36123","NA","NA","NA","43340","2899","NA","NA","NA","2895","NA","44447","44555","45075","44443","44554","Flanker Task","5","3793","5","yes","1024"
"100","100","703","703","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","5","0","0","0","5","0","5","5","5","5","5","5","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","425","NA","33222","NA","NA","425","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36123","NA","NA","NA","45085","2899","NA","NA","NA","2895","NA","46204","46313","46739","46199","46313","Flanker Task","6","4218","6","yes","1024"
"100","100","668.285714286","668.285714286","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","6","0","0","0","6","0","6","6","6","6","6","6","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","460","NA","33222","NA","NA","460","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36123","NA","NA","NA","46745","2899","NA","NA","NA","2895","NA","47860","47968","48429","47855","47968","Flanker Task","7","4678","7","yes","1024"
"100","100","638.75","638.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","7","0","0","0","7","0","7","7","7","7","7","7","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","432","NA","33222","NA","NA","432","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36123","NA","NA","NA","48436","2899","NA","NA","NA","2895","NA","49546","49655","50087","49541","49654","Flanker Task","8","5110","8","yes","1024"
"100","100","612.777777778","612.777777778","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","8","0","0","0","8","0","8","8","8","8","8","8","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","405","NA","33222","NA","NA","405","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36123","NA","NA","NA","50094","2899","NA","NA","NA","2895","NA","51213","51320","51726","51208","51320","Flanker Task","9","5515","9","yes","1024"
"100","100","581.6","581.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","9","0","0","0","9","0","9","9","9","9","9","9","09/23/21 15:29:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\bryan\OneDrive\Documents\School\PSYC 5316  (Quant Methods)\Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/bryan/OneDrive/Documents/School/PSYC 5316  (Quant Methods)/Lab 2/BS-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","301","NA","33222","NA","NA","301","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36123","NA","NA","NA","51737","2899","NA","NA","NA","2895","NA","52844","52953","53255","52840","52952","Flanker Task","10","5816","10","yes","1024"
