"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_Sequence","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_Sequence","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1325","1325","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","1325","NA","134675","NA","NA","1325","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","NA","136898","136789","NA","NA","NA","2105","NA","NA","136901","2113","NA","NA","137003","138329","137003","Flanker Task","1","1325","1","yes","1024"
"100","100","974.5","974.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","1","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","624","NA","134675","NA","NA","624","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","138340","139414","136789","NA","NA","NA","2105","NA","NA","139416","2113","NA","NA","139519","140144","139519","Flanker Task","2","1949","2","yes","1024"
"100","100","883","883","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","2","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","700","NA","134675","NA","NA","700","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","140148","141222","136789","NA","NA","NA","2105","NA","NA","141225","2113","NA","NA","141327","142028","141327","Flanker Task","3","2649","3","yes","1024"
"100","100","771","771","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","435","NA","134675","NA","NA","435","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","142032","143106","136789","NA","NA","NA","2105","NA","NA","143108","2113","NA","NA","143210","143646","143210","Flanker Task","4","3084","4","yes","1024"
"100","100","700.4","700.4","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","4","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","418","NA","134675","NA","NA","418","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","143650","144724","136789","NA","NA","NA","2105","NA","NA","144726","2113","NA","NA","144828","145247","144827","Flanker Task","5","3502","5","yes","1024"
"83.33333333333333","83.33333333333333","661.8333333333334","661.8333333333334","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","5","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","469","NA","134675","NA","NA","469","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","145251","146325","136789","NA","NA","NA","2105","NA","NA","146327","2113","NA","NA","146429","146899","146429","Flanker Task","5","3971","6","yes","1024"
"85.71428571428571","85.71428571428571","656","656","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","6","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","621","NA","134675","NA","NA","621","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","147405","148478","136789","NA","NA","146902","2105","NA","NA","148481","2113","NA","NA","148583","149205","148583","Flanker Task","6","4592","7","yes","1024"
"87.5","87.5","631.25","631.25","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","7","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","s","NA","s","NA","NA","s","458","NA","134675","NA","NA","458","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","149209","150283","136789","NA","NA","146902","2105","NA","NA","150285","2113","NA","NA","150387","150845","150387","Flanker Task","7","5050","8","yes","1024"
"88.88888888888889","88.88888888888889","624.1111111111111","624.1111111111111","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","8","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","567","NA","134675","NA","NA","567","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","150850","151924","136789","NA","NA","146902","2105","NA","NA","151926","2113","NA","NA","152028","152596","152028","Flanker Task","8","5617","9","yes","1024"
"90","90","611.2","611.2","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","9","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","Sat Sep 25 16:42:57 2021","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/User/Desktop/School/Research Methods","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/School/Research Methods/LW-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.9","0","h","NA","s","NA","NA","h","495","NA","134675","NA","NA","495","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","152600","153675","136789","NA","NA","146902","2105","NA","NA","153678","2113","NA","NA","153780","154276","153780","Flanker Task","9","6112","10","yes","1024"
