condition,stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instructions,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_Fixation,count_ISI,count_Instructions,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_errorFeedback,count_experiment,count_faster,count_keyboard_response,count_logger,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions,response_Instructions2,response_Instructions3,response_keyboard_response,response_time,response_time_Finish,response_time_Instructions,response_time_Instructions2,response_time_Instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_Fixation,time_ISI,time_Instructions,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_errorFeedback,time_experiment,time_faster,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
congruent,HHHHH,100,100,537,537,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,537,NA,8898,NA,NA,537,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,11521,NA,2471,NA,NA,11519,11623,NA,2462,NA,11623,12161,Flanker Task,1,537,1,yes,1024
incongruent,HHSHH,50,50,486.5,486.5,black,legacy,legacy,legacy,0,uniform,0,undefined,0,s,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,436,NA,8898,NA,NA,436,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,13250,12175,2471,NA,NA,13248,13352,NA,2462,NA,13352,13788,Flanker Task,1,973,2,yes,1024
incongruent,SSHSS,66.66666667,66.66666667,528.3333333,528.3333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,2,2,0,0,0,2,2,2,0,2,2,2,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,612,NA,8898,NA,NA,612,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,15373,14298,2471,NA,NA,15371,15476,13796,2462,NA,15476,16089,Flanker Task,2,1585,3,yes,1024
congruent,SSSSS,75,75,524.75,524.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,3,3,0,0,0,3,3,3,0,3,3,3,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,514,NA,8898,NA,NA,514,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,17174,16097,2471,NA,NA,17172,17277,13796,2462,NA,17277,17792,Flanker Task,3,2099,4,yes,1024
congruent,SSSSS,80,80,506,506,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,4,4,0,0,0,4,4,4,0,4,4,4,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,431,NA,8898,NA,NA,431,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,18874,17800,2471,NA,NA,18872,18978,13796,2462,NA,18978,19410,Flanker Task,4,2530,5,yes,1024
congruent,SSSSS,83.33333333,83.33333333,500.6666667,500.6666667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,5,5,0,0,0,5,5,5,0,5,5,5,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,474,NA,8898,NA,NA,474,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,20491,19418,2471,NA,NA,20489,20593,13796,2462,NA,20593,21068,Flanker Task,5,3004,6,yes,1024
congruent,SSSSS,85.71428571,85.71428571,486.8571429,486.8571429,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,6,6,0,0,0,6,6,6,0,6,6,6,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,404,NA,8898,NA,NA,404,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,22149,21076,2471,NA,NA,22148,22252,13796,2462,NA,22252,22657,Flanker Task,6,3408,7,yes,1024
incongruent,HHSHH,87.5,87.5,526.25,526.25,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,7,7,0,0,0,7,7,7,0,7,7,7,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,802,NA,8898,NA,NA,802,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,23738,22665,2471,NA,NA,23736,23841,13796,2462,NA,23841,24643,Flanker Task,7,4210,8,yes,1024
incongruent,HHSHH,88.88888889,88.88888889,527.3333333,527.3333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,8,8,0,0,0,8,8,8,0,8,8,8,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,536,NA,8898,NA,NA,536,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,25727,24651,2471,NA,NA,25725,25828,13796,2462,NA,25829,26366,Flanker Task,8,4746,9,yes,1024
congruent,SSSSS,90,90,517.9,517.9,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,9,9,0,0,0,9,9,9,0,9,9,9,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,433,NA,8898,NA,NA,433,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,27452,26374,2471,NA,NA,27450,27555,13796,2462,NA,27555,27989,Flanker Task,9,5179,10,yes,1024
incongruent,HHSHH,90.90909091,90.90909091,514.2727273,514.2727273,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,10,10,0,0,0,10,10,10,0,10,10,10,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,478,NA,8898,NA,NA,478,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,29071,27998,2471,NA,NA,29069,29173,13796,2462,NA,29173,29652,Flanker Task,10,5657,11,yes,1024
incongruent,HHSHH,91.66666667,91.66666667,507.0833333,507.0833333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,11,11,0,0,0,11,11,11,0,11,11,11,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,428,NA,8898,NA,NA,428,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,30733,29660,2471,NA,NA,30731,30836,13796,2462,NA,30836,31265,Flanker Task,11,6085,12,yes,1024
congruent,SSSSS,92.30769231,92.30769231,495.2307692,495.2307692,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,12,12,0,0,0,12,12,12,0,12,12,12,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,12,12,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,353,NA,8898,NA,NA,353,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,32347,31273,2471,NA,NA,32345,32450,13796,2462,NA,32450,32804,Flanker Task,12,6438,13,yes,1024
incongruent,HHSHH,85.71428571,85.71428571,489.3571429,489.3571429,black,legacy,legacy,legacy,0,uniform,0,undefined,0,s,0,0,0,0,13,13,0,0,0,13,13,13,0,13,13,13,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,13,13,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,NA,NA,h,413,NA,8898,NA,NA,413,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,33888,32812,2471,NA,NA,33886,33989,13796,2462,NA,33989,34403,Flanker Task,12,6851,14,yes,1024
congruent,SSSSS,86.66666667,86.66666667,490.4,490.4,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,14,14,0,0,0,14,14,14,0,14,14,14,9/20/21 12:08,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant,no,mono,no,18,no,white,no,yes,768,legacy,14,14,C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,NA,NA,s,505,NA,8898,NA,NA,505,2,legacy,1024,2,48000,-16,experiment,1,odd,11370,NA,NA,NA,35999,34915,2471,NA,NA,35997,36102,34412,2462,NA,36102,36607,Flanker Task,13,7356,15,yes,1024
