"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Instruction1","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions2","count_instructions2_1","count_instructions3","count_instructions3_1","count_isi","count_keyboard_response","count_logger","count_new_sketchpad_1","count_sequence","count_sketchpad","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instruction1","response_finish","response_instructions2","response_instructions2_1","response_instructions3","response_instructions3_1","response_keyboard_response","response_new_sketchpad_1","response_sketchpad","response_time","response_time_Instruction1","response_time_finish","response_time_instructions2","response_time_instructions2_1","response_time_instructions3","response_time_instructions3_1","response_time_keyboard_response","response_time_new_sketchpad_1","response_time_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Instruction1","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions2","time_instructions2_1","time_instructions3","time_instructions3_1","time_isi","time_keyboard_response","time_logger","time_new_sketchpad_1","time_sequence","time_sketchpad","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1360","1360","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","NA","0","NA","0","0","0","0","NA","0","NA","0","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","NA","NA","s","NA","NA","1360","25512","NA","NA","NA","NA","NA","1360","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","28763","NA","NA","3249","NA","3244","NA","NA","28861","NA","NA","NA","NA","NA","28963","30324","NA","28860","NA","28962","NA","Flanker Task","1","1360","1","yes","1024"
"100","100","1153.5","1153.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","1","0","1","0","1","NA","0","NA","0","1","1","1","NA","1","NA","1","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","NA","NA","s","NA","NA","947","25512","NA","NA","NA","NA","NA","947","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","28763","NA","NA","3249","NA","3244","NA","NA","31386","NA","NA","NA","NA","30331","31488","32435","NA","31383","NA","31488","NA","Flanker Task","2","2307","2","yes","1024"
"100","100","1015.66666667","1015.66666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","2","0","2","0","2","NA","0","NA","0","2","2","2","NA","2","NA","2","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","NA","NA","h","NA","NA","740","25512","NA","NA","NA","NA","NA","740","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","28763","NA","NA","3249","NA","3244","NA","NA","33508","NA","NA","NA","NA","32440","33612","34352","NA","33507","NA","33612","NA","Flanker Task","3","3047","3","yes","1024"
"100","100","902","902","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","3","0","3","0","3","NA","0","NA","0","3","3","3","NA","3","NA","3","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","NA","NA","h","NA","NA","561","25512","NA","NA","NA","NA","NA","561","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","28763","NA","NA","3249","NA","3244","NA","NA","35423","NA","NA","NA","NA","34357","35526","36087","NA","35421","NA","35526","NA","Flanker Task","4","3608","4","yes","1024"
"100","100","862","862","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","4","0","4","0","4","NA","0","NA","0","4","4","4","NA","4","NA","4","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","NA","NA","s","NA","NA","702","25512","NA","NA","NA","NA","NA","702","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","28763","NA","NA","3249","NA","3244","NA","NA","37155","NA","NA","NA","NA","36096","37258","37961","NA","37152","NA","37258","NA","Flanker Task","5","4310","5","yes","1024"
"100","100","817.333333333","817.333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","5","0","5","0","5","NA","0","NA","0","5","5","5","NA","5","NA","5","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","NA","NA","h","NA","NA","594","25512","NA","NA","NA","NA","NA","594","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","28763","NA","NA","3249","NA","3244","NA","NA","39064","NA","NA","NA","NA","37992","39168","39763","NA","39061","NA","39168","NA","Flanker Task","6","4904","6","yes","1024"
"100","100","779.142857143","779.142857143","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","6","0","6","0","6","NA","0","NA","0","6","6","6","NA","6","NA","6","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","NA","NA","s","NA","NA","550","25512","NA","NA","NA","NA","NA","550","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","28763","NA","NA","3249","NA","3244","NA","NA","40855","NA","NA","NA","NA","39793","40956","41507","NA","40853","NA","40956","NA","Flanker Task","7","5454","7","yes","1024"
"100","100","743.5","743.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","7","0","7","0","7","NA","0","NA","0","7","7","7","NA","7","NA","7","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","NA","NA","h","NA","NA","494","25512","NA","NA","NA","NA","NA","494","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","28763","NA","NA","3249","NA","3244","NA","NA","42599","NA","NA","NA","NA","41515","42701","43196","NA","42596","NA","42701","NA","Flanker Task","8","5948","8","yes","1024"
"100","100","733.777777778","733.777777778","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","8","0","8","0","8","NA","0","NA","0","8","8","8","NA","8","NA","8","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","NA","NA","h","NA","NA","656","25512","NA","NA","NA","NA","NA","656","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","28763","NA","NA","3249","NA","3244","NA","NA","44265","NA","NA","NA","NA","43206","44368","45025","NA","44264","NA","44367","NA","Flanker Task","9","6604","9","yes","1024"
"100","100","705.3","705.3","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","9","0","9","0","9","NA","0","NA","0","9","9","9","NA","9","NA","9","NA","09/21/22 18:46:26","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\olasa\OneDrive\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/olasa/OneDrive/Desktop/OL-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","NA","NA","h","NA","NA","449","25512","NA","NA","NA","NA","NA","449","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","28763","NA","NA","3249","NA","3244","NA","NA","46105","NA","NA","NA","NA","45034","46208","46658","NA","46102","NA","46207","NA","Flanker Task","10","7053","10","yes","1024"
