"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Instructions1","count_Instructions2","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_fixation","count_isi","count_keyboard_response","count_logger","count_new_sketchpad_2","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","psychopy_waitblanking","repeat_cycle","response","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_new_sketchpad_2","response_time","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","response_time_new_sketchpad_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Instructions1","time_Instructions2","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_fixation","time_isi","time_keyboard_response","time_logger","time_new_sketchpad_2","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1142","1142","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","1142","7863","NA","NA","1142","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","11115","NA","NA","3250","NA","NA","NA","3248","NA","11176","NA","11281","12425","NA","11174","11280","As Boring or as Not Boring as You Want","1","1142","1","yes","1024"
"100","100","1026.5","1026.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","1","0","1","1","1","1","1","0","1","1","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","911","7863","NA","NA","911","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","11115","NA","NA","3250","NA","NA","NA","3248","NA","13505","12444","13606","14519","NA","13503","13606","As Boring or as Not Boring as You Want","2","2053","2","yes","1024"
"100","100","927.6666666666666","927.6666666666666","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","2","0","2","2","2","2","2","0","2","2","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","730","7863","NA","NA","730","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","NA","3248","NA","15579","14525","15682","16413","NA","15578","15682","As Boring or as Not Boring as You Want","3","2783","3","yes","1024"
"75","75","789.25","789.25","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","0","0","3","0","3","3","3","3","3","0","3","3","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","374","7863","NA","NA","374","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","11115","NA","NA","3250","NA","NA","NA","3248","NA","17477","16419","17582","17957","NA","17475","17581","As Boring or as Not Boring as You Want","3","3157","4","yes","1024"
"80","80","732","732","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","4","0","4","4","4","4","4","0","4","4","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","503","7863","NA","NA","503","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","19534","18465","19638","20142","NA","19533","19637","As Boring or as Not Boring as You Want","4","3660","5","yes","1024"
"83.33333333333333","83.33333333333333","688.5","688.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","5","0","5","5","5","5","5","0","5","5","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","471","7863","NA","NA","471","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","21203","20147","21308","21780","NA","21200","21307","As Boring or as Not Boring as You Want","5","4131","6","yes","1024"
"85.71428571428571","85.71428571428571","652.1428571428571","652.1428571428571","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","6","0","6","6","6","6","6","0","6","6","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","434","7863","NA","NA","434","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","22843","21787","22944","23379","NA","22841","22944","As Boring or as Not Boring as You Want","6","4565","7","yes","1024"
"87.5","87.5","624.875","624.875","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","7","0","7","7","7","7","7","0","7","7","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","s","s","NA","NA","s","NA","434","7863","NA","NA","434","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","24438","23383","24543","24978","NA","24436","24543","As Boring or as Not Boring as You Want","7","4999","8","yes","1024"
"88.88888888888889","88.88888888888889","617","617","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","8","0","8","8","8","8","8","0","8","8","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","554","7863","NA","NA","554","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","26041","24985","26142","26698","NA","26039","26142","As Boring or as Not Boring as You Want","8","5553","9","yes","1024"
"90","90","596.6","596.6","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","9","0","9","9","9","9","9","0","9","9","Tue Sep 13 18:12:07 2022","1500","The main experiment item","yes","lab 2.1.osexp","C:\Users\Owner\Downloads","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:\Users\Owner\Downloads\defaultlog.csv","legacy","Lentiform Loewenfeld","3.3.12","yes","0","h","s","NA","NA","h","NA","413","7863","NA","NA","413","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","11115","NA","NA","3250","NA","NA","17964","3248","NA","27762","26704","27864","28278","NA","27760","27864","As Boring or as Not Boring as You Want","9","5966","10","yes","1024"
