acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instruction3,count_instructions1,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instruction3,response_instructions1,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instruction3,response_time_instructions1,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instruction3,time_instructions1,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1100,1100,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,1100,NA,NA,NA,8216,1100,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,10331,NA,NA,NA,NA,1968,NA,NA,10361,NA,NA,2100,10467,11577,10357,10467,Flanker Task (by Katherine Hays),1,1100,1,yes,1024
100,100,753.5,753.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,NA,NA,s,h,407,NA,NA,NA,8216,407,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,10331,NA,NA,11581,NA,1968,NA,NA,12634,NA,NA,2100,12740,13148,12630,12740,Flanker Task (by Katherine Hays),2,1507,2,yes,1024
100,100,644.6666667,644.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,427,NA,NA,NA,8216,427,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,10331,NA,NA,13152,NA,1968,NA,NA,14216,NA,NA,2100,14322,14749,14211,14322,Flanker Task (by Katherine Hays),3,1934,3,yes,1024
75,75,584.25,584.25,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,NA,NA,s,h,403,NA,NA,NA,8216,403,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,10331,NA,NA,14754,NA,1968,NA,NA,15815,NA,NA,2100,15922,16326,15810,15922,Flanker Task (by Katherine Hays),3,2337,4,yes,1024
60,60,529,529,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,308,NA,NA,NA,8216,308,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,10331,NA,NA,16840,16330,1968,NA,NA,17902,NA,NA,2100,18009,18317,17898,18009,Flanker Task (by Katherine Hays),3,2645,5,yes,1024
66.66666667,66.66666667,661.1666667,661.1666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,NA,NA,s,h,1322,NA,NA,NA,8216,1322,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,10331,NA,NA,18829,18321,1968,NA,NA,19883,NA,NA,2100,19989,21311,19879,19989,Flanker Task (by Katherine Hays),4,3967,6,yes,1024
71.42857143,71.42857143,650.7142857,650.7142857,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,588,NA,NA,NA,8216,588,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,10331,NA,NA,21316,18321,1968,NA,NA,22379,NA,NA,2100,22486,23074,22375,22486,Flanker Task (by Katherine Hays),5,4555,7,yes,1024
75,75,638.125,638.125,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,550,NA,NA,NA,8216,550,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,10331,NA,NA,23078,18321,1968,NA,NA,24131,NA,NA,2100,24237,24788,24126,24237,Flanker Task (by Katherine Hays),6,5105,8,yes,1024
77.77777778,77.77777778,616.2222222,616.2222222,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,441,NA,NA,NA,8216,441,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,10331,NA,NA,24792,18321,1968,NA,NA,25854,NA,NA,2100,25960,26401,25850,25960,Flanker Task (by Katherine Hays),7,5546,9,yes,1024
70,70,597.5,597.5,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Sun Sep 18 20:09:07 2022,1500,The main experiment item,yes,Flanker_Task_by_Katherine_Hays.osexp,/Users/katherinehays/Desktop,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/katherinehays/Desktop/KH-subject-1.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,NA,NA,s,s,429,NA,NA,NA,8216,429,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,10331,NA,NA,26405,18321,1968,NA,NA,27465,NA,NA,2100,27572,28001,27460,27572,Flanker Task (by Katherine Hays),7,5975,10,yes,1024
