"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instruction2","count_instruction3","count_instructions1","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instruction2","response_instruction3","response_instructions1","response_keyboard_response","response_time","response_time_finish","response_time_instruction2","response_time_instruction3","response_time_instructions1","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instruction2","time_instruction3","time_instructions1","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","886","886","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","886","NA","NA","NA","65587","886","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","66808","NA","NA","NA","NA","1084","NA","NA","66841","NA","NA","1209","66947","67833","66836","66947","Flanker Task (by Katherine Hays)","1","886","1","yes","1024"
"100","100","686","686","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","486","NA","NA","NA","65587","486","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","66808","NA","NA","67838","NA","1084","NA","NA","68901","NA","NA","1209","69005","69491","68883","69005","Flanker Task (by Katherine Hays)","2","1372","2","yes","1024"
"100","100","631.3333333333334","631.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","522","NA","NA","NA","65587","522","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","66808","NA","NA","69496","NA","1084","NA","NA","70543","NA","NA","1209","70647","71169","70538","70647","Flanker Task (by Katherine Hays)","3","1894","3","yes","1024"
"100","100","613.75","613.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","561","NA","NA","NA","65587","561","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","66808","NA","NA","71174","NA","1084","NA","NA","72216","NA","NA","1209","72320","72881","72211","72320","Flanker Task (by Katherine Hays)","4","2455","4","yes","1024"
"100","100","581.2","581.2","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","451","NA","NA","NA","65587","451","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","66808","NA","NA","72885","NA","1084","NA","NA","73927","NA","NA","1209","74031","74483","73922","74031","Flanker Task (by Katherine Hays)","5","2906","5","yes","1024"
"83.33333333333333","83.33333333333333","543.5","543.5","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","355","NA","NA","NA","65587","355","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","66808","NA","NA","74488","NA","1084","NA","NA","75531","NA","NA","1209","75634","75990","75525","75634","Flanker Task (by Katherine Hays)","5","3261","6","yes","1024"
"71.42857142857143","71.42857142857143","555.4285714285714","555.4285714285714","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","627","NA","NA","NA","65587","627","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","66808","NA","NA","76499","75994","1084","NA","NA","77545","NA","NA","1209","77648","78275","77540","77648","Flanker Task (by Katherine Hays)","5","3888","7","yes","1024"
"75","75","555.875","555.875","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","559","NA","NA","NA","65587","559","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","66808","NA","NA","78784","78280","1084","NA","NA","79823","NA","NA","1209","79927","80487","79819","79926","Flanker Task (by Katherine Hays)","6","4447","8","yes","1024"
"77.77777777777777","77.77777777777777","557.6666666666666","557.6666666666666","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","572","NA","NA","NA","65587","572","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","66808","NA","NA","80492","78280","1084","NA","NA","81533","NA","NA","1209","81636","82209","81528","81636","Flanker Task (by Katherine Hays)","7","5019","9","yes","1024"
"80","80","565.4","565.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Thu Sep 22 12:49:13 2022","1500","The main experiment item","yes","Flanker_Task_by_Katherine_Hays.osexp","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/katherinehays/Desktop/PSYC 5316 - R and OpenSesame/subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","635","NA","NA","NA","65587","635","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","66808","NA","NA","82213","78280","1084","NA","NA","83254","NA","NA","1209","83358","83993","83249","83358","Flanker Task (by Katherine Hays)","8","5654","10","yes","1024"
