"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_isi","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_isi","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1500","1500","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","None","NA","h","NA","NA","None","1500","NA","136090","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","137032","NA","NA","NA","927","NA","NA","137064","939","NA","NA","NA","137172","138672","137060","137171","Flanker Task","0","1500","1","yes","1024"
"50","50","1299","1299","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","1","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","1098","NA","136090","NA","NA","1098","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","137032","NA","NA","138678","927","NA","NA","140263","939","NA","NA","139191","140370","141475","140256","140370","Flanker Task","1","2598","2","yes","1024"
"66.66666666666667","66.66666666666667","1112","1112","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","2","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","738","NA","136090","NA","NA","738","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","137032","NA","NA","138678","927","NA","NA","142548","939","NA","NA","141481","142656","143395","142541","142656","Flanker Task","2","3336","3","yes","1024"
"75","75","982.75","982.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","3","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","595","NA","136090","NA","NA","595","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","137032","NA","NA","138678","927","NA","NA","144471","939","NA","NA","143400","144579","145175","144465","144579","Flanker Task","3","3931","4","yes","1024"
"80","80","949.4","949.4","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","4","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","816","NA","136090","NA","NA","816","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","137032","NA","NA","138678","927","NA","NA","146244","939","NA","NA","145180","146353","147169","146238","146353","Flanker Task","4","4747","5","yes","1024"
"83.33333333333333","83.33333333333333","888.1666666666666","888.1666666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","5","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","582","NA","136090","NA","NA","582","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","137032","NA","NA","138678","927","NA","NA","148237","939","NA","NA","147174","148345","148928","148231","148345","Flanker Task","5","5329","6","yes","1024"
"85.71428571428571","85.71428571428571","882.8571428571429","882.8571428571429","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","6","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","851","NA","136090","NA","NA","851","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","137032","NA","NA","138678","927","NA","NA","149994","939","NA","NA","148933","150103","150955","149988","150103","Flanker Task","6","6180","7","yes","1024"
"87.5","87.5","855.5","855.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","7","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","664","NA","136090","NA","NA","664","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","137032","NA","NA","138678","927","NA","NA","152022","939","NA","NA","150960","152131","152795","152016","152131","Flanker Task","7","6844","8","yes","1024"
"88.88888888888889","88.88888888888889","851.8888888888889","851.8888888888889","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","8","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","823","NA","136090","NA","NA","823","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","137032","NA","NA","138678","927","NA","NA","153865","939","NA","NA","152801","153973","154797","153858","153973","Flanker Task","8","7667","9","yes","1024"
"90","90","822.2","822.2","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","9","Sun Sep 25 17:27:14 2022","1500","The main experiment item","yes","FlankerTask.osexp","/Users/keelyn/Library/CloudStorage/OneDrive-Personal","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/keelyn/Library/CloudStorage/OneDrive-Personal/subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","555","NA","136090","NA","NA","555","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","137032","NA","NA","138678","927","NA","NA","155863","939","NA","NA","154802","155972","156527","155856","155972","Flanker Task","9","8222","10","yes","1024"
