acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_KeyboardResponse,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_KeyboardResponse,count_Logger,count_Sequence,count_experiment,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_KeyboardResponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_KeyboardResponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_KeyboardResponse,time_Logger,time_Sequence,time_experiment,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,455,455,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,455,NA,22535,NA,NA,455,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,24497,NA,NA,NA,NA,NA,24572,NA,1960,NA,NA,24673,25129,24570,1958,24673,Flanker Task,1,455,1,yes,1024
100,100,427,427,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,399,NA,22535,NA,NA,399,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,24497,NA,NA,NA,NA,NA,26250,25172,1960,NA,NA,26352,26751,26248,1958,26351,Flanker Task,2,854,2,yes,1024
100,100,434,434,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,2,2,0,2,2,0,0,0,2,2,2,0,2,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,448,NA,22535,NA,NA,448,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,24497,NA,NA,NA,NA,NA,27878,26775,1960,NA,NA,27979,28428,27875,1958,27979,Flanker Task,3,1302,3,yes,1024
100,100,433.25,433.25,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,3,0,0,0,3,3,3,0,3,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,431,NA,22535,NA,NA,431,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,24497,NA,NA,NA,NA,NA,29558,28466,1960,NA,NA,29660,30091,29556,1958,29659,Flanker Task,4,1733,4,yes,1024
100,100,425.4,425.4,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,4,0,0,0,4,4,4,0,4,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,394,NA,22535,NA,NA,394,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,24497,NA,NA,NA,NA,NA,31189,30108,1960,NA,NA,31291,31685,31186,1958,31291,Flanker Task,5,2127,5,yes,1024
100,100,422.5,422.5,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,5,0,0,0,5,5,5,0,5,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,408,NA,22535,NA,NA,408,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,24497,NA,NA,NA,NA,NA,32786,31711,1960,NA,NA,32887,33295,32784,1958,32887,Flanker Task,6,2535,6,yes,1024
100,100,428.1428571,428.1428571,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,6,6,0,6,6,0,0,0,6,6,6,0,6,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,462,NA,22535,NA,NA,462,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,24497,NA,NA,NA,NA,NA,34391,33316,1960,NA,NA,34492,34954,34389,1958,34492,Flanker Task,7,2997,7,yes,1024
100,100,432,432,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,7,0,0,0,7,7,7,0,7,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,459,NA,22535,NA,NA,459,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,24497,NA,NA,NA,NA,NA,36050,34974,1960,NA,NA,36151,36611,36048,1958,36151,Flanker Task,8,3456,8,yes,1024
100,100,427.8888889,427.8888889,black,legacy,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,8,8,0,8,8,0,0,0,8,8,8,0,8,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,h,NA,s,NA,NA,h,395,NA,22535,NA,NA,395,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,24497,NA,NA,NA,NA,NA,37742,36666,1960,NA,NA,37843,38238,37740,1958,37843,Flanker Task,9,3851,9,yes,1024
100,100,431,431,black,legacy,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,9,9,0,9,9,0,0,0,9,9,9,0,9,Tue Sep 13 19:02:30 2022,1500,The main experiment item,yes,Lab 2.1 FlankerTask.osexp,C:\Users\Melissa\OneDrive\Desktop\ADVANCED QUANT,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/Melissa/OneDrive/Desktop/ADVANCED QUANT/MM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.12,0,s,NA,s,NA,NA,s,459,NA,22535,NA,NA,459,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,24497,NA,NA,NA,NA,NA,39331,38252,1960,NA,NA,39432,39892,39328,1958,39432,Flanker Task,10,4310,10,yes,1024
