"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","513","513","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","513","NA","71809","NA","NA","513","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","NA","74328","NA","NA","NA","2471","NA","NA","74398","2518","NA","NA","74501","75015","74396","74500","Flanker Task","1","513","1","yes","1024"
"100","100","537","537","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","561","NA","71809","NA","NA","561","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","75027","74328","NA","NA","NA","2471","NA","NA","76092","2518","NA","NA","76195","76756","76090","76194","Flanker Task","2","1074","2","yes","1024"
"100","100","575.333333333","575.333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","652","NA","71809","NA","NA","652","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","76763","74328","NA","NA","NA","2471","NA","NA","77821","2518","NA","NA","77922","78574","77819","77922","Flanker Task","3","1726","3","yes","1024"
"100","100","536.25","536.25","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","419","NA","71809","NA","NA","419","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","78580","74328","NA","NA","NA","2471","NA","NA","79632","2518","NA","NA","79733","80153","79630","79733","Flanker Task","4","2145","4","yes","1024"
"100","100","529.8","529.8","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","504","NA","71809","NA","NA","504","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","80159","74328","NA","NA","NA","2471","NA","NA","81215","2518","NA","NA","81316","81820","81213","81316","Flanker Task","5","2649","5","yes","1024"
"100","100","542.333333333","542.333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","605","NA","71809","NA","NA","605","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","81827","74328","NA","NA","NA","2471","NA","NA","82886","2518","NA","NA","82987","83593","82883","82987","Flanker Task","6","3254","6","yes","1024"
"100","100","541.857142857","541.857142857","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","539","NA","71809","NA","NA","539","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","83599","74328","NA","NA","NA","2471","NA","NA","84658","2518","NA","NA","84759","85298","84656","84759","Flanker Task","7","3793","7","yes","1024"
"100","100","535.5","535.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","491","NA","71809","NA","NA","491","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","85304","74328","NA","NA","NA","2471","NA","NA","86362","2518","NA","NA","86464","86955","86359","86464","Flanker Task","8","4284","8","yes","1024"
"100","100","540.666666667","540.666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","582","NA","71809","NA","NA","582","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","86962","74328","NA","NA","NA","2471","NA","NA","88018","2518","NA","NA","88119","88702","88016","88119","Flanker Task","9","4866","9","yes","1024"
"100","100","530.9","530.9","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","09/25/22 18:58:48","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\casme\OneDrive\Desktop\Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","443","NA","71809","NA","NA","443","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","88708","74328","NA","NA","NA","2471","NA","NA","89766","2518","NA","NA","89869","90312","89764","89869","Flanker Task","10","5309","10","yes","1024"
