"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Sequence","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_getting_started","count_keyboard_response","count_logger","count_new_loop","count_new_sketchpad","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions1","response_Instructions2","response_Instructions3","response_finish","response_keyboard_response","response_new_sketchpad","response_time","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_finish","response_time_keyboard_response","response_time_new_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Sequence","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_getting_started","time_keyboard_response","time_logger","time_new_loop","time_new_sketchpad","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","397","397","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","0","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","397","59829","NA","NA","NA","397","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","61790","NA","NA","NA","1942","NA","NA","61835","NA","1801","NA","NA","61839","NA","61944","62353","NA","NA","61944","NA","Flanker Task","0","397","1","yes","1024"
"0","0","368.5","368.5","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","1","0","0","0","1","1","0","1","0","1","0","1","1","NA","NA","1","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","340","59829","NA","NA","NA","340","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","61790","NA","NA","62872","1942","NA","NA","63955","62358","1801","NA","NA","63959","NA","64065","64405","NA","NA","64065","NA","Flanker Task","0","737","2","yes","1024"
"33.333333333333336","33.333333333333336","349.3333333333333","349.3333333333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","2","0","0","0","2","2","0","2","0","2","0","2","2","NA","NA","2","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","311","59829","NA","NA","NA","311","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","61790","NA","NA","64921","1942","NA","NA","66003","64410","1801","NA","NA","66007","NA","66112","66423","NA","NA","66112","NA","Flanker Task","1","1048","3","yes","1024"
"25","25","338.75","338.75","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","3","0","0","0","3","3","0","3","0","3","0","3","3","NA","NA","3","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","307","59829","NA","NA","NA","307","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","61790","NA","NA","66428","1942","NA","NA","67503","64410","1801","NA","NA","67507","NA","67612","67920","NA","NA","67612","NA","Flanker Task","1","1355","4","yes","1024"
"40","40","338","338","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","4","0","0","0","4","4","0","4","0","4","0","4","4","NA","NA","4","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","335","59829","NA","NA","NA","335","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","61790","NA","NA","68431","1942","NA","NA","69510","67924","1801","NA","NA","69514","NA","69619","69954","NA","NA","69619","NA","Flanker Task","2","1690","5","yes","1024"
"50","50","339.1666666666667","339.1666666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","5","0","0","0","5","5","0","5","0","5","0","5","5","NA","NA","5","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","345","59829","NA","NA","NA","345","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","61790","NA","NA","69958","1942","NA","NA","71037","67924","1801","NA","NA","71041","NA","71147","71493","NA","NA","71146","NA","Flanker Task","3","2035","6","yes","1024"
"57.142857142857146","57.142857142857146","356","356","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","6","0","0","0","6","6","0","6","0","6","0","6","6","NA","NA","6","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","457","59829","NA","NA","NA","457","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","61790","NA","NA","71497","1942","NA","NA","72581","67924","1801","NA","NA","72585","NA","72690","73148","NA","NA","72690","NA","Flanker Task","4","2492","7","yes","1024"
"62.5","62.5","343","343","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","7","0","0","0","7","7","0","7","0","7","0","7","7","NA","NA","7","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","252","59829","NA","NA","NA","252","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","61790","NA","NA","73153","1942","NA","NA","74232","67924","1801","NA","NA","74236","NA","74341","74594","NA","NA","74341","NA","Flanker Task","5","2744","8","yes","1024"
"66.66666666666667","66.66666666666667","336.6666666666667","336.6666666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","8","0","0","0","8","8","0","8","0","8","0","8","8","NA","NA","8","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","286","59829","NA","NA","NA","286","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","61790","NA","NA","74598","1942","NA","NA","75673","67924","1801","NA","NA","75676","NA","75781","76067","NA","NA","75781","NA","Flanker Task","6","3030","9","yes","1024"
"70","70","334.7","334.7","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","9","0","0","0","9","9","0","9","0","9","0","9","9","NA","NA","9","0","Sun Sep 25 14:32:14 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","317","59829","NA","NA","NA","317","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","61790","NA","NA","76072","1942","NA","NA","77154","67924","1801","NA","NA","77158","NA","77264","77581","NA","NA","77264","NA","Flanker Task","7","3347","10","yes","1024"
