"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_Keyboard_Response","correct_response","count_ErrorFeedback","count_FasterFeedback","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Keyboard_Response","count_Logger","count_Sequence","count_Stimulus","count_block1","count_block2","count_block3","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_Keyboard_Response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_Keyboard_Response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ErrorFeedback","time_FasterFeedback","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Keyboard_Response","time_Logger","time_Sequence","time_Stimulus","time_block1","time_block2","time_block3","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","904","904","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","904","NA","22620","NA","NA","904","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","NA","24686","NA","2025","NA","NA","24788","25693","24685","24788","24646","NA","NA","2023","Flanker Task ","1","904","1","yes","1024"
"100","100","674","674","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","1","1","0","1","1","0","0","0","1","1","1","1","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","444","NA","22620","NA","NA","444","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","NA","NA","26744","25707","2025","NA","NA","26846","27291","26742","26846","24646","NA","NA","2023","Flanker Task ","2","1348","2","yes","1024"
"100","100","629.666666667","629.666666667","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","2","0","2","2","0","0","0","2","2","2","2","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","541","NA","22620","NA","NA","541","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","NA","28338","27303","2025","NA","NA","28440","28982","28336","28440","24646","NA","NA","2023","Flanker Task ","3","1889","3","yes","1024"
"100","100","605","605","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","3","3","0","3","3","0","0","0","3","3","3","3","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","531","NA","22620","NA","NA","531","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","NA","30040","28994","2025","NA","NA","30142","30673","30039","30142","24646","NA","NA","2023","Flanker Task ","4","2420","4","yes","1024"
"100","100","607.8","607.8","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","4","4","0","4","4","0","0","0","4","4","4","4","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","619","NA","22620","NA","NA","619","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","NA","31719","30685","2025","NA","NA","31820","32440","31717","31820","24646","NA","NA","2023","Flanker Task ","5","3039","5","yes","1024"
"100","100","583.166666667","583.166666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","5","5","0","5","5","0","0","0","5","5","5","5","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","460","NA","22620","NA","NA","460","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","NA","NA","NA","33489","32452","2025","NA","NA","33591","34051","33487","33591","24646","NA","NA","2023","Flanker Task ","6","3499","6","yes","1024"
"100","100","566.571428571","566.571428571","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","6","6","0","6","6","0","0","0","6","6","6","6","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","467","NA","22620","NA","NA","467","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","NA","NA","NA","35099","34064","2025","NA","NA","35201","35669","35098","35201","24646","NA","NA","2023","Flanker Task ","7","3966","7","yes","1024"
"100","100","569.25","569.25","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","7","7","0","7","7","0","0","0","7","7","7","7","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","588","NA","22620","NA","NA","588","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","NA","NA","NA","36718","35682","2025","NA","NA","36820","37408","36716","36820","24646","NA","NA","2023","Flanker Task ","8","4554","8","yes","1024"
"100","100","548.111111111","548.111111111","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","8","8","0","8","8","0","0","0","8","8","8","8","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","379","NA","22620","NA","NA","379","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","NA","38455","37420","2025","NA","NA","38556","38936","38452","38556","24646","NA","NA","2023","Flanker Task ","9","4933","9","yes","1024"
"100","100","542.3","542.3","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","9","9","0","9","9","0","0","0","9","9","9","9","0","0","0","0","09/25/22 21:22:45","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/saudm/OneDrive/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/saudm/OneDrive/Desktop/MK-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","490","NA","22620","NA","NA","490","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","NA","NA","NA","39984","38949","2025","NA","NA","40085","40575","39982","40085","24646","NA","NA","2023","Flanker Task ","10","5423","10","yes","1024"
