"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Intructions1","correct_KeyboardResponse","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Faster","count_Finish","count_Fixation","count_ISI","count_Instruction3","count_Instructions2","count_Intructions1","count_KeyboardResponse","count_Logger","count_Sequence","count_Stimulus","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instruction3","response_Instructions2","response_Intructions1","response_KeyboardResponse","response_time","response_time_Finish","response_time_Instruction3","response_time_Instructions2","response_time_Intructions1","response_time_KeyboardResponse","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Faster","time_Finish","time_Fixation","time_ISI","time_Instruction3","time_Instructions2","time_Intructions1","time_KeyboardResponse","time_Logger","time_Sequence","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","727","727","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","727","NA","NA","NA","1769","727","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","5713","NA","NA","NA","NA","NA","5764","NA","NA","NA","3938","5869","6597","5759","5869","3927","Lab 2.1: Flanker Task","1","727","1","yes","1024"
"100","100","677","677","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","1","1","0","1","1","0","0","0","1","1","1","1","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","627","NA","NA","NA","1769","627","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","5713","NA","NA","NA","NA","NA","7674","6610","NA","NA","3938","7778","8409","7669","7778","3927","Lab 2.1: Flanker Task","2","1354","2","yes","1024"
"100","100","619.3333333333334","619.3333333333334","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","2","2","0","2","2","0","0","0","2","2","2","2","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","504","NA","NA","NA","1769","504","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","5713","NA","NA","NA","NA","NA","9478","8420","NA","NA","3938","9582","10087","9473","9582","3927","Lab 2.1: Flanker Task","3","1858","3","yes","1024"
"100","100","603","603","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","3","3","0","3","3","0","0","0","3","3","3","3","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","554","NA","NA","NA","1769","554","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","5713","NA","NA","NA","NA","NA","11153","10097","NA","NA","3938","11258","11813","11149","11258","3927","Lab 2.1: Flanker Task","4","2412","4","yes","1024"
"100","100","555.6","555.6","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","4","4","0","4","4","0","0","0","4","4","4","4","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","366","NA","NA","NA","1769","366","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","5713","NA","NA","NA","NA","NA","12879","11823","NA","NA","3938","12983","13350","12874","12983","3927","Lab 2.1: Flanker Task","5","2778","5","yes","1024"
"100","100","535.6666666666666","535.6666666666666","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","5","5","0","5","5","0","0","0","5","5","5","5","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","436","NA","NA","NA","1769","436","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","5713","NA","NA","NA","NA","NA","14417","13361","NA","NA","3938","14521","14957","14412","14521","3927","Lab 2.1: Flanker Task","6","3214","6","yes","1024"
"100","100","521.2857142857143","521.2857142857143","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","6","6","0","6","6","0","0","0","6","6","6","6","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","435","NA","NA","NA","1769","435","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","5713","NA","NA","NA","NA","NA","16025","14969","NA","NA","3938","16130","16565","16021","16130","3927","Lab 2.1: Flanker Task","7","3649","7","yes","1024"
"100","100","528.625","528.625","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","7","7","0","7","7","0","0","0","7","7","7","7","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","580","NA","NA","NA","1769","580","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","5713","NA","NA","NA","NA","NA","17631","16576","NA","NA","3938","17736","18316","17627","17736","3927","Lab 2.1: Flanker Task","8","4229","8","yes","1024"
"100","100","522.3333333333334","522.3333333333334","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","8","8","0","8","8","0","0","0","8","8","8","8","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","NA","NA","s","h","472","NA","NA","NA","1769","472","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","5713","NA","NA","NA","NA","NA","19384","18328","NA","NA","3938","19488","19960","19380","19488","3927","Lab 2.1: Flanker Task","9","4701","9","yes","1024"
"100","100","535.4","535.4","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","9","9","0","9","9","0","0","0","9","9","9","9","0","Fri Sep 16 15:59:59 2022","1500","The main experiment item","yes","Lab21FlankerTask.osexp","/Users/alexisparrish/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/alexisparrish/Desktop/ap-subject-1.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","NA","NA","s","s","653","NA","NA","NA","1769","653","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","5713","NA","NA","NA","NA","NA","21030","19971","NA","NA","3938","21134","21787","21025","21134","3927","Lab 2.1: Flanker Task","10","5354","10","yes","1024"
