"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1392","1392","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","0","0","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","1392","NA","14572","NA","NA","1392","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","18149","NA","NA","NA","NA","3570","NA","NA","18316","3575","NA","NA","18419","19812","18312","18419","Flanker Task","1","1392","1","yes","1024"
"100","100","1108","1108","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","1","1","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","824","NA","14572","NA","NA","824","2","legacy","1024","2","48000","-16","experiment","SSHSS","0","even","18149","NA","NA","19824","NA","3570","NA","NA","21001","3575","NA","NA","21109","21934","20997","21109","Flanker Task","2","2216","2","yes","1024"
"100","100","948","948","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","2","2","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","628","NA","14572","NA","NA","628","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","18149","NA","NA","21942","NA","3570","NA","NA","23104","3575","NA","NA","23207","23836","23100","23207","Flanker Task","3","2844","3","yes","1024"
"100","100","842.25","842.25","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","3","3","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","525","NA","14572","NA","NA","525","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","18149","NA","NA","23845","NA","3570","NA","NA","25009","3575","NA","NA","25113","25639","25005","25113","Flanker Task","4","3369","4","yes","1024"
"100","100","834.4","834.4","black","legacy","legacy","legacy","0","inconguent","uniform","1","undefined","1","s","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","4","4","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","803","NA","14572","NA","NA","803","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","18149","NA","NA","25648","NA","3570","NA","NA","26809","3575","NA","NA","26912","27716","26805","26912","Flanker Task","5","4172","5","yes","1024"
"100","100","802.5","802.5","black","legacy","legacy","legacy","0","inconguent","uniform","1","undefined","1","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","5","5","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","643","NA","14572","NA","NA","643","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","18149","NA","NA","27724","NA","3570","NA","NA","28884","3575","NA","NA","28987","29631","28879","28987","Flanker Task","6","4815","6","yes","1024"
"100","100","771","771","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","6","6","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","h","NA","NA","h","582","NA","14572","NA","NA","582","2","legacy","1024","2","48000","-16","experiment","HHHHH","0","even","18149","NA","NA","29639","NA","3570","NA","NA","30794","3575","NA","NA","30897","31479","30791","30897","Flanker Task","7","5397","7","yes","1024"
"100","100","737.5","737.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","7","7","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","503","NA","14572","NA","NA","503","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","18149","NA","NA","31505","NA","3570","NA","NA","32729","3575","NA","NA","32832","33336","32725","32832","Flanker Task","8","5900","8","yes","1024"
"100","100","706","706","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","8","8","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","454","NA","14572","NA","NA","454","2","legacy","1024","2","48000","-16","experiment","SSSSS","0","even","18149","NA","NA","33344","NA","3570","NA","NA","34512","3575","NA","NA","34615","35070","34508","34615","Flanker Task","9","6354","9","yes","1024"
"100","100","675.7","675.7","black","legacy","legacy","legacy","0","inconguent","uniform","1","undefined","1","s","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Sun Sep 18 22:58:16 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1","no","mono","no","18","no","white","no","no","768","legacy","9","9","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 2.1/ap-subject-0.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","h","NA","NA","s","403","NA","14572","NA","NA","403","2","legacy","1024","2","48000","-16","experiment","HHSHH","0","even","18149","NA","NA","35077","NA","3570","NA","NA","36243","3575","NA","NA","36346","36749","36239","36346","Flanker Task","10","6757","10","yes","1024"
